Date,ZeroHours,CompleteBlackoutDays,UnitsConsumed,MaxConsumption,MinConsumption,MaxHour,MeanConsumption,StdDev,DayOfTheWeek
2016-01-02,14,531,0.26,0.04,0.0,18 to 19,0.010833333333333334,0.015298953265321545,Saturday
2016-02-02,12,531,0.39,0.04,0.0,03 to 04,0.016249999999999997,0.017147062113681014,Tuesday
2016-03-02,12,531,0.39,0.04,0.0,03 to 04,0.016249999999999997,0.017147062113681014,Wednesday
2016-04-02,12,531,0.24000000000000002,0.04,0.0,21 to 22,0.01,0.013513278493843523,Saturday
2016-05-02,12,531,0.38,0.04,0.0,19 to 20,0.01583333333333333,0.016659418713870482,Monday
2016-06-02,12,531,0.39,0.04,0.0,02 to 03,0.01625,0.017147062113681017,Thursday
2016-07-02,12,531,0.36,0.04,0.0,02 to 03,0.015,0.016418441381303658,Saturday
2016-08-02,19,531,0.17,0.04,0.0,02 to 03,0.007083333333333334,0.014288690166235204,Tuesday
2016-09-02,17,531,0.1,0.02,0.0,18 to 19,0.004166666666666667,0.007172815023567724,Friday
2016-10-02,14,531,0.1,0.01,0.0,00 to 01,0.004166666666666667,0.00503610155185335,Sunday
2016-11-02,15,531,0.09,0.01,0.0,00 to 01,0.00375,0.004945353550468404,Wednesday
2016-12-02,16,531,0.08,0.01,0.0,00 to 01,0.0033333333333333335,0.004815434123430768,Friday
2016-02-13,18,531,0.09,0.02,0.0,19 to 20,0.00375,0.007109393663377319,Saturday
2016-02-14,23,531,0.01,0.01,0.0,03 to 04,0.0004166666666666667,0.002041241452319315,Sunday
2016-02-15,18,531,0.06,0.01,0.0,18 to 19,0.0025,0.004423258684646914,Monday
2016-02-16,17,531,0.07,0.01,0.0,00 to 01,0.002916666666666667,0.004643056214875366,Tuesday
2016-02-17,17,531,0.07,0.01,0.0,02 to 03,0.002916666666666667,0.004643056214875366,Wednesday
2016-02-18,17,531,0.07,0.01,0.0,02 to 03,0.002916666666666667,0.004643056214875366,Thursday
