Date,ZeroHours,CompleteBlackoutDays,UnitsConsumed,MaxConsumption,MinConsumption,MaxHour,MeanConsumption,StdDev,DayOfTheWeek
2016-01-02,18,561,0.06,0.01,0.0,02 to 03,0.0025,0.004423258684646913,Saturday
2016-02-02,19,561,0.05,0.01,0.0,16 to 17,0.0020833333333333333,0.004148511169990534,Tuesday
2016-03-02,19,561,0.05,0.01,0.0,18 to 19,0.0020833333333333333,0.004148511169990534,Wednesday
2016-04-02,20,561,0.04,0.01,0.0,18 to 19,0.0016666666666666668,0.0038069349381344053,Saturday
2016-05-02,20,561,0.04,0.01,0.0,18 to 19,0.0016666666666666668,0.0038069349381344053,Monday
2016-06-02,19,561,0.05,0.01,0.0,18 to 19,0.0020833333333333333,0.004148511169990534,Thursday
2016-07-02,20,561,0.04,0.01,0.0,18 to 19,0.0016666666666666668,0.0038069349381344053,Saturday
2016-09-02,20,561,0.04,0.01,0.0,18 to 19,0.0016666666666666668,0.0038069349381344053,Friday
2016-10-02,19,561,0.05,0.01,0.0,18 to 19,0.0020833333333333333,0.004148511169990534,Sunday
2016-11-02,20,561,0.05,0.02,0.0,20 to 21,0.0020833333333333333,0.005089773777040516,Wednesday
2016-12-02,22,561,0.060000000000000005,0.05,0.0,21 to 22,0.0025,0.0103209369308428,Friday
2016-02-13,18,561,0.08,0.03,0.0,19 to 20,0.0033333333333333335,0.0070196411816303384,Saturday
2016-02-14,19,561,0.05,0.01,0.0,01 to 02,0.0020833333333333333,0.004148511169990532,Sunday
2016-02-16,23,561,0.02,0.02,0.0,05 to 06,0.0008333333333333334,0.00408248290463863,Tuesday
2016-02-17,23,561,0.07,0.07,0.0,03 to 04,0.002916666666666667,0.014288690166235213,Wednesday
2016-02-18,17,561,0.07,0.01,0.0,17 to 18,0.002916666666666667,0.004643056214875366,Thursday
2016-02-19,16,561,0.08,0.01,0.0,01 to 02,0.0033333333333333335,0.004815434123430768,Friday
2016-02-20,15,561,0.09,0.01,0.0,01 to 02,0.00375,0.004945353550468404,Saturday
2016-02-21,12,561,0.19,0.03,0.0,19 to 20,0.007916666666666666,0.009315329426211431,Sunday
2016-02-22,12,561,0.26,0.03,0.0,19 to 20,0.010833333333333334,0.01138903617201808,Monday
2016-02-23,10,561,0.24,0.02,0.0,01 to 02,0.009999999999999997,0.009325048082403137,Tuesday
2016-02-24,12,561,0.22999999999999998,0.03,0.0,19 to 20,0.009583333333333333,0.010417028979206266,Wednesday
2016-02-25,12,561,0.19,0.03,0.0,19 to 20,0.007916666666666666,0.009315329426211431,Thursday
2016-02-26,12,561,0.23,0.02,0.0,00 to 01,0.00958333333333333,0.00999093792292346,Friday
2016-02-27,11,561,0.23,0.02,0.0,01 to 02,0.00958333333333333,0.00954584665735822,Saturday
2016-02-28,13,561,0.21000000000000002,0.03,0.0,22 to 23,0.008749999999999999,0.010347232354175891,Sunday
2016-02-29,12,561,0.2,0.03,0.0,18 to 19,0.008333333333333333,0.009630868246861535,Monday
2016-01-03,12,561,0.2,0.03,0.0,19 to 20,0.008333333333333331,0.009630868246861535,Sunday
2016-02-03,13,561,0.21000000000000002,0.03,0.0,20 to 21,0.008749999999999999,0.010347232354175891,Wednesday
2016-03-03,13,561,0.2,0.03,0.0,22 to 23,0.008333333333333333,0.0100722031037067,Thursday
