Date,ZeroHours,CompleteBlackoutDays,UnitsConsumed,MaxConsumption,MinConsumption,MaxHour,MeanConsumption,StdDev,DayOfTheWeek
2016-01-02,12,459,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Saturday
2016-02-02,12,459,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Tuesday
2016-03-02,12,459,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Wednesday
2016-04-02,12,459,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Saturday
2016-05-02,12,459,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Monday
2016-06-02,12,459,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Thursday
2016-07-02,12,459,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Saturday
2016-08-02,15,459,0.09000000000000001,0.01,0.0,00 to 01,0.00375,0.004945353550468404,Tuesday
2016-09-02,18,459,0.06,0.01,0.0,18 to 19,0.0025,0.004423258684646914,Friday
2016-10-02,12,459,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Sunday
2016-11-02,15,459,0.09000000000000001,0.01,0.0,00 to 01,0.00375,0.004945353550468404,Wednesday
2016-02-15,21,459,0.03,0.01,0.0,20 to 21,0.00125,0.0033783196234608813,Monday
2016-02-16,16,459,0.08,0.01,0.0,01 to 02,0.0033333333333333335,0.004815434123430768,Tuesday
2016-02-17,12,459,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Wednesday
2016-02-18,12,459,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Thursday
2016-02-19,14,459,0.1,0.01,0.0,00 to 01,0.004166666666666667,0.00503610155185335,Friday
2016-02-20,16,459,0.08,0.01,0.0,01 to 02,0.0033333333333333335,0.004815434123430768,Saturday
2016-02-21,14,459,0.1,0.01,0.0,00 to 01,0.004166666666666667,0.00503610155185335,Sunday
2016-02-22,17,459,0.07,0.01,0.0,02 to 03,0.002916666666666667,0.004643056214875366,Monday
2016-02-23,22,459,0.02,0.01,0.0,01 to 02,0.0008333333333333334,0.0028232985128663988,Tuesday
2016-02-24,23,459,0.01,0.01,0.0,21 to 22,0.0004166666666666667,0.0020412414523193153,Wednesday
2016-02-25,19,459,0.05,0.01,0.0,01 to 02,0.0020833333333333333,0.004148511169990534,Thursday
2016-02-26,20,459,0.04,0.01,0.0,00 to 01,0.0016666666666666668,0.003806934938134403,Friday
2016-02-27,22,459,0.02,0.01,0.0,19 to 20,0.0008333333333333334,0.0028232985128663996,Saturday
2016-02-28,19,459,0.05,0.01,0.0,02 to 03,0.0020833333333333333,0.004148511169990534,Sunday
2016-02-29,21,459,0.03,0.01,0.0,18 to 19,0.00125,0.0033783196234608813,Monday
2016-01-03,18,459,0.06,0.01,0.0,01 to 02,0.0025,0.004423258684646914,Sunday
2016-02-03,22,459,0.02,0.01,0.0,19 to 20,0.0008333333333333334,0.0028232985128663996,Wednesday
2016-03-03,22,459,0.02,0.01,0.0,18 to 19,0.0008333333333333334,0.0028232985128663996,Thursday
2016-04-03,18,459,0.06,0.01,0.0,13 to 14,0.0025,0.004423258684646914,Sunday
2016-05-03,20,459,0.04,0.01,0.0,00 to 01,0.0016666666666666668,0.0038069349381344058,Tuesday
2016-06-03,23,459,0.01,0.01,0.0,20 to 21,0.0004166666666666667,0.0020412414523193153,Friday
2016-07-03,22,459,0.02,0.01,0.0,19 to 20,0.0008333333333333334,0.0028232985128663996,Sunday
2016-08-03,21,459,0.03,0.01,0.0,18 to 19,0.00125,0.0033783196234608813,Wednesday
