Date,ZeroHours,CompleteBlackoutDays,UnitsConsumed,MaxConsumption,MinConsumption,MaxHour,MeanConsumption,StdDev,DayOfTheWeek
2016-01-02,12,515,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Saturday
2016-02-02,12,515,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Tuesday
2016-03-02,17,515,0.07,0.01,0.0,02 to 03,0.002916666666666667,0.004643056214875366,Wednesday
2016-04-02,20,515,0.04,0.01,0.0,00 to 01,0.0016666666666666668,0.0038069349381344053,Saturday
2016-05-02,19,515,0.05,0.01,0.0,17 to 18,0.0020833333333333333,0.004148511169990534,Monday
2016-06-02,21,515,0.03,0.01,0.0,01 to 02,0.00125,0.0033783196234608804,Thursday
2016-07-02,16,515,0.08,0.01,0.0,09 to 10 ,0.0033333333333333335,0.004815434123430768,Saturday
2016-08-02,12,515,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Tuesday
2016-09-02,12,515,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Friday
2016-10-02,12,515,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Sunday
2016-11-02,14,515,0.1,0.01,0.0,00 to 01,0.004166666666666667,0.00503610155185335,Wednesday
2016-12-02,16,515,0.08,0.01,0.0,03 to 04,0.0033333333333333335,0.004815434123430768,Friday
2016-02-13,13,515,0.11000000000000001,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040515,Saturday
2016-02-14,19,515,0.05,0.01,0.0,00 to 01,0.0020833333333333333,0.004148511169990532,Sunday
2016-02-15,17,515,0.07,0.01,0.0,17 to 18,0.002916666666666667,0.004643056214875366,Monday
2016-02-16,12,515,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Tuesday
2016-02-17,12,515,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Wednesday
2016-02-18,13,515,0.11000000000000001,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040515,Thursday
2016-02-19,17,515,0.07,0.01,0.0,01 to 02,0.002916666666666667,0.004643056214875366,Friday
2016-02-20,16,515,0.08,0.01,0.0,02 to 03,0.0033333333333333335,0.004815434123430768,Saturday
2016-02-21,17,515,0.07,0.01,0.0,03 to 04,0.002916666666666667,0.004643056214875366,Sunday
2016-02-22,15,515,0.09,0.01,0.0,02 to 03,0.00375,0.004945353550468404,Monday
2016-02-23,12,515,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Tuesday
2016-02-24,12,515,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Wednesday
2016-02-25,12,515,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Thursday
2016-02-26,13,515,0.11000000000000001,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040515,Friday
2016-02-27,18,515,0.07,0.02,0.0,18 to 19,0.002916666666666667,0.0055003293709018726,Saturday
