Date,ZeroHours,CompleteBlackoutDays,UnitsConsumed,MaxConsumption,MinConsumption,MaxHour,MeanConsumption,StdDev,DayOfTheWeek
2016-01-02,22,450,0.02,0.01,0.0,18 to 19,0.0008333333333333334,0.0028232985128663996,Saturday
2016-02-02,21,450,0.03,0.01,0.0,18 to 19,0.00125,0.0033783196234608813,Tuesday
2016-03-02,21,450,0.03,0.01,0.0,18 to 19,0.00125,0.0033783196234608813,Wednesday
2016-05-02,21,450,0.03,0.01,0.0,18 to 19,0.00125,0.0033783196234608813,Monday
2016-07-02,21,450,0.03,0.01,0.0,18 to 19,0.00125,0.0033783196234608813,Saturday
2016-08-02,21,450,0.03,0.01,0.0,18 to 19,0.00125,0.0033783196234608813,Tuesday
2016-09-02,21,450,0.03,0.01,0.0,18 to 19,0.00125,0.0033783196234608813,Friday
2016-10-02,22,450,0.02,0.01,0.0,18 to 19,0.0008333333333333334,0.0028232985128663996,Sunday
2016-11-02,21,450,0.03,0.01,0.0,18 to 19,0.00125,0.0033783196234608813,Wednesday
2016-02-13,23,450,0.01,0.01,0.0,19 to 20,0.0004166666666666667,0.0020412414523193153,Saturday
2016-02-15,20,450,0.04,0.01,0.0,18 to 19,0.0016666666666666668,0.0038069349381344053,Monday
2016-02-16,16,450,0.08,0.01,0.0,01 to 02,0.0033333333333333335,0.004815434123430768,Tuesday
2016-02-17,14,450,0.1,0.01,0.0,00 to 01,0.004166666666666667,0.00503610155185335,Wednesday
2016-02-18,18,450,0.06,0.01,0.0,02 to 03,0.0025,0.004423258684646913,Thursday
2016-02-19,19,450,0.05,0.01,0.0,01 to 02,0.0020833333333333333,0.004148511169990534,Friday
2016-02-20,19,450,0.05,0.01,0.0,02 to 03,0.0020833333333333333,0.004148511169990534,Saturday
2016-02-21,21,450,0.03,0.01,0.0,18 to 19,0.00125,0.0033783196234608813,Sunday
2016-02-22,21,450,0.03,0.01,0.0,18 to 19,0.00125,0.0033783196234608813,Monday
2016-02-23,21,450,0.03,0.01,0.0,18 to 19,0.00125,0.0033783196234608813,Tuesday
2016-02-24,20,450,0.04,0.01,0.0,18 to 19,0.0016666666666666668,0.0038069349381344053,Wednesday
2016-02-25,23,450,0.01,0.01,0.0,19 to 20,0.0004166666666666667,0.0020412414523193153,Thursday
2016-02-26,20,450,0.04,0.01,0.0,18 to 19,0.0016666666666666668,0.0038069349381344053,Friday
2016-02-27,19,450,0.05,0.01,0.0,18 to 19,0.0020833333333333333,0.004148511169990534,Saturday
2016-02-28,20,450,0.07,0.04,0.0,22 to 23,0.0029166666666666664,0.00858672720295521,Sunday
2016-02-29,18,450,0.06,0.01,0.0,03 to 04,0.0025,0.004423258684646913,Monday
2016-01-03,17,450,0.07,0.01,0.0,02 to 03,0.002916666666666667,0.004643056214875366,Sunday
2016-02-03,18,450,0.06,0.01,0.0,03 to 04,0.0025,0.004423258684646914,Wednesday
2016-03-03,16,450,0.08,0.01,0.0,03 to 04,0.0033333333333333335,0.004815434123430768,Thursday
2016-04-03,13,450,0.11000000000000001,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040515,Sunday
2016-05-03,17,450,0.07,0.01,0.0,03 to 04,0.002916666666666667,0.004643056214875366,Tuesday
2016-06-03,17,450,0.07,0.01,0.0,04 to 05,0.002916666666666667,0.004643056214875366,Friday
2016-07-03,14,450,0.1,0.01,0.0,00 to 01,0.004166666666666667,0.00503610155185335,Sunday
2016-08-03,19,450,0.05,0.01,0.0,03 to 04,0.0020833333333333333,0.004148511169990534,Wednesday
2016-09-03,14,450,0.1,0.01,0.0,02 to 03,0.004166666666666667,0.00503610155185335,Saturday
2016-10-03,12,450,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Monday
2016-11-03,17,450,0.07,0.01,0.0,00 to 01,0.002916666666666667,0.004643056214875366,Thursday
2016-03-13,19,450,0.05,0.01,0.0,18 to 19,0.0020833333333333333,0.004148511169990534,Sunday
2016-03-14,18,450,0.06,0.01,0.0,03 to 04,0.0025,0.004423258684646914,Monday
2016-03-15,17,450,0.07,0.01,0.0,01 to 02,0.002916666666666667,0.004643056214875366,Tuesday
2016-03-16,17,450,0.07,0.01,0.0,01 to 02,0.002916666666666667,0.004643056214875366,Wednesday
2016-03-17,17,450,0.07,0.01,0.0,02 to 03,0.002916666666666667,0.004643056214875366,Thursday
2016-03-18,19,450,0.05,0.01,0.0,04 to 05,0.0020833333333333333,0.004148511169990534,Friday
