Date,ZeroHours,CompleteBlackoutDays,UnitsConsumed,MaxConsumption,MinConsumption,MaxHour,MeanConsumption,StdDev,DayOfTheWeek
2016-01-02,22,641,0.02,0.01,0.0,02 to 03,0.0008333333333333334,0.0028232985128663988,Saturday
2016-02-02,18,641,0.06,0.01,0.0,17 to 18,0.0025,0.004423258684646914,Tuesday
2016-03-02,12,641,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Wednesday
2016-04-02,14,641,0.1,0.01,0.0,00 to 01,0.004166666666666667,0.00503610155185335,Saturday
2016-05-02,17,641,0.07,0.01,0.0,01 to 02,0.002916666666666667,0.004643056214875366,Monday
2016-06-02,17,641,0.07,0.01,0.0,01 to 02,0.002916666666666667,0.004643056214875366,Thursday
2016-07-02,18,641,0.06,0.01,0.0,00 to 01,0.0025,0.004423258684646913,Saturday
2016-08-02,17,641,0.07,0.01,0.0,00 to 01,0.002916666666666667,0.004643056214875366,Tuesday
2016-09-02,15,641,0.09,0.01,0.0,01 to 02,0.00375,0.004945353550468404,Friday
2016-10-02,14,641,0.1,0.01,0.0,00 to 01,0.004166666666666667,0.00503610155185335,Sunday
2016-11-02,15,641,0.09,0.01,0.0,01 to 02,0.00375,0.004945353550468404,Wednesday
2016-12-02,14,641,0.1,0.01,0.0,00 to 01,0.004166666666666667,0.00503610155185335,Friday
2016-02-13,14,641,0.1,0.01,0.0,01 to 02,0.004166666666666667,0.00503610155185335,Saturday
2016-02-14,19,641,0.05,0.01,0.0,00 to 01,0.0020833333333333333,0.004148511169990532,Sunday
2016-02-16,18,641,0.06,0.01,0.0,18 to 19,0.0025,0.004423258684646914,Tuesday
2016-02-17,16,641,0.08,0.01,0.0,00 to 01,0.0033333333333333335,0.004815434123430768,Wednesday
2016-02-18,13,641,0.11,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040514,Thursday
2016-02-19,12,641,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Friday
2016-02-20,14,641,0.1,0.01,0.0,00 to 01,0.004166666666666667,0.00503610155185335,Saturday
2016-02-21,20,641,0.04,0.01,0.0,02 to 03,0.0016666666666666668,0.0038069349381344045,Sunday
2016-02-22,17,641,0.07,0.01,0.0,01 to 02,0.002916666666666667,0.004643056214875366,Monday
2016-02-23,14,641,0.1,0.01,0.0,00 to 01,0.004166666666666667,0.00503610155185335,Tuesday
2016-02-24,18,641,0.06,0.01,0.0,01 to 02,0.0025,0.004423258684646913,Wednesday
