Date,ZeroHours,CompleteBlackoutDays,UnitsConsumed,MaxConsumption,MinConsumption,MaxHour,MeanConsumption,StdDev,DayOfTheWeek
2016-01-02,12,433,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Saturday
2016-02-02,12,433,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Tuesday
2016-03-02,13,433,0.11,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040514,Wednesday
2016-04-02,13,433,0.11,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040514,Saturday
2016-05-02,13,433,0.11000000000000001,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040515,Monday
2016-06-02,16,433,0.08,0.01,0.0,02 to 03,0.0033333333333333335,0.004815434123430768,Thursday
2016-07-02,19,433,0.05,0.01,0.0,00 to 01,0.0020833333333333333,0.004148511169990532,Saturday
2016-11-02,18,433,0.06,0.01,0.0,18 to 19,0.0025,0.004423258684646914,Wednesday
2016-12-02,15,433,0.09,0.01,0.0,00 to 01,0.00375,0.004945353550468405,Friday
2016-02-13,17,433,0.07,0.01,0.0,03 to 04,0.002916666666666667,0.004643056214875366,Saturday
2016-02-14,19,433,0.05,0.01,0.0,00 to 01,0.0020833333333333333,0.004148511169990532,Sunday
2016-02-15,18,433,0.06,0.01,0.0,17 to 18,0.0025,0.004423258684646914,Monday
2016-02-16,12,433,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Tuesday
2016-02-17,15,433,0.09,0.01,0.0,00 to 01,0.00375,0.004945353550468404,Wednesday
2016-02-18,19,433,0.06,0.02,0.0,21 to 22,0.0025,0.00531609533071195,Thursday
2016-02-19,15,433,0.1,0.02,0.0,03 to 04,0.004166666666666667,0.0058359207512176485,Friday
2016-02-20,13,433,0.11,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040514,Saturday
2016-02-21,13,433,0.11,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040514,Sunday
2016-02-22,15,433,0.09,0.01,0.0,00 to 01,0.00375,0.004945353550468404,Monday
2016-02-23,17,433,0.07,0.01,0.0,01 to 02,0.002916666666666667,0.004643056214875366,Tuesday
2016-02-24,13,433,0.11,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040514,Wednesday
2016-02-25,13,433,0.11,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040514,Thursday
2016-02-26,17,433,0.06999999999999999,0.01,0.0,00 to 01,0.002916666666666667,0.004643056214875366,Friday
