Date,ZeroHours,CompleteBlackoutDays,UnitsConsumed,MaxConsumption,MinConsumption,MaxHour,MeanConsumption,StdDev,DayOfTheWeek
2016-01-02,18,441,0.060000000000000005,0.01,0.0,00 to 01,0.0025,0.004423258684646916,Saturday
2016-02-02,20,441,0.04,0.01,0.0,18 to 19,0.0016666666666666668,0.0038069349381344053,Tuesday
2016-03-02,17,441,0.07,0.01,0.0,01 to 02,0.002916666666666667,0.004643056214875366,Wednesday
2016-04-02,16,441,0.08,0.01,0.0,00 to 01,0.0033333333333333335,0.004815434123430768,Saturday
2016-05-02,21,441,0.03,0.01,0.0,02 to 03,0.00125,0.0033783196234608817,Monday
2016-06-02,23,441,0.01,0.01,0.0,19 to 20,0.0004166666666666667,0.0020412414523193153,Thursday
2016-07-02,20,441,0.04,0.01,0.0,19 to 20,0.0016666666666666668,0.0038069349381344053,Saturday
2016-08-02,20,441,0.04,0.01,0.0,02 to 03,0.0016666666666666668,0.0038069349381344058,Tuesday
2016-09-02,18,441,0.06,0.01,0.0,18 to 19,0.0025,0.004423258684646914,Friday
2016-10-02,13,441,0.11,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040514,Sunday
2016-11-02,19,441,0.05,0.01,0.0,00 to 01,0.0020833333333333333,0.0041485111699905335,Wednesday
2016-12-02,20,441,0.04,0.01,0.0,18 to 19,0.0016666666666666668,0.0038069349381344053,Friday
2016-02-13,19,441,0.05,0.01,0.0,18 to 19,0.0020833333333333333,0.004148511169990534,Saturday
2016-02-16,20,441,0.04,0.01,0.0,19 to 20,0.0016666666666666668,0.0038069349381344053,Tuesday
2016-02-17,17,441,0.07,0.01,0.0,00 to 01,0.002916666666666667,0.004643056214875366,Wednesday
2016-02-18,17,441,0.07,0.01,0.0,17 to 18,0.002916666666666667,0.004643056214875366,Thursday
2016-02-19,18,441,0.06,0.01,0.0,02 to 03,0.0025,0.004423258684646914,Friday
2016-02-20,19,441,0.05,0.01,0.0,18 to 19,0.0020833333333333333,0.004148511169990534,Saturday
2016-02-21,19,441,0.05,0.01,0.0,02 to 03,0.0020833333333333333,0.004148511169990534,Sunday
2016-02-22,18,441,0.06,0.01,0.0,01 to 02,0.0025,0.004423258684646914,Monday
2016-02-23,22,441,0.02,0.01,0.0,01 to 02,0.0008333333333333334,0.0028232985128663988,Tuesday
2016-02-24,20,441,0.04,0.01,0.0,18 to 19,0.0016666666666666668,0.0038069349381344053,Wednesday
2016-02-25,17,441,0.07,0.01,0.0,00 to 01,0.002916666666666667,0.004643056214875366,Thursday
2016-02-26,21,441,0.03,0.01,0.0,18 to 19,0.00125,0.0033783196234608813,Friday
2016-02-27,20,441,0.04,0.01,0.0,19 to 20,0.0016666666666666668,0.0038069349381344053,Saturday
2016-02-28,22,441,0.02,0.01,0.0,02 to 03,0.0008333333333333334,0.0028232985128663988,Sunday
2016-02-29,19,441,0.05,0.01,0.0,01 to 02,0.0020833333333333333,0.004148511169990534,Monday
2016-01-03,16,441,0.08,0.01,0.0,00 to 01,0.0033333333333333335,0.004815434123430768,Sunday
2016-02-03,15,441,0.09,0.01,0.0,00 to 01,0.00375,0.004945353550468404,Wednesday
2016-03-03,20,441,0.04,0.01,0.0,19 to 20,0.0016666666666666668,0.0038069349381344053,Thursday
2016-04-03,16,441,0.08,0.01,0.0,02 to 03,0.0033333333333333335,0.004815434123430769,Sunday
2016-05-03,15,441,0.09,0.01,0.0,01 to 02,0.00375,0.004945353550468404,Tuesday
2016-06-03,21,441,0.03,0.01,0.0,03 to 04,0.00125,0.0033783196234608804,Friday
2016-07-03,21,441,0.03,0.01,0.0,20 to 21,0.00125,0.0033783196234608813,Sunday
