Date,ZeroHours,CompleteBlackoutDays,UnitsConsumed,MaxConsumption,MinConsumption,MaxHour,MeanConsumption,StdDev,DayOfTheWeek
2016-01-02,17,451,0.07,0.01,0.0,02 to 03,0.002916666666666667,0.004643056214875366,Saturday
2016-02-02,17,451,0.07,0.01,0.0,03 to 04,0.002916666666666667,0.004643056214875366,Tuesday
2016-03-02,19,451,0.05,0.01,0.0,18 to 19,0.0020833333333333333,0.004148511169990534,Wednesday
2016-04-02,22,451,0.02,0.01,0.0,02 to 03,0.0008333333333333334,0.0028232985128663988,Saturday
2016-05-02,20,451,0.04,0.01,0.0,18 to 19,0.0016666666666666668,0.0038069349381344053,Monday
2016-06-02,23,451,0.01,0.01,0.0,01 to 02,0.0004166666666666667,0.002041241452319315,Thursday
2016-07-02,21,451,0.03,0.01,0.0,18 to 19,0.00125,0.0033783196234608813,Saturday
2016-08-02,18,451,0.06,0.01,0.0,18 to 19,0.0025,0.004423258684646914,Tuesday
2016-09-02,17,451,0.83,0.2,0.0,20 to 21,0.034583333333333334,0.06487306446248414,Friday
2016-10-02,13,451,0.98,0.26,0.0,04 to 05,0.04083333333333334,0.07494442385305705,Sunday
2016-11-02,17,451,0.07,0.01,0.0,02 to 03,0.002916666666666667,0.004643056214875366,Wednesday
2016-12-02,17,451,0.07,0.01,0.0,03 to 04,0.002916666666666667,0.004643056214875366,Friday
2016-02-13,19,451,0.05,0.01,0.0,04 to 05,0.0020833333333333333,0.004148511169990534,Saturday
2016-02-15,20,451,0.04,0.01,0.0,18 to 19,0.0016666666666666668,0.0038069349381344053,Monday
2016-02-16,16,451,0.08,0.01,0.0,01 to 02,0.0033333333333333335,0.004815434123430768,Tuesday
2016-02-17,16,451,0.08,0.01,0.0,00 to 01,0.0033333333333333335,0.004815434123430768,Wednesday
2016-02-18,18,451,0.08,0.03,0.0,18 to 19,0.0033333333333333335,0.0070196411816303384,Thursday
2016-02-19,20,451,0.15,0.11,0.0,21 to 22,0.0062499999999999995,0.022614443249354178,Friday
2016-02-20,20,451,0.27999999999999997,0.11,0.0,20 to 21,0.011666666666666667,0.02929114225312413,Saturday
2016-02-21,18,451,0.36000000000000004,0.1,0.0,21 to 22,0.015000000000000001,0.029042697203764758,Sunday
2016-02-22,20,451,0.19999999999999998,0.09,0.0,20 to 21,0.008333333333333333,0.02407717061715384,Monday
2016-02-23,21,451,0.27,0.11,0.0,19 to 20,0.011250000000000001,0.03097158585598714,Tuesday
2016-02-24,22,451,0.15,0.09,0.0,20 to 21,0.0062499999999999995,0.02163180026277738,Wednesday
2016-02-25,20,451,0.05,0.02,0.0,21 to 22,0.0020833333333333333,0.005089773777040516,Thursday
2016-02-26,19,451,0.11,0.04,0.0,20 to 21,0.004583333333333333,0.01062366786192884,Friday
2016-02-27,20,451,0.05,0.02,0.0,18 to 19,0.0020833333333333333,0.005089773777040516,Saturday
2016-02-28,22,451,0.08,0.07,0.0,22 to 23,0.0033333333333333335,0.01434563004713545,Sunday
2016-02-29,19,451,0.11,0.05,0.0,21 to 22,0.004583333333333333,0.011412870944175518,Monday
2016-01-03,17,451,0.26,0.08,0.0,20 to 21,0.010833333333333334,0.024657068246098392,Sunday
2016-02-03,16,451,0.30000000000000004,0.11,0.0,20 to 21,0.012500000000000002,0.029525228710964843,Wednesday
2016-03-03,16,451,0.08,0.01,0.0,00 to 01,0.0033333333333333335,0.004815434123430768,Thursday
2016-04-03,18,451,0.09,0.04,0.0,21 to 22,0.00375,0.008753881126826473,Sunday
2016-05-03,16,451,0.29000000000000004,0.09,0.0,19 to 20,0.012083333333333335,0.026039963712434923,Tuesday
2016-06-03,18,451,0.32,0.08,0.0,19 to 20,0.013333333333333334,0.026484887678869227,Friday
2016-07-03,17,451,0.33999999999999997,0.11,0.0,20 to 21,0.014166666666666668,0.032958032163009535,Sunday
2016-08-03,16,451,0.18,0.07,0.0,21 to 22,0.007500000000000001,0.016218615177038685,Wednesday
2016-09-03,17,451,0.33,0.13,0.0,19 to 20,0.01375,0.03346802497387878,Saturday
2016-10-03,17,451,0.11000000000000001,0.04,0.0,21 to 22,0.004583333333333334,0.009315329426211431,Monday
2016-11-03,20,451,0.2,0.09,0.0,19 to 20,0.008333333333333333,0.023156681196967132,Thursday
2016-03-13,17,451,0.19,0.07,0.0,21 to 22,0.007916666666666667,0.01693444307672504,Sunday
2016-03-14,18,451,0.27,0.11,0.0,20 to 21,0.011250000000000001,0.028178391351005735,Monday
2016-03-15,16,451,0.27999999999999997,0.09,0.0,21 to 22,0.011666666666666667,0.02407717061715384,Tuesday
2016-03-16,19,451,0.48,0.14,0.0,21 to 22,0.02,0.0425287626456956,Wednesday
2016-03-17,20,451,0.11000000000000001,0.07,0.0,19 to 20,0.004583333333333333,0.014738050920238275,Thursday
2016-03-18,20,451,0.04,0.01,0.0,18 to 19,0.0016666666666666668,0.0038069349381344053,Friday
2016-03-19,20,451,0.04,0.01,0.0,18 to 19,0.0016666666666666668,0.0038069349381344053,Saturday
2016-03-20,22,451,0.02,0.01,0.0,19 to 20,0.0008333333333333334,0.0028232985128663996,Sunday
2016-03-21,20,451,0.04,0.01,0.0,18 to 19,0.0016666666666666668,0.0038069349381344053,Monday
2016-03-22,20,451,0.04,0.01,0.0,18 to 19,0.0016666666666666668,0.0038069349381344053,Tuesday
2016-03-23,22,451,0.02,0.01,0.0,19 to 20,0.0008333333333333334,0.0028232985128663996,Wednesday
2016-03-24,22,451,0.02,0.01,0.0,19 to 20,0.0008333333333333334,0.0028232985128663996,Thursday
2016-03-25,21,451,0.03,0.01,0.0,19 to 20,0.00125,0.0033783196234608813,Friday
2016-03-26,20,451,0.04,0.01,0.0,18 to 19,0.0016666666666666668,0.0038069349381344053,Saturday
2016-03-27,21,451,0.03,0.01,0.0,19 to 20,0.00125,0.0033783196234608813,Sunday
2016-03-28,21,451,0.03,0.01,0.0,18 to 19,0.00125,0.0033783196234608813,Monday
2016-03-29,21,451,0.03,0.01,0.0,19 to 20,0.00125,0.0033783196234608813,Tuesday
2016-03-30,21,451,0.03,0.01,0.0,18 to 19,0.00125,0.0033783196234608813,Wednesday
2016-03-31,19,451,0.05,0.01,0.0,18 to 19,0.0020833333333333333,0.004148511169990534,Thursday
2016-01-04,20,451,0.04,0.01,0.0,19 to 20,0.0016666666666666668,0.0038069349381344053,Monday
2016-02-04,21,451,0.03,0.01,0.0,19 to 20,0.00125,0.0033783196234608813,Thursday
2016-03-04,21,451,0.03,0.01,0.0,19 to 20,0.00125,0.0033783196234608813,Friday
