Date,ZeroHours,CompleteBlackoutDays,UnitsConsumed,MaxConsumption,MinConsumption,MaxHour,MeanConsumption,StdDev,DayOfTheWeek
2016-07-03,17,555,0.30000000000000004,0.06,0.0,18 to 19,0.012499999999999999,0.02231201664925252,Sunday
2016-08-03,18,555,0.29000000000000004,0.06,0.0,19 to 20,0.012083333333333335,0.022062986251159218,Wednesday
2016-09-03,20,555,0.14,0.05,0.0,18 to 19,0.005833333333333334,0.015012072436561838,Saturday
2016-10-03,19,555,0.25,0.06,0.0,18 to 19,0.010416666666666666,0.021157621027332728,Monday
2016-11-03,21,555,0.11,0.05,0.0,19 to 20,0.004583333333333333,0.013180739131701643,Thursday
2016-12-03,18,555,0.23,0.06,0.0,18 to 19,0.009583333333333334,0.018761469921708917,Saturday
2016-03-13,19,555,0.28,0.09,0.0,17 to 18,0.011666666666666667,0.024963741822833802,Sunday
2016-03-14,18,555,0.25,0.06,0.0,21 to 22,0.010416666666666666,0.01944427191089776,Monday
2016-03-15,20,555,0.26,0.12,0.0,19 to 20,0.010833333333333332,0.02811724933461535,Tuesday
2016-03-16,17,555,0.32999999999999996,0.07,0.0,22 to 23,0.01375,0.023922428988203775,Wednesday
2016-03-17,18,555,0.29,0.06,0.0,18 to 19,0.012083333333333333,0.023215281074376825,Thursday
2016-03-18,18,555,0.29000000000000004,0.06,0.0,18 to 19,0.012083333333333333,0.022062986251159218,Friday
2016-03-19,17,555,0.33999999999999997,0.06,0.0,19 to 20,0.014166666666666666,0.023203572938266408,Saturday
2016-03-20,18,555,0.29000000000000004,0.06,0.0,20 to 21,0.012083333333333335,0.021865033961668744,Sunday
2016-03-21,18,555,0.3,0.06,0.0,18 to 19,0.012499999999999999,0.022506037837221257,Monday
2016-03-22,18,555,0.3,0.06,0.0,18 to 19,0.012499999999999999,0.022506037837221257,Tuesday
2016-03-23,17,555,0.33999999999999997,0.06,0.0,19 to 20,0.014166666666666666,0.023203572938266408,Wednesday
2016-03-24,19,555,0.25,0.06,0.0,20 to 21,0.010416666666666666,0.020951116327353986,Thursday
2016-03-25,19,555,0.27,0.08,0.0,22 to 23,0.011250000000000001,0.023648237364226166,Friday
2016-03-26,17,555,0.6300000000000001,0.17,0.0,21 to 22,0.02625,0.04888429106618484,Saturday
2016-03-27,15,555,0.71,0.14,0.0,21 to 22,0.029583333333333333,0.04657664713105716,Sunday
2016-03-28,12,555,1.02,0.13,0.0,20 to 21,0.0425,0.04784485797640754,Monday
2016-03-29,15,555,0.77,0.15,0.0,21 to 22,0.03208333333333333,0.05012845817338271,Tuesday
2016-03-30,15,555,0.59,0.11,0.0,01 to 02,0.024583333333333332,0.03833254567558766,Wednesday
2016-03-31,17,555,0.7100000000000001,0.17,0.0,22 to 23,0.029583333333333333,0.05254225352796644,Thursday
2016-01-04,13,555,0.98,0.17,0.0,21 to 22,0.04083333333333333,0.052908178595741144,Monday
2016-02-04,13,555,0.95,0.17,0.0,21 to 22,0.03958333333333333,0.05025839031546324,Thursday
2016-03-04,11,555,1.52,0.49,0.0,16 to 17,0.06333333333333334,0.10390910185963192,Friday
2016-04-04,11,555,1.06,0.12,0.0,00 to 01,0.04416666666666667,0.04835706563783052,Monday
2016-05-04,11,555,0.94,0.11,0.0,02 to 03,0.03916666666666666,0.04422439486809599,Wednesday
2016-06-04,12,555,0.8300000000000001,0.11,0.0,01 to 02,0.034583333333333334,0.044132130330817164,Saturday
2016-07-04,11,555,0.8200000000000001,0.11,0.0,01 to 02,0.034166666666666665,0.044907311951024945,Monday
2016-08-04,13,555,0.79,0.11,0.0,02 to 03,0.03291666666666667,0.04447560803569668,Thursday
2016-09-04,14,555,0.79,0.11,0.0,03 to 04,0.032916666666666664,0.04467069525419045,Sunday
2016-10-04,16,555,0.72,0.11,0.0,01 to 02,0.03,0.04491537937441725,Tuesday
2016-11-04,12,555,1.7200000000000002,0.62,0.0,17 to 18,0.07166666666666667,0.12872845253771065,Friday
2016-12-04,14,555,1.1800000000000002,0.37,0.0,17 to 18,0.04916666666666667,0.08474599729763652,Sunday
2016-04-13,11,555,1.33,0.32,0.0,17 to 18,0.05541666666666669,0.07241061456339999,Wednesday
2016-04-14,11,555,1.11,0.17,0.0,22 to 23,0.04625000000000001,0.052817363745680065,Thursday
2016-04-15,13,555,0.92,0.17,0.0,21 to 22,0.03833333333333334,0.05036101551853349,Friday
2016-04-16,11,555,1.06,0.17,0.0,21 to 22,0.04416666666666668,0.05106829754840819,Saturday
2016-04-17,10,555,1.2,0.13,0.0,22 to 23,0.05000000000000001,0.049078464240172724,Sunday
2016-04-18,11,555,1.05,0.14,0.0,20 to 21,0.043750000000000004,0.04816750663727752,Monday
2016-04-19,11,555,1.02,0.13,0.0,22 to 23,0.0425,0.04692732586716909,Tuesday
2016-04-20,18,555,0.48,0.11,0.0,01 to 02,0.02,0.03889785955886093,Wednesday
2016-04-25,17,555,0.53,0.12,0.0,21 to 22,0.022083333333333333,0.039888885524739806,Monday
2016-04-26,11,555,1.01,0.15,0.0,22 to 23,0.04208333333333334,0.04754669710712934,Tuesday
2016-04-27,11,555,1.01,0.14,0.0,22 to 23,0.04208333333333334,0.04539480593412755,Wednesday
2016-04-28,11,555,1.04,0.16,0.0,21 to 22,0.04333333333333334,0.04860369163530389,Thursday
2016-04-29,11,555,0.9000000000000001,0.1,0.0,01 to 02,0.0375,0.04067367485348425,Friday
2016-04-30,14,555,0.68,0.15,0.0,22 to 23,0.028333333333333332,0.0408248290463863,Saturday
2016-01-05,14,555,0.71,0.13,0.0,22 to 23,0.029583333333333326,0.03917398944804272,Tuesday
2016-02-05,8,555,1.25,0.14,0.0,14 to 15,0.05208333333333335,0.045871196481742954,Friday
2016-03-05,10,555,1.0,0.14,0.0,15 to 16,0.04166666666666668,0.04449393379919937,Saturday
2016-04-05,10,555,1.1600000000000001,0.17,0.0,22 to 23,0.04833333333333334,0.05394575912466365,Tuesday
2016-05-05,9,555,1.26,0.15,0.0,19 to 20,0.0525,0.051856826308429325,Thursday
2016-06-05,9,555,0.9600000000000001,0.12,0.0,22 to 23,0.04,0.04191087852969006,Sunday
2016-07-05,10,555,0.9300000000000002,0.15,0.0,22 to 23,0.03875000000000001,0.04194328468819272,Tuesday
2016-08-05,10,555,1.19,0.16,0.0,21 to 22,0.04958333333333335,0.05170814137114165,Friday
2016-09-05,10,555,0.95,0.13,0.0,13 to 14,0.039583333333333325,0.04216728246099015,Monday
2016-10-05,10,555,1.24,0.16,0.0,13 to 14,0.05166666666666667,0.053051793123542856,Wednesday
2016-11-05,10,555,1.04,0.13,0.0,12 to 13,0.04333333333333334,0.0457466241725923,Saturday
2016-12-05,17,555,0.5,0.15,0.0,13 to 14,0.020833333333333332,0.039000185804091016,Monday
2016-05-13,14,555,0.9400000000000001,0.16,0.0,21 to 22,0.03916666666666667,0.055943812391787674,Friday
2016-05-14,9,555,1.29,0.16,0.0,21 to 22,0.05375,0.051144509671764544,Saturday
2016-05-15,10,555,1.1300000000000001,0.13,0.0,13 to 14,0.04708333333333334,0.04858691599388771,Sunday
2016-05-16,10,555,1.07,0.13,0.0,12 to 13,0.04458333333333334,0.0472715712587953,Monday
2016-05-17,10,555,1.18,0.16,0.0,15 to 16,0.049166666666666685,0.0540464105445831,Tuesday
2016-05-18,9,555,1.1,0.16,0.0,15 to 16,0.04583333333333334,0.04577037837108062,Wednesday
2016-05-19,9,555,1.32,0.16,0.0,21 to 22,0.055000000000000014,0.0555603862634083,Thursday
2016-05-20,13,555,0.79,0.13,0.0,21 to 22,0.032916666666666664,0.04338695122075166,Friday
2016-05-21,13,555,0.82,0.14,0.0,15 to 16,0.03416666666666667,0.048626050154451046,Saturday
2016-05-22,12,555,0.9400000000000001,0.16,0.0,13 to 14,0.039166666666666676,0.04986212875577988,Sunday
2016-05-23,9,555,1.17,0.14,0.0,14 to 15,0.048749999999999995,0.04785053722836848,Monday
2016-05-24,10,555,0.8800000000000001,0.14,0.0,21 to 22,0.03666666666666667,0.04419980982318585,Tuesday
2016-05-25,9,555,1.1500000000000001,0.13,0.0,13 to 14,0.04791666666666667,0.04791107402775223,Wednesday
2016-05-26,9,555,1.2200000000000002,0.16,0.0,13 to 14,0.05083333333333334,0.05020970516497407,Thursday
2016-05-27,12,555,1.27,0.16,0.0,14 to 15,0.05291666666666667,0.062239311404111555,Friday
2016-05-28,9,555,1.29,0.16,0.0,21 to 22,0.05375000000000001,0.051903966506717324,Saturday
2016-05-29,10,555,1.2200000000000002,0.16,0.0,15 to 16,0.05083333333333334,0.05656213717955537,Sunday
2016-05-30,9,555,1.1099999999999999,0.16,0.0,13 to 14,0.046250000000000006,0.04825768692991912,Monday
2016-05-31,10,555,1.12,0.13,0.0,13 to 14,0.04666666666666668,0.048960202708683315,Tuesday
2016-01-06,17,555,0.44000000000000006,0.14,0.0,13 to 14,0.018333333333333337,0.037840243894179844,Wednesday
2017-03-20,17,555,118.28,117.87,0.0,13 to 14,4.928333333333334,24.0565066072555,Monday
2017-03-21,13,555,0.82,0.2,0.0,14 to 15,0.034166666666666665,0.05307227776030219,Tuesday
2017-03-22,15,555,0.5900000000000001,0.17,0.0,15 to 16,0.024583333333333336,0.04854215260688533,Wednesday
2017-03-23,13,555,0.83,0.16,0.0,14 to 15,0.034583333333333334,0.049517600442905034,Thursday
2017-03-24,7,555,1.26,0.16,0.0,14 to 15,0.0525,0.04811670594818756,Friday
2017-03-25,9,555,0.9400000000000001,0.17,0.0,14 to 15,0.03916666666666667,0.04481038958202388,Saturday
2017-03-26,13,555,0.7799999999999999,0.09,0.0,22 to 23,0.032499999999999994,0.03858925284042966,Sunday
2017-03-28,10,555,0.8300000000000001,0.11,0.0,02 to 03,0.034583333333333334,0.03900715281861127,Tuesday
2017-03-29,12,555,0.81,0.14,0.0,15 to 16,0.03375000000000001,0.043118895283098146,Wednesday
2017-03-30,13,555,0.5800000000000001,0.1,0.0,03 to 04,0.024166666666666673,0.034251837991516626,Thursday
2017-05-04,20,555,0.32,0.1,0.0,12 to 13,0.013333333333333334,0.03157691323222335,Thursday
2017-06-04,16,555,0.47000000000000003,0.15,0.0,13 to 14,0.019583333333333335,0.037588060855018576,Sunday
2017-07-04,18,555,0.51,0.11,0.0,20 to 21,0.02125,0.04025057385494241,Tuesday
2017-08-04,19,555,0.27,0.08,0.0,01 to 02,0.011250000000000001,0.023463662933584546,Friday
2017-04-18,22,555,0.18,0.1,0.0,22 to 23,0.0075,0.025580223339270448,Tuesday
2017-04-19,10,555,1.14,0.15,0.0,13 to 14,0.047500000000000014,0.051351304966272576,Wednesday
2017-04-20,8,555,1.09,0.16,0.0,15 to 16,0.04541666666666668,0.04699483474546562,Thursday
2017-04-21,19,555,0.33000000000000007,0.1,0.0,01 to 02,0.013750000000000004,0.030333293518049996,Friday
2017-04-25,18,555,0.48,0.18,0.0,21 to 22,0.02,0.044915379374417246,Tuesday
2017-04-26,9,555,0.9800000000000001,0.1,0.0,01 to 02,0.04083333333333333,0.038664292780702506,Wednesday
2017-04-27,16,555,0.7500000000000001,0.26,0.0,14 to 15,0.03125,0.061666177044668084,Thursday
2017-04-28,9,555,1.04,0.15,0.0,13 to 14,0.043333333333333335,0.04280051469282834,Friday
2017-04-29,15,555,0.5800000000000001,0.1,0.0,02 to 03,0.024166666666666666,0.03682115019182963,Saturday
2017-04-30,13,555,0.65,0.1,0.0,03 to 04,0.027083333333333338,0.034196257952749956,Sunday
2017-05-15,18,555,0.24,0.06,0.0,23 to 24,0.01,0.02,Monday
2017-05-16,9,555,0.8300000000000001,0.1,0.0,01 to 02,0.03458333333333335,0.032966276136664883,Tuesday
2017-05-17,14,555,0.48000000000000004,0.08,0.0,18 to 19,0.02,0.027186953392806055,Wednesday
2017-05-18,14,555,0.7300000000000001,0.11,0.0,13 to 14,0.030416666666666665,0.04122885931698463,Thursday
2017-05-19,21,555,0.17,0.08,0.0,01 to 02,0.007083333333333334,0.02010389680302472,Friday
2017-05-20,17,555,0.45,0.11,0.0,23 to 24,0.01875,0.033662325735353514,Saturday
2017-05-21,7,555,1.1,0.15,0.0,14 to 15,0.045833333333333344,0.044125972502318436,Sunday
2017-05-22,8,555,1.08,0.14,0.0,22 to 23,0.04500000000000002,0.04403555875406385,Monday
