Date,ZeroHours,CompleteBlackoutDays,UnitsConsumed,MaxConsumption,MinConsumption,MaxHour,MeanConsumption,StdDev,DayOfTheWeek
2016-01-02,13,516,0.13,0.02,0.0,04 to 05,0.005416666666666666,0.006580053301400785,Saturday
2016-02-02,13,516,0.11,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040514,Tuesday
2016-03-02,13,516,0.16,0.03,0.0,20 to 21,0.006666666666666667,0.008681147322824313,Wednesday
2016-04-02,13,516,0.11,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040514,Saturday
2016-05-02,12,516,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Monday
2016-06-02,13,516,0.11,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040514,Thursday
2016-07-02,13,516,0.12000000000000001,0.02,0.0,19 to 20,0.005,0.005897678246195885,Saturday
2016-08-02,13,516,0.11,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040514,Tuesday
2016-09-02,14,516,0.1,0.01,0.0,00 to 01,0.004166666666666667,0.00503610155185335,Friday
2016-10-02,13,516,0.11,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040514,Sunday
2016-11-02,14,516,0.1,0.01,0.0,00 to 01,0.004166666666666667,0.00503610155185335,Wednesday
2016-12-02,13,516,0.12,0.02,0.0,20 to 21,0.005,0.005897678246195886,Friday
2016-02-13,12,516,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Saturday
2016-02-14,19,516,0.05,0.01,0.0,00 to 01,0.0020833333333333333,0.004148511169990532,Sunday
2016-02-15,18,516,0.06,0.01,0.0,18 to 19,0.0025,0.004423258684646914,Monday
2016-02-16,13,516,0.11,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040514,Tuesday
2016-02-17,14,516,0.1,0.01,0.0,00 to 01,0.004166666666666667,0.00503610155185335,Wednesday
2016-02-18,13,516,0.12,0.02,0.0,04 to 05,0.004999999999999998,0.005897678246195886,Thursday
2016-02-19,14,516,0.1,0.01,0.0,00 to 01,0.004166666666666667,0.00503610155185335,Friday
2016-02-20,13,516,0.11,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040514,Saturday
2016-02-21,14,516,0.1,0.01,0.0,00 to 01,0.004166666666666667,0.00503610155185335,Sunday
2016-02-22,12,516,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Monday
2016-02-23,14,516,0.1,0.01,0.0,00 to 01,0.004166666666666667,0.00503610155185335,Tuesday
2016-02-24,13,516,0.12000000000000001,0.02,0.0,19 to 20,0.004999999999999999,0.0058976782461958865,Wednesday
2016-02-25,14,516,0.1,0.01,0.0,00 to 01,0.004166666666666667,0.00503610155185335,Thursday
2016-02-26,13,516,0.11,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040514,Friday
2016-02-27,13,516,0.11,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040514,Saturday
2016-02-28,13,516,0.11,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040514,Sunday
2016-02-29,14,516,0.1,0.01,0.0,00 to 01,0.004166666666666667,0.00503610155185335,Monday
2016-01-03,13,516,0.11,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040514,Sunday
2016-02-03,16,516,0.08,0.01,0.0,00 to 01,0.0033333333333333335,0.004815434123430768,Wednesday
2016-03-03,22,516,0.02,0.01,0.0,18 to 19,0.0008333333333333334,0.0028232985128663996,Thursday
2016-04-03,18,516,0.13999999999999999,0.09,0.0,17 to 18,0.005833333333333333,0.018395809226599665,Sunday
2016-05-03,13,516,0.11,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040514,Tuesday
2016-06-03,12,516,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Friday
2016-07-03,13,516,0.11,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040515,Sunday
2016-08-03,13,516,0.15,0.02,0.0,20 to 21,0.0062499999999999995,0.007696696072652383,Wednesday
2016-09-03,14,516,0.1,0.01,0.0,00 to 01,0.004166666666666667,0.00503610155185335,Saturday
2016-10-03,14,516,0.1,0.01,0.0,00 to 01,0.004166666666666667,0.00503610155185335,Monday
2016-11-03,14,516,0.1,0.01,0.0,00 to 01,0.004166666666666667,0.00503610155185335,Thursday
2016-12-03,13,516,0.11,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040514,Saturday
2016-03-13,15,516,0.09,0.01,0.0,00 to 01,0.00375,0.004945353550468405,Sunday
2016-03-14,15,516,0.09,0.01,0.0,01 to 02,0.00375,0.004945353550468405,Monday
2016-03-15,14,516,0.1,0.01,0.0,00 to 01,0.004166666666666667,0.00503610155185335,Tuesday
2016-03-16,15,516,0.09,0.01,0.0,00 to 01,0.00375,0.004945353550468405,Wednesday
2016-03-17,14,516,0.1,0.01,0.0,00 to 01,0.004166666666666667,0.00503610155185335,Thursday
2016-03-18,16,516,0.08,0.01,0.0,00 to 01,0.0033333333333333335,0.004815434123430768,Friday
2016-03-19,18,516,0.06,0.01,0.0,02 to 03,0.0025,0.004423258684646913,Saturday
2016-03-20,19,516,0.05,0.01,0.0,01 to 02,0.0020833333333333333,0.004148511169990534,Sunday
2016-03-21,18,516,0.06,0.01,0.0,03 to 04,0.0025,0.004423258684646913,Monday
2016-03-22,16,516,0.08,0.01,0.0,01 to 02,0.0033333333333333335,0.004815434123430768,Tuesday
2016-03-23,22,516,0.02,0.01,0.0,21 to 22,0.0008333333333333334,0.0028232985128663996,Wednesday
2016-03-24,18,516,0.06,0.01,0.0,02 to 03,0.0025,0.004423258684646913,Thursday
2016-03-25,19,516,0.05,0.01,0.0,01 to 02,0.0020833333333333333,0.004148511169990534,Friday
2016-03-26,19,516,0.05,0.01,0.0,02 to 03,0.0020833333333333333,0.004148511169990534,Saturday
2016-03-27,18,516,0.06,0.01,0.0,01 to 02,0.0025,0.004423258684646913,Sunday
2016-03-28,18,516,0.06,0.01,0.0,03 to 04,0.0025,0.004423258684646913,Monday
2016-03-29,15,516,0.1,0.02,0.0,02 to 03,0.004166666666666667,0.0058359207512176485,Tuesday
2016-03-30,14,516,0.1,0.01,0.0,00 to 01,0.004166666666666667,0.00503610155185335,Wednesday
2016-03-31,17,516,0.07,0.01,0.0,02 to 03,0.002916666666666667,0.004643056214875366,Thursday
2016-01-04,20,516,0.04,0.01,0.0,01 to 02,0.0016666666666666668,0.003806934938134405,Monday
2016-02-04,22,516,0.02,0.01,0.0,02 to 03,0.0008333333333333334,0.0028232985128663988,Thursday
2016-03-04,23,516,0.01,0.01,0.0,20 to 21,0.0004166666666666667,0.0020412414523193153,Friday
2016-09-04,21,516,0.03,0.01,0.0,04 to 05,0.00125,0.0033783196234608817,Sunday
2016-10-04,21,516,0.03,0.01,0.0,01 to 02,0.00125,0.0033783196234608804,Tuesday
2016-11-04,20,516,0.04,0.01,0.0,02 to 03,0.0016666666666666668,0.0038069349381344058,Friday
2016-12-04,20,516,0.04,0.01,0.0,01 to 02,0.0016666666666666668,0.0038069349381344058,Sunday
2016-04-13,22,516,0.02,0.01,0.0,17 to 18,0.0008333333333333334,0.0028232985128663996,Wednesday
2016-04-14,19,516,0.05,0.01,0.0,00 to 01,0.0020833333333333333,0.004148511169990532,Thursday
2016-04-15,22,516,0.02,0.01,0.0,00 to 01,0.0008333333333333334,0.0028232985128663988,Friday
2016-03-05,21,516,0.03,0.01,0.0,14 to 15,0.00125,0.003378319623460881,Saturday
2016-06-05,23,516,0.01,0.01,0.0,17 to 18,0.0004166666666666667,0.0020412414523193153,Sunday
2016-09-05,22,516,0.03,0.02,0.0,19 to 20,0.00125,0.004484272031464407,Monday
2016-10-05,23,516,0.02,0.02,0.0,14 to 15,0.0008333333333333334,0.004082482904638631,Wednesday
2016-12-05,23,516,0.01,0.01,0.0,22 to 23,0.0004166666666666667,0.0020412414523193153,Monday
2016-05-17,23,516,0.01,0.01,0.0,21 to 22,0.0004166666666666667,0.0020412414523193153,Tuesday
2016-05-18,23,516,0.01,0.01,0.0,21 to 22,0.0004166666666666667,0.0020412414523193153,Wednesday
2016-05-21,22,516,0.02,0.01,0.0,00 to 01,0.0008333333333333334,0.0028232985128663988,Saturday
2016-05-22,22,516,0.02,0.01,0.0,00 to 01,0.0008333333333333334,0.0028232985128663988,Sunday
2016-05-25,23,516,0.01,0.01,0.0,19 to 20,0.0004166666666666667,0.0020412414523193153,Wednesday
2016-05-26,23,516,0.01,0.01,0.0,21 to 22,0.0004166666666666667,0.0020412414523193153,Thursday
2016-05-27,23,516,0.01,0.01,0.0,22 to 23,0.0004166666666666667,0.0020412414523193153,Friday
