Date,ZeroHours,CompleteBlackoutDays,UnitsConsumed,MaxConsumption,MinConsumption,MaxHour,MeanConsumption,StdDev,DayOfTheWeek
2016-01-02,18,513,0.060000000000000005,0.01,0.0,00 to 01,0.0025,0.004423258684646916,Saturday
2016-02-02,20,513,0.04,0.01,0.0,20 to 21,0.0016666666666666668,0.0038069349381344053,Tuesday
2016-03-02,14,513,0.1,0.01,0.0,00 to 01,0.004166666666666667,0.00503610155185335,Wednesday
2016-04-02,12,513,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Saturday
2016-05-02,13,513,0.11000000000000001,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040515,Monday
2016-06-02,13,513,0.11000000000000001,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040515,Thursday
2016-07-02,15,513,0.09,0.01,0.0,02 to 03,0.00375,0.004945353550468404,Saturday
2016-08-02,15,513,0.09,0.01,0.0,00 to 01,0.00375,0.004945353550468404,Tuesday
2016-09-02,14,513,0.1,0.01,0.0,00 to 01,0.004166666666666667,0.00503610155185335,Friday
2016-10-02,12,513,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Sunday
2016-11-02,13,513,0.11,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040514,Wednesday
2016-12-02,15,513,0.09,0.01,0.0,00 to 01,0.00375,0.004945353550468405,Friday
2016-02-13,17,513,0.07,0.01,0.0,01 to 02,0.002916666666666667,0.004643056214875366,Saturday
2016-02-14,21,513,0.03,0.01,0.0,01 to 02,0.00125,0.0033783196234608804,Sunday
2016-02-16,19,513,0.05,0.01,0.0,17 to 18,0.0020833333333333333,0.004148511169990534,Tuesday
2016-02-17,16,513,0.08,0.01,0.0,00 to 01,0.0033333333333333335,0.004815434123430769,Wednesday
2016-02-18,16,513,0.08,0.01,0.0,02 to 03,0.0033333333333333335,0.004815434123430768,Thursday
2016-02-19,16,513,0.08,0.01,0.0,01 to 02,0.0033333333333333335,0.004815434123430768,Friday
2016-02-20,16,513,0.08,0.01,0.0,02 to 03,0.0033333333333333335,0.004815434123430768,Saturday
2016-02-21,15,513,0.09,0.01,0.0,00 to 01,0.00375,0.004945353550468405,Sunday
2016-02-22,17,513,0.07,0.01,0.0,01 to 02,0.002916666666666667,0.004643056214875366,Monday
2016-02-23,18,513,0.06,0.01,0.0,01 to 02,0.0025,0.004423258684646914,Tuesday
2016-02-24,16,513,0.08,0.01,0.0,01 to 02,0.0033333333333333335,0.004815434123430769,Wednesday
2016-02-25,17,513,0.07,0.01,0.0,04 to 05,0.002916666666666667,0.004643056214875366,Thursday
2016-02-26,16,513,0.08,0.01,0.0,01 to 02,0.0033333333333333335,0.004815434123430768,Friday
2016-02-29,19,513,0.05,0.01,0.0,17 to 18,0.0020833333333333333,0.004148511169990534,Monday
2016-01-03,16,513,0.08,0.01,0.0,01 to 02,0.0033333333333333335,0.004815434123430768,Sunday
2016-02-03,16,513,0.08,0.01,0.0,03 to 04,0.0033333333333333335,0.004815434123430768,Wednesday
2016-03-03,16,513,0.08,0.01,0.0,02 to 03,0.0033333333333333335,0.004815434123430769,Thursday
2016-04-03,20,513,0.04,0.01,0.0,01 to 02,0.0016666666666666668,0.0038069349381344058,Sunday
2016-05-03,19,513,0.05,0.01,0.0,03 to 04,0.0020833333333333333,0.004148511169990534,Tuesday
