Date,ZeroHours,CompleteBlackoutDays,UnitsConsumed,MaxConsumption,MinConsumption,MaxHour,MeanConsumption,StdDev,DayOfTheWeek
2016-01-02,12,648,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Saturday
2016-02-02,13,648,0.12000000000000001,0.02,0.0,18 to 19,0.004999999999999999,0.0058976782461958865,Tuesday
2016-03-02,18,648,0.06,0.01,0.0,01 to 02,0.0025,0.004423258684646913,Wednesday
2016-04-02,19,648,0.05,0.01,0.0,02 to 03,0.0020833333333333333,0.004148511169990534,Saturday
2016-05-02,15,648,0.09,0.01,0.0,02 to 03,0.00375,0.004945353550468404,Monday
2016-06-02,12,648,0.13,0.02,0.0,22 to 23,0.005416666666666667,0.005882299658752716,Thursday
2016-07-02,12,648,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Saturday
2016-08-02,17,648,0.08,0.02,0.0,19 to 20,0.0033333333333333335,0.005646597025732798,Tuesday
2016-09-02,18,648,0.06,0.01,0.0,01 to 02,0.0025,0.004423258684646913,Friday
2016-10-02,12,648,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Sunday
2016-11-02,16,648,0.08,0.01,0.0,02 to 03,0.0033333333333333335,0.004815434123430768,Wednesday
2016-12-02,17,648,0.07,0.01,0.0,01 to 02,0.002916666666666667,0.004643056214875366,Friday
2016-02-13,14,648,0.1,0.01,0.0,00 to 01,0.004166666666666667,0.00503610155185335,Saturday
2016-02-14,22,648,0.02,0.01,0.0,02 to 03,0.0008333333333333334,0.0028232985128663988,Sunday
2016-02-15,18,648,0.06,0.01,0.0,18 to 19,0.0025,0.004423258684646914,Monday
2016-02-16,16,648,0.08,0.01,0.0,03 to 04,0.0033333333333333335,0.004815434123430768,Tuesday
2016-02-17,12,648,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Wednesday
2016-02-18,15,648,0.09,0.01,0.0,01 to 02,0.00375,0.004945353550468404,Thursday
2016-02-19,16,648,0.08,0.01,0.0,01 to 02,0.0033333333333333335,0.004815434123430768,Friday
2016-02-20,16,648,0.09,0.02,0.0,23 to 24,0.0037500000000000003,0.005757792451369144,Saturday
2016-02-21,13,648,0.11000000000000001,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040515,Sunday
2016-02-22,16,648,0.08,0.01,0.0,00 to 01,0.0033333333333333335,0.004815434123430768,Monday
2016-02-23,15,648,0.1,0.02,0.0,21 to 22,0.004166666666666667,0.0058359207512176485,Tuesday
2016-02-24,17,648,0.07,0.01,0.0,03 to 04,0.002916666666666667,0.004643056214875366,Wednesday
2016-02-25,12,648,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Thursday
2016-02-26,12,648,0.13,0.02,0.0,01 to 02,0.005416666666666666,0.005882299658752716,Friday
2016-02-27,18,648,0.07,0.02,0.0,18 to 19,0.002916666666666667,0.0055003293709018726,Saturday
2016-02-28,14,648,0.13,0.04,0.0,22 to 23,0.005416666666666667,0.008836272412331318,Sunday
2016-02-29,11,648,0.13,0.01,0.0,00 to 01,0.005416666666666666,0.005089773777040516,Monday
2016-01-03,15,648,0.1,0.02,0.0,23 to 24,0.004166666666666667,0.005835920751217648,Sunday
2016-02-03,12,648,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Wednesday
2016-03-03,12,648,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Thursday
2016-04-03,12,648,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Sunday
2016-05-03,12,648,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Tuesday
2016-06-03,12,648,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Friday
2016-07-03,18,648,0.06,0.01,0.0,03 to 04,0.0025,0.004423258684646914,Sunday
2016-08-03,12,648,0.13,0.02,0.0,20 to 21,0.005416666666666667,0.005882299658752716,Wednesday
2016-09-03,16,648,0.08,0.01,0.0,03 to 04,0.0033333333333333335,0.004815434123430768,Saturday
2016-10-03,12,648,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Monday
2016-11-03,23,648,0.01,0.01,0.0,22 to 23,0.0004166666666666667,0.0020412414523193153,Thursday
2016-12-03,22,648,0.02,0.01,0.0,04 to 05,0.0008333333333333334,0.0028232985128663988,Saturday
2016-03-13,22,648,0.02,0.01,0.0,18 to 19,0.0008333333333333334,0.0028232985128663996,Sunday
2016-03-14,22,648,0.02,0.01,0.0,01 to 02,0.0008333333333333334,0.0028232985128663988,Monday
2016-03-15,21,648,0.03,0.01,0.0,01 to 02,0.00125,0.0033783196234608804,Tuesday
2016-03-16,23,648,0.01,0.01,0.0,23 to 24,0.0004166666666666667,0.0020412414523193153,Wednesday
2016-03-17,19,648,0.05,0.01,0.0,01 to 02,0.0020833333333333333,0.004148511169990534,Thursday
2016-03-18,16,648,0.2,0.13,0.0,23 to 24,0.008333333333333333,0.02632021320560314,Friday
2016-03-19,11,648,0.81,0.15,0.0,01 to 02,0.03375000000000001,0.057089746281051054,Saturday
2016-03-20,13,648,0.11000000000000001,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040515,Sunday
2016-03-21,19,648,0.05,0.01,0.0,03 to 04,0.0020833333333333333,0.004148511169990534,Monday
2016-03-22,21,648,0.03,0.01,0.0,04 to 05,0.00125,0.0033783196234608813,Tuesday
2016-03-23,22,648,0.02,0.01,0.0,01 to 02,0.0008333333333333334,0.0028232985128663988,Wednesday
2016-03-24,20,648,0.04,0.01,0.0,01 to 02,0.0016666666666666668,0.0038069349381344058,Thursday
2016-03-25,23,648,0.01,0.01,0.0,04 to 05,0.0004166666666666667,0.002041241452319315,Friday
2016-03-26,20,648,0.04,0.01,0.0,20 to 21,0.0016666666666666668,0.0038069349381344053,Saturday
2016-03-27,11,648,0.14,0.02,0.0,11 to 12,0.005833333333333333,0.0058359207512176485,Sunday
2016-03-28,19,648,0.05,0.01,0.0,03 to 04,0.0020833333333333333,0.004148511169990534,Monday
2016-03-29,20,648,0.04,0.01,0.0,03 to 04,0.0016666666666666668,0.0038069349381344045,Tuesday
2016-03-30,19,648,0.05,0.01,0.0,01 to 02,0.0020833333333333333,0.004148511169990534,Wednesday
2016-03-31,18,648,0.06,0.01,0.0,01 to 02,0.0025,0.004423258684646914,Thursday
2016-01-04,12,648,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Monday
2016-02-04,17,648,0.07,0.01,0.0,00 to 01,0.002916666666666667,0.004643056214875366,Thursday
2016-03-04,18,648,0.06,0.01,0.0,03 to 04,0.0025,0.004423258684646913,Friday
2016-04-04,18,648,0.06,0.01,0.0,01 to 02,0.0025,0.004423258684646913,Monday
2016-05-04,17,648,0.07,0.01,0.0,01 to 02,0.002916666666666667,0.004643056214875366,Wednesday
2016-06-04,12,648,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Saturday
2016-07-04,12,648,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Monday
2016-08-04,12,648,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Thursday
2016-09-04,12,648,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Sunday
2016-10-04,14,648,0.1,0.01,0.0,00 to 01,0.004166666666666667,0.00503610155185335,Tuesday
2016-11-04,17,648,0.07,0.01,0.0,01 to 02,0.002916666666666667,0.004643056214875366,Friday
2016-12-04,18,648,0.06,0.01,0.0,01 to 02,0.0025,0.004423258684646914,Sunday
2016-04-13,15,648,0.09,0.01,0.0,01 to 02,0.00375,0.004945353550468404,Wednesday
2016-04-14,18,648,0.060000000000000005,0.01,0.0,00 to 01,0.0025,0.004423258684646916,Thursday
2016-04-19,19,648,0.05,0.01,0.0,19 to 20,0.0020833333333333333,0.004148511169990534,Tuesday
2016-04-20,19,648,0.05,0.01,0.0,00 to 01,0.0020833333333333333,0.004148511169990532,Wednesday
