Date,ZeroHours,CompleteBlackoutDays,UnitsConsumed,MaxConsumption,MinConsumption,MaxHour,MeanConsumption,StdDev,DayOfTheWeek
2016-01-02,22,507,0.02,0.01,0.0,01 to 02,0.0008333333333333334,0.0028232985128663988,Saturday
2016-02-02,18,507,0.060000000000000005,0.01,0.0,02 to 03,0.0025,0.004423258684646913,Tuesday
2016-03-02,16,507,0.08,0.01,0.0,00 to 01,0.0033333333333333335,0.004815434123430767,Wednesday
2016-04-02,20,507,0.04,0.01,0.0,02 to 03,0.0016666666666666668,0.003806934938134405,Saturday
2016-05-02,15,507,0.09,0.01,0.0,01 to 02,0.00375,0.004945353550468404,Monday
2016-06-02,12,507,0.19,0.08,0.0,17 to 18,0.007916666666666669,0.01614584794295739,Thursday
2016-07-02,19,507,0.05,0.01,0.0,00 to 01,0.0020833333333333333,0.004148511169990532,Saturday
2016-11-02,21,507,0.03,0.01,0.0,19 to 20,0.00125,0.0033783196234608813,Wednesday
2016-12-02,20,507,0.04,0.01,0.0,02 to 03,0.0016666666666666668,0.0038069349381344058,Friday
2016-02-13,21,507,0.03,0.01,0.0,03 to 04,0.00125,0.0033783196234608817,Saturday
2016-02-14,23,507,0.01,0.01,0.0,03 to 04,0.0004166666666666667,0.002041241452319315,Sunday
2016-02-15,21,507,0.03,0.01,0.0,19 to 20,0.00125,0.0033783196234608813,Monday
2016-02-16,21,507,0.03,0.01,0.0,01 to 02,0.00125,0.0033783196234608804,Tuesday
2016-02-17,22,507,0.02,0.01,0.0,01 to 02,0.0008333333333333334,0.0028232985128663988,Wednesday
2016-02-18,21,507,0.06,0.04,0.0,08 to 09,0.0025,0.008469895538599198,Thursday
2016-02-19,20,507,0.04,0.01,0.0,01 to 02,0.0016666666666666668,0.0038069349381344053,Friday
2016-02-20,22,507,0.02,0.01,0.0,04 to 05,0.0008333333333333334,0.0028232985128663988,Saturday
2016-02-21,20,507,0.04,0.01,0.0,03 to 04,0.0016666666666666668,0.0038069349381344058,Sunday
2016-02-22,21,507,0.03,0.01,0.0,00 to 01,0.00125,0.0033783196234608804,Monday
2016-02-23,21,507,0.03,0.01,0.0,01 to 02,0.00125,0.0033783196234608817,Tuesday
2016-02-24,16,507,0.15,0.08,0.0,17 to 18,0.006250000000000001,0.01636871352943461,Wednesday
2016-02-25,20,507,0.04,0.01,0.0,03 to 04,0.0016666666666666668,0.0038069349381344058,Thursday
2016-02-26,20,507,0.04,0.01,0.0,03 to 04,0.0016666666666666668,0.0038069349381344045,Friday
2016-02-27,19,507,0.05,0.01,0.0,03 to 04,0.0020833333333333333,0.004148511169990534,Saturday
2016-02-28,19,507,0.05,0.01,0.0,02 to 03,0.0020833333333333333,0.004148511169990534,Sunday
2016-02-29,18,507,0.06,0.01,0.0,02 to 03,0.0025,0.004423258684646913,Monday
2016-01-03,17,507,0.07,0.01,0.0,00 to 01,0.002916666666666667,0.004643056214875366,Sunday
2016-02-03,17,507,0.07,0.01,0.0,03 to 04,0.002916666666666667,0.004643056214875366,Wednesday
2016-03-03,14,507,0.1,0.01,0.0,00 to 01,0.004166666666666667,0.00503610155185335,Thursday
2016-04-03,17,507,0.07,0.01,0.0,00 to 01,0.002916666666666667,0.004643056214875366,Sunday
2016-05-03,22,507,0.02,0.01,0.0,01 to 02,0.0008333333333333334,0.0028232985128663988,Tuesday
2016-06-03,20,507,0.04,0.01,0.0,01 to 02,0.0016666666666666668,0.0038069349381344058,Friday
2016-07-03,21,507,0.03,0.01,0.0,01 to 02,0.00125,0.0033783196234608804,Sunday
2016-08-03,18,507,0.06,0.01,0.0,00 to 01,0.0025,0.004423258684646916,Wednesday
2016-09-03,21,507,0.03,0.01,0.0,03 to 04,0.00125,0.0033783196234608804,Saturday
2016-10-03,21,507,0.03,0.01,0.0,01 to 02,0.00125,0.0033783196234608817,Monday
2016-11-03,21,507,0.03,0.01,0.0,01 to 02,0.00125,0.0033783196234608817,Thursday
2016-03-13,20,507,0.04,0.01,0.0,20 to 21,0.0016666666666666668,0.0038069349381344053,Sunday
2016-03-14,19,507,0.05,0.01,0.0,00 to 01,0.0020833333333333333,0.004148511169990532,Monday
2016-03-16,23,507,0.01,0.01,0.0,20 to 21,0.0004166666666666667,0.0020412414523193153,Wednesday
2016-03-17,22,507,0.02,0.01,0.0,01 to 02,0.0008333333333333334,0.0028232985128663988,Thursday
2016-03-18,22,507,0.02,0.01,0.0,01 to 02,0.0008333333333333334,0.0028232985128663988,Friday
2016-03-19,21,507,0.03,0.01,0.0,04 to 05,0.00125,0.0033783196234608817,Saturday
2016-03-20,22,507,0.02,0.01,0.0,04 to 05,0.0008333333333333334,0.0028232985128663988,Sunday
2016-03-21,21,507,0.03,0.01,0.0,01 to 02,0.00125,0.0033783196234608804,Monday
2016-03-22,21,507,0.03,0.01,0.0,01 to 02,0.00125,0.0033783196234608817,Tuesday
2016-03-23,21,507,0.03,0.01,0.0,02 to 03,0.00125,0.0033783196234608817,Wednesday
2016-03-24,21,507,0.03,0.01,0.0,02 to 03,0.00125,0.0033783196234608817,Thursday
2016-03-25,21,507,0.03,0.01,0.0,03 to 04,0.00125,0.0033783196234608817,Friday
2016-03-26,21,507,0.03,0.01,0.0,03 to 04,0.00125,0.0033783196234608813,Saturday
2016-03-28,21,507,0.03,0.01,0.0,04 to 05,0.00125,0.0033783196234608813,Monday
2016-03-30,22,507,0.02,0.01,0.0,20 to 21,0.0008333333333333334,0.0028232985128663996,Wednesday
2016-03-31,21,507,0.03,0.01,0.0,18 to 19,0.00125,0.0033783196234608813,Thursday
2016-01-04,23,507,0.06,0.06,0.0,17 to 18,0.0025,0.012247448713915891,Monday
2016-03-04,22,507,0.02,0.01,0.0,20 to 21,0.0008333333333333334,0.0028232985128663996,Friday
2016-05-04,23,507,0.01,0.01,0.0,21 to 22,0.0004166666666666667,0.0020412414523193153,Wednesday
2016-09-04,23,507,0.01,0.01,0.0,19 to 20,0.0004166666666666667,0.0020412414523193153,Sunday
2016-12-04,22,507,0.02,0.01,0.0,21 to 22,0.0008333333333333334,0.0028232985128663996,Sunday
2016-04-13,23,507,0.01,0.01,0.0,02 to 03,0.0004166666666666667,0.002041241452319315,Wednesday
2016-04-18,23,507,0.01,0.01,0.0,21 to 22,0.0004166666666666667,0.0020412414523193153,Monday
2016-04-30,23,507,0.01,0.01,0.0,23 to 24,0.0004166666666666667,0.0020412414523193153,Saturday
2016-03-05,23,507,0.01,0.01,0.0,20 to 21,0.0004166666666666667,0.0020412414523193153,Saturday
2016-04-05,17,507,0.28,0.06,0.0,04 to 05,0.011666666666666667,0.020781820371926385,Tuesday
2016-05-05,22,507,0.02,0.01,0.0,18 to 19,0.0008333333333333334,0.0028232985128663996,Thursday
2016-06-05,23,507,0.01,0.01,0.0,18 to 19,0.0004166666666666667,0.0020412414523193153,Sunday
2016-07-05,23,507,0.01,0.01,0.0,19 to 20,0.0004166666666666667,0.0020412414523193153,Tuesday
2016-09-05,22,507,0.02,0.01,0.0,19 to 20,0.0008333333333333334,0.0028232985128663996,Monday
2016-10-05,23,507,0.01,0.01,0.0,03 to 04,0.0004166666666666667,0.002041241452319315,Wednesday
2016-11-05,23,507,0.01,0.01,0.0,20 to 21,0.0004166666666666667,0.0020412414523193153,Saturday
2016-05-13,23,507,0.01,0.01,0.0,20 to 21,0.0004166666666666667,0.0020412414523193153,Friday
2016-05-14,19,507,0.05,0.01,0.0,19 to 20,0.0020833333333333333,0.004148511169990534,Saturday
2016-05-15,19,507,0.05,0.01,0.0,00 to 01,0.0020833333333333333,0.004148511169990532,Sunday
2016-05-17,23,507,0.01,0.01,0.0,21 to 22,0.0004166666666666667,0.0020412414523193153,Tuesday
2016-05-18,16,507,0.22,0.06,0.0,13 to 14,0.009166666666666668,0.01665941871387048,Wednesday
2016-05-19,21,507,0.03,0.01,0.0,00 to 01,0.00125,0.00337831962346088,Thursday
2016-05-20,20,507,0.04,0.01,0.0,20 to 21,0.0016666666666666668,0.0038069349381344053,Friday
2016-05-21,19,507,0.05,0.01,0.0,00 to 01,0.0020833333333333333,0.004148511169990532,Saturday
2016-05-22,23,507,0.01,0.01,0.0,13 to 14,0.0004166666666666667,0.0020412414523193153,Sunday
2016-05-23,23,507,0.01,0.01,0.0,21 to 22,0.0004166666666666667,0.0020412414523193153,Monday
2016-05-25,23,507,0.01,0.01,0.0,18 to 19,0.0004166666666666667,0.0020412414523193153,Wednesday
2016-05-27,23,507,0.01,0.01,0.0,21 to 22,0.0004166666666666667,0.0020412414523193153,Friday
2016-05-28,22,507,0.02,0.01,0.0,20 to 21,0.0008333333333333334,0.0028232985128663996,Saturday
2016-05-29,21,507,0.03,0.01,0.0,19 to 20,0.00125,0.0033783196234608813,Sunday
2016-05-30,22,507,0.02,0.01,0.0,01 to 02,0.0008333333333333334,0.0028232985128663988,Monday
2016-01-08,23,507,0.01,0.01,0.0,19 to 20,0.0004166666666666667,0.0020412414523193153,Friday
2017-03-17,23,507,0.01,0.01,0.0,21 to 22,0.0004166666666666667,0.0020412414523193153,Friday
2017-03-18,19,507,0.05,0.01,0.0,01 to 02,0.0020833333333333333,0.0041485111699905335,Saturday
2017-03-19,21,507,0.03,0.01,0.0,01 to 02,0.00125,0.0033783196234608804,Sunday
2017-03-20,20,507,0.04,0.01,0.0,02 to 03,0.0016666666666666668,0.0038069349381344045,Monday
2017-03-21,22,507,0.02,0.01,0.0,03 to 04,0.0008333333333333334,0.0028232985128663988,Tuesday
2017-03-22,21,507,0.03,0.01,0.0,01 to 02,0.00125,0.0033783196234608804,Wednesday
2017-03-23,23,507,0.01,0.01,0.0,22 to 23,0.0004166666666666667,0.0020412414523193153,Thursday
2017-03-24,22,507,0.02,0.01,0.0,03 to 04,0.0008333333333333334,0.0028232985128663988,Friday
2017-03-25,22,507,0.02,0.01,0.0,04 to 05,0.0008333333333333334,0.0028232985128663988,Saturday
2017-03-26,22,507,0.02,0.01,0.0,04 to 05,0.0008333333333333334,0.0028232985128663988,Sunday
2017-03-28,23,507,0.01,0.01,0.0,19 to 20,0.0004166666666666667,0.0020412414523193153,Tuesday
2017-03-29,23,507,0.01,0.01,0.0,19 to 20,0.0004166666666666667,0.0020412414523193153,Wednesday
2017-03-30,21,507,0.03,0.01,0.0,19 to 20,0.00125,0.0033783196234608813,Thursday
2017-03-04,23,507,0.01,0.01,0.0,20 to 21,0.0004166666666666667,0.0020412414523193153,Saturday
2017-04-04,22,507,0.02,0.01,0.0,19 to 20,0.0008333333333333334,0.0028232985128663996,Tuesday
2017-06-04,23,507,0.01,0.01,0.0,20 to 21,0.0004166666666666667,0.0020412414523193153,Sunday
2017-09-04,23,507,0.01,0.01,0.0,20 to 21,0.0004166666666666667,0.0020412414523193153,Monday
2017-10-04,22,507,0.02,0.01,0.0,20 to 21,0.0008333333333333334,0.0028232985128663996,Wednesday
2017-11-04,23,507,0.01,0.01,0.0,21 to 22,0.0004166666666666667,0.0020412414523193153,Saturday
2017-12-04,23,507,0.01,0.01,0.0,20 to 21,0.0004166666666666667,0.0020412414523193153,Monday
2017-04-13,22,507,0.02,0.01,0.0,19 to 20,0.0008333333333333334,0.0028232985128663996,Thursday
2017-04-14,22,507,0.02,0.01,0.0,20 to 21,0.0008333333333333334,0.0028232985128663996,Friday
2017-04-15,22,507,0.02,0.01,0.0,19 to 20,0.0008333333333333334,0.0028232985128663996,Saturday
2017-04-17,23,507,0.01,0.01,0.0,21 to 22,0.0004166666666666667,0.0020412414523193153,Monday
2017-04-18,22,507,0.02,0.01,0.0,19 to 20,0.0008333333333333334,0.0028232985128663996,Tuesday
2017-04-19,23,507,0.01,0.01,0.0,20 to 21,0.0004166666666666667,0.0020412414523193153,Wednesday
2017-04-20,23,507,0.01,0.01,0.0,20 to 21,0.0004166666666666667,0.0020412414523193153,Thursday
2017-04-21,23,507,0.01,0.01,0.0,20 to 21,0.0004166666666666667,0.0020412414523193153,Friday
2017-04-22,22,507,0.02,0.01,0.0,19 to 20,0.0008333333333333334,0.0028232985128663996,Saturday
2017-04-23,23,507,0.01,0.01,0.0,20 to 21,0.0004166666666666667,0.0020412414523193153,Sunday
2017-04-24,22,507,0.02,0.01,0.0,00 to 01,0.0008333333333333334,0.0028232985128663988,Monday
2017-04-25,22,507,0.02,0.01,0.0,19 to 20,0.0008333333333333334,0.0028232985128663996,Tuesday
2017-04-27,21,507,0.03,0.01,0.0,19 to 20,0.00125,0.0033783196234608813,Thursday
2017-04-28,21,507,0.03,0.01,0.0,19 to 20,0.00125,0.0033783196234608813,Friday
2017-04-29,20,507,0.04,0.01,0.0,19 to 20,0.0016666666666666668,0.0038069349381344053,Saturday
2017-04-30,22,507,0.02,0.01,0.0,19 to 20,0.0008333333333333334,0.0028232985128663996,Sunday
2017-01-05,23,507,0.01,0.01,0.0,20 to 21,0.0004166666666666667,0.0020412414523193153,Thursday
2017-02-05,21,507,0.03,0.01,0.0,20 to 21,0.00125,0.0033783196234608813,Sunday
2017-03-05,21,507,0.03,0.01,0.0,21 to 22,0.00125,0.0033783196234608813,Sunday
2017-04-05,21,507,0.03,0.01,0.0,02 to 03,0.00125,0.0033783196234608817,Wednesday
2017-05-05,22,507,0.02,0.01,0.0,19 to 20,0.0008333333333333334,0.0028232985128663996,Friday
2017-06-05,20,507,0.04,0.01,0.0,19 to 20,0.0016666666666666668,0.0038069349381344053,Monday
2017-07-05,21,507,0.03,0.01,0.0,19 to 20,0.00125,0.0033783196234608813,Wednesday
