Date,ZeroHours,CompleteBlackoutDays,UnitsConsumed,MaxConsumption,MinConsumption,MaxHour,MeanConsumption,StdDev,DayOfTheWeek
2016-01-02,13,473,0.12000000000000001,0.02,0.0,23 to 24,0.005,0.005897678246195885,Saturday
2016-02-02,16,473,0.12000000000000001,0.05,0.0,04 to 05,0.004999999999999999,0.010632190661423893,Tuesday
2016-03-02,12,473,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Wednesday
2016-04-02,15,473,0.1,0.02,0.0,20 to 21,0.004166666666666667,0.0058359207512176485,Saturday
2016-05-02,17,473,0.09,0.02,0.0,10 to 11,0.0037500000000000003,0.006468989572333266,Monday
2016-06-02,16,473,0.13,0.05,0.0,03 to 04,0.005416666666666666,0.011025333147551273,Thursday
2016-07-02,16,473,0.1,0.03,0.0,00 to 01,0.004166666666666667,0.007172815023567723,Saturday
2016-08-02,13,473,0.14,0.02,0.0,00 to 01,0.005833333333333333,0.007172815023567727,Tuesday
2016-09-02,15,473,0.09000000000000001,0.01,0.0,00 to 01,0.00375,0.004945353550468404,Friday
2016-10-02,17,473,0.14,0.05,0.0,01 to 02,0.005833333333333333,0.012825472842090012,Sunday
2016-11-02,15,473,0.13999999999999999,0.06,0.0,04 to 05,0.005833333333333333,0.012481870911416903,Wednesday
2016-12-02,12,473,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Friday
2016-02-13,14,473,0.11,0.02,0.0,21 to 22,0.004583333333333333,0.005882299658752716,Saturday
2016-02-14,21,473,0.04,0.02,0.0,00 to 01,0.0016666666666666668,0.004815434123430767,Sunday
2016-02-16,21,473,0.05,0.03,0.0,21 to 22,0.0020833333333333333,0.006580053301400785,Tuesday
2016-02-17,20,473,0.09999999999999999,0.06,0.0,10 to 11,0.004166666666666667,0.012825472842090012,Wednesday
2016-02-18,17,473,0.13,0.07,0.0,03 to 04,0.005416666666666666,0.014440030912488482,Thursday
2016-02-19,22,473,0.08,0.07,0.0,11 to 12,0.0033333333333333335,0.014345630047135448,Friday
2016-02-20,23,473,0.1,0.1,0.0,13 to 14,0.004166666666666667,0.020412414523193145,Saturday
2016-02-21,21,473,0.07999999999999999,0.06,0.0,17 to 18,0.0033333333333333327,0.01239448217578278,Sunday
2016-02-22,22,473,0.05,0.04,0.0,13 to 14,0.0020833333333333333,0.008329709356935241,Monday
2016-02-23,23,473,0.04,0.04,0.0,07 to 08,0.0016666666666666668,0.008164965809277261,Tuesday
2016-01-03,23,473,0.01,0.01,0.0,21 to 22,0.0004166666666666667,0.0020412414523193153,Sunday
2016-02-03,22,473,0.02,0.01,0.0,03 to 04,0.0008333333333333334,0.0028232985128663988,Wednesday
2016-03-03,20,473,0.04,0.01,0.0,00 to 01,0.0016666666666666668,0.0038069349381344058,Thursday
2016-04-03,20,473,0.04,0.01,0.0,02 to 03,0.0016666666666666668,0.0038069349381344058,Sunday
2016-05-03,20,473,0.04,0.01,0.0,02 to 03,0.0016666666666666668,0.0038069349381344058,Tuesday
2016-06-03,19,473,0.05,0.01,0.0,01 to 02,0.0020833333333333333,0.0041485111699905335,Friday
2016-07-03,20,473,0.04,0.01,0.0,02 to 03,0.0016666666666666668,0.0038069349381344058,Sunday
2016-08-03,19,473,0.05,0.01,0.0,02 to 03,0.0020833333333333333,0.004148511169990534,Wednesday
2016-09-03,20,473,0.04,0.01,0.0,02 to 03,0.0016666666666666668,0.0038069349381344058,Saturday
2016-10-03,21,473,0.03,0.01,0.0,01 to 02,0.00125,0.0033783196234608804,Monday
2016-11-03,20,473,0.04,0.01,0.0,00 to 01,0.0016666666666666668,0.0038069349381344058,Thursday
2016-12-03,19,473,0.05,0.01,0.0,01 to 02,0.0020833333333333333,0.004148511169990534,Saturday
2016-03-13,22,473,0.02,0.01,0.0,02 to 03,0.0008333333333333334,0.0028232985128663988,Sunday
2016-03-14,21,473,0.03,0.01,0.0,01 to 02,0.00125,0.0033783196234608804,Monday
2016-03-15,22,473,0.02,0.01,0.0,01 to 02,0.0008333333333333334,0.0028232985128663988,Tuesday
2016-03-16,22,473,0.02,0.01,0.0,21 to 22,0.0008333333333333334,0.0028232985128663996,Wednesday
2016-03-17,20,473,0.04,0.01,0.0,02 to 03,0.0016666666666666668,0.0038069349381344058,Thursday
2016-03-18,21,473,0.03,0.01,0.0,01 to 02,0.00125,0.0033783196234608804,Friday
2016-03-19,20,473,0.04,0.01,0.0,01 to 02,0.0016666666666666668,0.0038069349381344058,Saturday
2016-03-20,21,473,0.03,0.01,0.0,01 to 02,0.00125,0.0033783196234608804,Sunday
2016-03-21,20,473,0.04,0.01,0.0,00 to 01,0.0016666666666666668,0.0038069349381344058,Monday
