Date,ZeroHours,CompleteBlackoutDays,UnitsConsumed,MaxConsumption,MinConsumption,MaxHour,MeanConsumption,StdDev,DayOfTheWeek
2016-01-02,18,439,0.060000000000000005,0.01,0.0,00 to 01,0.0025,0.004423258684646916,Saturday
2016-02-02,20,439,0.04,0.01,0.0,18 to 19,0.0016666666666666668,0.0038069349381344053,Tuesday
2016-03-02,19,439,0.05,0.01,0.0,17 to 18,0.0020833333333333333,0.004148511169990534,Wednesday
2016-04-02,17,439,0.07,0.01,0.0,02 to 03,0.002916666666666667,0.004643056214875366,Saturday
2016-05-02,18,439,0.06,0.01,0.0,02 to 03,0.0025,0.004423258684646913,Monday
2016-06-02,15,439,0.09,0.01,0.0,01 to 02,0.00375,0.004945353550468404,Thursday
2016-07-02,17,439,0.07,0.01,0.0,02 to 03,0.002916666666666667,0.004643056214875366,Saturday
2016-08-02,16,439,0.08,0.01,0.0,01 to 02,0.0033333333333333335,0.004815434123430769,Tuesday
2016-09-02,16,439,0.08,0.01,0.0,01 to 02,0.0033333333333333335,0.004815434123430768,Friday
2016-10-02,12,439,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Sunday
2016-11-02,12,439,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Wednesday
2016-12-02,12,439,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Friday
2016-02-13,13,439,0.11000000000000001,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040515,Saturday
2016-02-14,22,439,0.02,0.01,0.0,01 to 02,0.0008333333333333334,0.0028232985128663988,Sunday
2016-02-16,21,439,0.03,0.01,0.0,20 to 21,0.00125,0.0033783196234608813,Tuesday
2016-02-17,13,439,0.11000000000000001,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040515,Wednesday
2016-02-18,15,439,0.09,0.01,0.0,00 to 01,0.00375,0.004945353550468404,Thursday
2016-02-19,17,439,0.07,0.01,0.0,01 to 02,0.002916666666666667,0.004643056214875366,Friday
2016-02-20,16,439,0.08,0.01,0.0,02 to 03,0.0033333333333333335,0.004815434123430768,Saturday
2016-02-21,15,439,0.11,0.02,0.0,17 to 18,0.0045833333333333325,0.0065800533014007834,Sunday
2016-02-22,18,439,0.06,0.01,0.0,01 to 02,0.0025,0.004423258684646914,Monday
2016-02-23,18,439,0.06,0.01,0.0,01 to 02,0.0025,0.004423258684646913,Tuesday
2016-02-24,17,439,0.07,0.01,0.0,01 to 02,0.002916666666666667,0.004643056214875366,Wednesday
2016-02-25,16,439,0.08,0.01,0.0,02 to 03,0.0033333333333333335,0.004815434123430769,Thursday
2016-02-26,18,439,0.06,0.01,0.0,01 to 02,0.0025,0.004423258684646914,Friday
2016-02-27,18,439,0.06,0.01,0.0,18 to 19,0.0025,0.004423258684646914,Saturday
2016-02-28,21,439,0.07999999999999999,0.06,0.0,22 to 23,0.0033333333333333327,0.012394482175782782,Sunday
2016-02-29,16,439,0.08,0.01,0.0,01 to 02,0.0033333333333333335,0.004815434123430769,Monday
2016-01-03,17,439,0.07,0.01,0.0,02 to 03,0.002916666666666667,0.004643056214875366,Sunday
2016-02-03,16,439,0.08,0.01,0.0,03 to 04,0.0033333333333333335,0.004815434123430768,Wednesday
