Date,ZeroHours,CompleteBlackoutDays,UnitsConsumed,MaxConsumption,MinConsumption,MaxHour,MeanConsumption,StdDev,DayOfTheWeek
2016-01-02,19,487,0.12000000000000001,0.03,0.0,18 to 19,0.005,0.010215078369104983,Saturday
2016-02-02,16,487,0.18,0.04,0.0,02 to 03,0.007500000000000001,0.01224744871391589,Tuesday
2016-03-02,12,487,0.19,0.03,0.0,19 to 20,0.007916666666666667,0.00931532942621143,Wednesday
2016-04-02,18,487,0.11,0.04,0.0,23 to 24,0.004583333333333334,0.009770927002733857,Saturday
2016-05-02,18,487,0.09999999999999999,0.02,0.0,10 to 11,0.004166666666666667,0.0077553160822903845,Monday
2016-06-02,18,487,0.10999999999999999,0.04,0.0,03 to 04,0.004583333333333333,0.009770927002733857,Thursday
2016-07-02,17,487,0.1,0.02,0.0,18 to 19,0.004166666666666667,0.007172815023567723,Saturday
2016-08-02,17,487,0.09,0.02,0.0,18 to 19,0.00375,0.006468989572333266,Tuesday
2016-09-02,18,487,0.06999999999999999,0.02,0.0,19 to 20,0.0029166666666666664,0.005500329370901873,Friday
2016-10-02,18,487,0.1,0.03,0.0,01 to 02,0.004166666666666667,0.008297022339981067,Sunday
2016-11-02,18,487,0.08,0.02,0.0,08 to 09,0.0033333333333333327,0.006370220572706062,Wednesday
2016-12-02,18,487,0.07,0.02,0.0,19 to 20,0.002916666666666667,0.0055003293709018726,Friday
2016-02-13,18,487,0.11,0.04,0.0,21 to 22,0.004583333333333333,0.009770927002733857,Saturday
2016-02-14,21,487,0.03,0.01,0.0,00 to 01,0.00125,0.0033783196234608804,Sunday
2016-02-16,23,487,0.03,0.03,0.0,21 to 22,0.00125,0.006123724356957945,Tuesday
2016-02-17,22,487,0.09,0.05,0.0,20 to 21,0.00375,0.012790111669635224,Wednesday
2016-02-18,20,487,0.1,0.04,0.0,08 to 09,0.004166666666666667,0.01017954755408103,Thursday
2016-02-19,23,487,0.02,0.02,0.0,19 to 20,0.0008333333333333334,0.004082482904638631,Friday
2016-02-20,23,487,0.06,0.06,0.0,13 to 14,0.0025,0.012247448713915893,Saturday
