Date,ZeroHours,CompleteBlackoutDays,UnitsConsumed,MaxConsumption,MinConsumption,MaxHour,MeanConsumption,StdDev,DayOfTheWeek
2016-01-02,16,401,0.08,0.01,0.0,01 to 02,0.0033333333333333335,0.004815434123430768,Saturday
2016-02-02,19,401,0.05,0.01,0.0,02 to 03,0.0020833333333333333,0.004148511169990534,Tuesday
2016-03-02,18,401,0.06,0.01,0.0,01 to 02,0.0025,0.004423258684646914,Wednesday
2016-04-02,18,401,0.06,0.01,0.0,02 to 03,0.0025,0.004423258684646913,Saturday
2016-05-02,17,401,0.07,0.01,0.0,02 to 03,0.002916666666666667,0.004643056214875366,Monday
2016-06-02,17,401,0.07,0.01,0.0,02 to 03,0.002916666666666667,0.004643056214875366,Thursday
2016-07-02,22,401,0.02,0.01,0.0,01 to 02,0.0008333333333333334,0.0028232985128663988,Saturday
2016-11-02,20,401,0.04,0.01,0.0,18 to 19,0.0016666666666666668,0.0038069349381344058,Wednesday
2016-12-02,18,401,0.06,0.01,0.0,02 to 03,0.0025,0.004423258684646913,Friday
2016-02-13,20,401,0.04,0.01,0.0,18 to 19,0.0016666666666666668,0.0038069349381344053,Saturday
2016-02-14,23,401,0.01,0.01,0.0,03 to 04,0.0004166666666666667,0.002041241452319315,Sunday
2016-02-16,20,401,0.04,0.01,0.0,18 to 19,0.0016666666666666668,0.0038069349381344053,Tuesday
2016-02-17,19,401,0.05,0.01,0.0,01 to 02,0.0020833333333333333,0.0041485111699905335,Wednesday
2016-02-18,21,401,0.03,0.01,0.0,18 to 19,0.00125,0.0033783196234608813,Thursday
2016-02-19,18,401,0.06,0.01,0.0,02 to 03,0.0025,0.004423258684646914,Friday
2016-02-20,21,401,0.03,0.01,0.0,04 to 05,0.00125,0.0033783196234608813,Saturday
2016-02-21,21,401,0.03,0.01,0.0,04 to 05,0.00125,0.0033783196234608817,Sunday
2016-02-22,19,401,0.05,0.01,0.0,03 to 04,0.0020833333333333333,0.004148511169990534,Monday
2016-02-23,20,401,0.04,0.01,0.0,01 to 02,0.0016666666666666668,0.0038069349381344045,Tuesday
2016-02-24,20,401,0.04,0.01,0.0,04 to 05,0.0016666666666666668,0.0038069349381344045,Wednesday
2016-02-25,19,401,0.05,0.01,0.0,00 to 01,0.0020833333333333333,0.004148511169990534,Thursday
2016-02-26,18,401,0.06,0.01,0.0,02 to 03,0.0025,0.004423258684646913,Friday
2016-02-27,17,401,0.07,0.01,0.0,01 to 02,0.002916666666666667,0.004643056214875366,Saturday
2016-02-28,21,401,0.03,0.01,0.0,02 to 03,0.00125,0.0033783196234608813,Sunday
2016-02-29,18,401,0.06,0.01,0.0,01 to 02,0.0025,0.004423258684646913,Monday
2016-01-03,17,401,0.16,0.03,0.0,18 to 19,0.006666666666666667,0.011293194051465597,Sunday
2016-02-03,15,401,0.17,0.03,0.0,03 to 04,0.007083333333333334,0.009990937922923458,Wednesday
2016-03-03,19,401,0.05,0.01,0.0,03 to 04,0.0020833333333333333,0.004148511169990534,Thursday
2016-04-03,16,401,0.08,0.01,0.0,01 to 02,0.0033333333333333335,0.004815434123430768,Sunday
2016-05-03,15,401,0.09,0.01,0.0,00 to 01,0.00375,0.004945353550468404,Tuesday
2016-06-03,20,401,0.04,0.01,0.0,01 to 02,0.0016666666666666668,0.0038069349381344058,Friday
2016-07-03,20,401,0.04,0.01,0.0,01 to 02,0.0016666666666666668,0.0038069349381344045,Sunday
2016-08-03,17,401,0.07,0.01,0.0,03 to 04,0.002916666666666667,0.004643056214875366,Wednesday
2016-09-03,20,401,0.04,0.01,0.0,01 to 02,0.0016666666666666668,0.0038069349381344053,Saturday
2016-10-03,20,401,0.04,0.01,0.0,01 to 02,0.0016666666666666668,0.003806934938134404,Monday
2016-11-03,22,401,0.02,0.01,0.0,01 to 02,0.0008333333333333334,0.0028232985128663988,Thursday
2016-12-03,22,401,0.02,0.01,0.0,03 to 04,0.0008333333333333334,0.0028232985128663988,Saturday
2016-03-13,22,401,0.02,0.01,0.0,17 to 18,0.0008333333333333334,0.0028232985128663996,Sunday
2016-03-14,23,401,0.01,0.01,0.0,03 to 04,0.0004166666666666667,0.002041241452319315,Monday
2016-03-15,23,401,0.01,0.01,0.0,17 to 18,0.0004166666666666667,0.0020412414523193153,Tuesday
2016-03-16,20,401,0.04,0.01,0.0,18 to 19,0.0016666666666666668,0.0038069349381344053,Wednesday
2016-03-17,22,401,0.02,0.01,0.0,01 to 02,0.0008333333333333334,0.0028232985128663988,Thursday
2016-03-18,21,401,0.03,0.01,0.0,01 to 02,0.00125,0.0033783196234608817,Friday
2016-03-19,19,401,0.05,0.01,0.0,03 to 04,0.0020833333333333333,0.004148511169990534,Saturday
2016-03-20,19,401,0.05,0.01,0.0,04 to 05,0.0020833333333333333,0.004148511169990534,Sunday
2016-03-21,20,401,0.04,0.01,0.0,01 to 02,0.0016666666666666668,0.0038069349381344058,Monday
2016-03-22,21,401,0.03,0.01,0.0,01 to 02,0.00125,0.0033783196234608817,Tuesday
2016-03-23,18,401,0.06,0.01,0.0,01 to 02,0.0025,0.004423258684646914,Wednesday
2016-03-24,20,401,0.04,0.01,0.0,02 to 03,0.0016666666666666668,0.0038069349381344045,Thursday
2016-03-25,20,401,0.04,0.01,0.0,03 to 04,0.0016666666666666668,0.0038069349381344045,Friday
2016-03-26,20,401,0.04,0.01,0.0,03 to 04,0.0016666666666666668,0.0038069349381344045,Saturday
2016-03-27,20,401,0.04,0.01,0.0,01 to 02,0.0016666666666666668,0.0038069349381344053,Sunday
2016-03-28,20,401,0.04,0.01,0.0,04 to 05,0.0016666666666666668,0.0038069349381344045,Monday
2016-03-29,20,401,0.04,0.01,0.0,01 to 02,0.0016666666666666668,0.0038069349381344058,Tuesday
2016-03-30,20,401,0.04,0.01,0.0,01 to 02,0.0016666666666666668,0.0038069349381344053,Wednesday
2016-03-31,20,401,0.04,0.01,0.0,04 to 05,0.0016666666666666668,0.0038069349381344045,Thursday
2016-01-04,20,401,0.04,0.01,0.0,01 to 02,0.0016666666666666668,0.0038069349381344058,Monday
2016-02-04,20,401,0.04,0.01,0.0,01 to 02,0.0016666666666666668,0.0038069349381344045,Thursday
2016-03-04,19,401,0.05,0.01,0.0,04 to 05,0.0020833333333333333,0.004148511169990534,Friday
2016-04-04,21,401,0.03,0.01,0.0,18 to 19,0.00125,0.0033783196234608813,Monday
2016-05-04,21,401,0.03,0.01,0.0,01 to 02,0.00125,0.0033783196234608813,Wednesday
2016-06-04,21,401,0.03,0.01,0.0,02 to 03,0.00125,0.0033783196234608813,Saturday
2016-07-04,21,401,0.03,0.01,0.0,02 to 03,0.00125,0.0033783196234608813,Monday
2016-08-04,21,401,0.03,0.01,0.0,03 to 04,0.00125,0.0033783196234608817,Thursday
2016-09-04,22,401,0.02,0.01,0.0,03 to 04,0.0008333333333333334,0.0028232985128663988,Sunday
2016-10-04,21,401,0.03,0.01,0.0,02 to 03,0.00125,0.0033783196234608804,Tuesday
2016-11-04,19,401,0.05,0.01,0.0,02 to 03,0.0020833333333333333,0.004148511169990534,Friday
2016-12-04,21,401,0.03,0.01,0.0,02 to 03,0.00125,0.0033783196234608813,Sunday
2016-04-13,22,401,0.02,0.01,0.0,02 to 03,0.0008333333333333334,0.0028232985128663988,Wednesday
2016-04-14,20,401,0.04,0.01,0.0,02 to 03,0.0016666666666666668,0.003806934938134405,Thursday
2016-04-15,20,401,0.04,0.01,0.0,02 to 03,0.0016666666666666668,0.0038069349381344045,Friday
2016-04-16,22,401,0.02,0.01,0.0,04 to 05,0.0008333333333333334,0.0028232985128663988,Saturday
2016-04-17,19,401,0.05,0.01,0.0,01 to 02,0.0020833333333333333,0.0041485111699905335,Sunday
2016-04-18,20,401,0.04,0.01,0.0,02 to 03,0.0016666666666666668,0.0038069349381344045,Monday
2016-04-25,18,401,0.06,0.01,0.0,18 to 19,0.0025,0.004423258684646914,Monday
2016-04-26,17,401,0.08,0.02,0.0,18 to 19,0.0033333333333333335,0.005646597025732798,Tuesday
2016-04-27,22,401,0.02,0.01,0.0,01 to 02,0.0008333333333333334,0.0028232985128663988,Wednesday
2016-04-28,23,401,0.01,0.01,0.0,21 to 22,0.0004166666666666667,0.0020412414523193153,Thursday
2016-04-29,21,401,0.03,0.01,0.0,01 to 02,0.00125,0.0033783196234608817,Friday
2016-04-30,21,401,0.03,0.01,0.0,02 to 03,0.00125,0.0033783196234608817,Saturday
2016-01-05,20,401,0.04,0.01,0.0,03 to 04,0.0016666666666666668,0.0038069349381344058,Tuesday
2016-02-05,19,401,0.05,0.01,0.0,03 to 04,0.0020833333333333333,0.0041485111699905335,Friday
2016-03-05,16,401,0.08,0.01,0.0,03 to 04,0.0033333333333333335,0.004815434123430769,Saturday
2016-04-05,17,401,0.07,0.01,0.0,04 to 05,0.002916666666666667,0.004643056214875366,Tuesday
2016-05-05,15,401,0.09,0.01,0.0,01 to 02,0.00375,0.004945353550468404,Thursday
2016-06-05,18,401,0.06,0.01,0.0,01 to 02,0.0025,0.004423258684646913,Sunday
2016-07-05,15,401,0.09,0.01,0.0,02 to 03,0.00375,0.004945353550468403,Tuesday
2016-08-05,17,401,0.07,0.01,0.0,03 to 04,0.002916666666666667,0.004643056214875366,Friday
2016-09-05,15,401,0.09,0.01,0.0,02 to 03,0.00375,0.004945353550468403,Monday
2016-10-05,21,401,0.03,0.01,0.0,03 to 04,0.00125,0.0033783196234608813,Wednesday
2016-11-05,20,401,0.04,0.01,0.0,02 to 03,0.0016666666666666668,0.0038069349381344058,Saturday
2016-12-05,20,401,0.09,0.06,0.0,12 to 13,0.0037499999999999994,0.012445533509971607,Monday
2016-05-13,21,401,0.03,0.01,0.0,19 to 20,0.00125,0.0033783196234608813,Friday
2016-05-14,19,401,0.05,0.01,0.0,03 to 04,0.0020833333333333333,0.0041485111699905335,Saturday
2016-05-15,12,401,0.12,0.01,0.0,01 to 02,0.004999999999999999,0.005107539184552492,Sunday
2016-05-16,13,401,0.11000000000000001,0.01,0.0,02 to 03,0.0045833333333333325,0.005089773777040516,Monday
2016-05-17,16,401,0.08,0.01,0.0,00 to 01,0.0033333333333333335,0.004815434123430768,Tuesday
2016-05-18,7,401,0.22000000000000003,0.04,0.0,10 to 11,0.00916666666666667,0.00928611242975073,Wednesday
2016-05-19,14,401,0.1,0.01,0.0,01 to 02,0.004166666666666667,0.00503610155185335,Thursday
2016-05-20,22,401,0.03,0.02,0.0,08 to 09,0.00125,0.004484272031464406,Friday
2016-05-21,18,401,0.06,0.01,0.0,18 to 19,0.0025,0.004423258684646914,Saturday
2016-05-22,17,401,0.07,0.01,0.0,02 to 03,0.002916666666666667,0.004643056214875366,Sunday
2016-05-23,13,401,0.11000000000000001,0.01,0.0,02 to 03,0.0045833333333333325,0.005089773777040516,Monday
2016-05-24,17,401,0.09,0.02,0.0,09 to 10 ,0.0037499999999999994,0.006468989572333265,Tuesday
2016-05-25,20,401,0.04,0.01,0.0,12 to 13,0.0016666666666666668,0.003806934938134404,Wednesday
2016-05-27,21,401,0.03,0.01,0.0,19 to 20,0.00125,0.0033783196234608813,Friday
2016-05-28,18,401,0.06,0.01,0.0,00 to 01,0.0025,0.004423258684646914,Saturday
2016-05-29,22,401,0.02,0.01,0.0,19 to 20,0.0008333333333333334,0.0028232985128663996,Sunday
