Date,ZeroHours,CompleteBlackoutDays,UnitsConsumed,MaxConsumption,MinConsumption,MaxHour,MeanConsumption,StdDev,DayOfTheWeek
2016-01-02,23,516,0.01,0.01,0.0,18 to 19,0.0004166666666666667,0.0020412414523193153,Saturday
2016-02-02,22,516,0.02,0.01,0.0,18 to 19,0.0008333333333333334,0.0028232985128663996,Tuesday
2016-03-02,23,516,0.01,0.01,0.0,18 to 19,0.0004166666666666667,0.0020412414523193153,Wednesday
2016-04-02,19,516,0.05,0.01,0.0,18 to 19,0.0020833333333333333,0.004148511169990534,Saturday
2016-05-02,16,516,0.08,0.01,0.0,01 to 02,0.0033333333333333335,0.004815434123430768,Monday
2016-06-02,16,516,0.08,0.01,0.0,01 to 02,0.0033333333333333335,0.004815434123430768,Thursday
2016-07-02,17,516,0.07,0.01,0.0,00 to 01,0.002916666666666667,0.004643056214875366,Saturday
2016-09-02,19,516,0.05,0.01,0.0,18 to 19,0.0020833333333333333,0.004148511169990534,Friday
2016-10-02,19,516,0.05,0.01,0.0,01 to 02,0.0020833333333333333,0.0041485111699905335,Sunday
2016-11-02,19,516,0.05,0.01,0.0,01 to 02,0.0020833333333333333,0.0041485111699905335,Wednesday
2016-02-15,21,516,0.03,0.01,0.0,19 to 20,0.00125,0.0033783196234608813,Monday
2016-02-16,23,516,0.01,0.01,0.0,19 to 20,0.0004166666666666667,0.0020412414523193153,Tuesday
2016-02-18,23,516,0.01,0.01,0.0,19 to 20,0.0004166666666666667,0.0020412414523193153,Thursday
2016-02-19,23,516,0.01,0.01,0.0,19 to 20,0.0004166666666666667,0.0020412414523193153,Friday
2016-02-20,23,516,0.01,0.01,0.0,18 to 19,0.0004166666666666667,0.0020412414523193153,Saturday
2016-02-21,19,516,0.05,0.01,0.0,17 to 18,0.0020833333333333333,0.004148511169990534,Sunday
2016-02-22,21,516,0.03,0.01,0.0,00 to 01,0.00125,0.0033783196234608804,Monday
2016-02-23,22,516,0.02,0.01,0.0,18 to 19,0.0008333333333333334,0.0028232985128663996,Tuesday
2016-02-24,23,516,0.01,0.01,0.0,18 to 19,0.0004166666666666667,0.0020412414523193153,Wednesday
2016-02-25,23,516,0.01,0.01,0.0,20 to 21,0.0004166666666666667,0.0020412414523193153,Thursday
2016-02-27,21,516,0.03,0.01,0.0,19 to 20,0.00125,0.0033783196234608813,Saturday
2016-02-28,19,516,0.05,0.01,0.0,01 to 02,0.0020833333333333333,0.0041485111699905335,Sunday
2016-02-29,22,516,0.02,0.01,0.0,18 to 19,0.0008333333333333334,0.0028232985128663996,Monday
2016-02-03,20,516,0.04,0.01,0.0,18 to 19,0.0016666666666666668,0.0038069349381344053,Wednesday
2016-03-03,21,516,0.03,0.01,0.0,01 to 02,0.00125,0.0033783196234608804,Thursday
2016-04-03,21,516,0.03,0.01,0.0,18 to 19,0.00125,0.0033783196234608813,Sunday
2016-05-03,19,516,0.05,0.01,0.0,18 to 19,0.0020833333333333333,0.004148511169990534,Tuesday
2016-06-03,18,516,0.06,0.01,0.0,01 to 02,0.0025,0.004423258684646914,Friday
2016-07-03,15,516,0.09,0.01,0.0,01 to 02,0.00375,0.004945353550468404,Sunday
2016-08-03,18,516,0.06,0.01,0.0,01 to 02,0.0025,0.004423258684646914,Wednesday
2016-09-03,19,516,0.05,0.01,0.0,02 to 03,0.0020833333333333333,0.004148511169990534,Saturday
2016-10-03,20,516,0.04,0.01,0.0,20 to 21,0.0016666666666666668,0.0038069349381344053,Monday
2016-11-03,13,516,0.11,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040514,Thursday
2016-12-03,12,516,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Saturday
2016-03-13,18,516,0.08,0.03,0.0,17 to 18,0.0033333333333333335,0.007019641181630338,Sunday
2016-03-15,21,516,0.03,0.01,0.0,18 to 19,0.00125,0.0033783196234608813,Tuesday
2016-03-16,19,516,0.05,0.01,0.0,18 to 19,0.0020833333333333333,0.004148511169990534,Wednesday
2016-03-17,18,516,0.06,0.01,0.0,02 to 03,0.0025,0.004423258684646913,Thursday
2016-03-18,18,516,0.06,0.01,0.0,03 to 04,0.0025,0.004423258684646913,Friday
2016-03-19,18,516,0.06,0.01,0.0,01 to 02,0.0025,0.004423258684646913,Saturday
2016-03-20,19,516,0.05,0.01,0.0,02 to 03,0.0020833333333333333,0.004148511169990534,Sunday
2016-03-21,16,516,0.08,0.01,0.0,01 to 02,0.0033333333333333335,0.004815434123430768,Monday
2016-03-22,16,516,0.08,0.01,0.0,01 to 02,0.0033333333333333335,0.004815434123430768,Tuesday
2016-03-23,19,516,0.05,0.01,0.0,01 to 02,0.0020833333333333333,0.004148511169990534,Wednesday
2016-03-24,16,516,0.08,0.01,0.0,02 to 03,0.0033333333333333335,0.004815434123430768,Thursday
2016-03-25,19,516,0.05,0.01,0.0,01 to 02,0.0020833333333333333,0.004148511169990534,Friday
2016-03-26,18,516,0.06,0.01,0.0,01 to 02,0.0025,0.004423258684646914,Saturday
2016-03-27,16,516,0.08,0.01,0.0,00 to 01,0.0033333333333333335,0.004815434123430768,Sunday
2016-03-28,21,516,0.03,0.01,0.0,01 to 02,0.00125,0.0033783196234608804,Monday
2016-03-29,17,516,0.07,0.01,0.0,01 to 02,0.002916666666666667,0.004643056214875366,Tuesday
2016-03-30,18,516,0.06,0.01,0.0,01 to 02,0.0025,0.004423258684646914,Wednesday
