Date,ZeroHours,CompleteBlackoutDays,UnitsConsumed,MaxConsumption,MinConsumption,MaxHour,MeanConsumption,StdDev,DayOfTheWeek
2016-01-02,18,558,0.06,0.01,0.0,18 to 19,0.0025,0.004423258684646914,Saturday
2016-02-02,21,558,0.03,0.01,0.0,18 to 19,0.00125,0.0033783196234608813,Tuesday
2016-03-02,16,558,0.08,0.01,0.0,01 to 02,0.0033333333333333335,0.004815434123430769,Wednesday
2016-04-02,18,558,0.06,0.01,0.0,01 to 02,0.0025,0.004423258684646913,Saturday
2016-05-02,18,558,0.06,0.01,0.0,01 to 02,0.0025,0.004423258684646913,Monday
2016-06-02,20,558,0.04,0.01,0.0,17 to 18,0.0016666666666666668,0.003806934938134405,Thursday
2016-07-02,21,558,0.03,0.01,0.0,19 to 20,0.00125,0.0033783196234608813,Saturday
2016-09-02,20,558,0.05,0.02,0.0,19 to 20,0.0020833333333333333,0.005089773777040516,Friday
2016-02-15,20,558,0.05,0.02,0.0,20 to 21,0.0020833333333333333,0.005089773777040516,Monday
2016-02-16,22,558,0.02,0.01,0.0,19 to 20,0.0008333333333333334,0.0028232985128663996,Tuesday
2016-02-17,19,558,0.06,0.02,0.0,20 to 21,0.0025,0.005316095330711949,Wednesday
2016-02-18,18,558,0.06,0.01,0.0,18 to 19,0.0025,0.004423258684646914,Thursday
2016-02-19,19,558,0.05,0.01,0.0,17 to 18,0.0020833333333333333,0.004148511169990534,Friday
2016-02-20,19,558,0.05,0.01,0.0,18 to 19,0.0020833333333333333,0.004148511169990534,Saturday
2016-02-21,19,558,0.06,0.02,0.0,22 to 23,0.0025,0.005316095330711949,Sunday
2016-02-22,18,558,0.07,0.02,0.0,20 to 21,0.002916666666666667,0.0055003293709018726,Monday
2016-02-23,21,558,0.03,0.01,0.0,19 to 20,0.00125,0.0033783196234608813,Tuesday
2016-02-24,20,558,0.04,0.01,0.0,18 to 19,0.0016666666666666668,0.0038069349381344053,Wednesday
2016-02-25,18,558,0.06,0.01,0.0,04 to 05,0.0025,0.004423258684646913,Thursday
2016-02-26,20,558,0.05,0.02,0.0,20 to 21,0.0020833333333333333,0.005089773777040516,Friday
2016-02-27,20,558,0.05,0.02,0.0,19 to 20,0.0020833333333333333,0.005089773777040516,Saturday
2016-02-28,19,558,0.05,0.01,0.0,18 to 19,0.0020833333333333333,0.004148511169990534,Sunday
2016-02-29,20,558,0.04,0.01,0.0,18 to 19,0.0016666666666666668,0.0038069349381344053,Monday
2016-01-03,20,558,0.04,0.01,0.0,18 to 19,0.0016666666666666668,0.0038069349381344053,Sunday
2016-02-03,19,558,0.06,0.02,0.0,21 to 22,0.0025,0.00531609533071195,Wednesday
2016-04-03,18,558,0.06,0.01,0.0,18 to 19,0.0025,0.004423258684646914,Sunday
2016-05-03,16,558,0.08,0.01,0.0,00 to 01,0.0033333333333333335,0.004815434123430768,Tuesday
2016-06-03,23,558,0.01,0.01,0.0,19 to 20,0.0004166666666666667,0.0020412414523193153,Friday
2016-07-03,22,558,0.02,0.01,0.0,18 to 19,0.0008333333333333334,0.0028232985128663996,Sunday
2016-08-03,20,558,0.04,0.01,0.0,18 to 19,0.0016666666666666668,0.0038069349381344053,Wednesday
2016-09-03,21,558,0.03,0.01,0.0,04 to 05,0.00125,0.0033783196234608813,Saturday
2016-10-03,18,558,0.06,0.01,0.0,01 to 02,0.0025,0.004423258684646913,Monday
2016-11-03,21,558,0.03,0.01,0.0,18 to 19,0.00125,0.0033783196234608813,Thursday
2016-12-03,18,558,0.06,0.01,0.0,18 to 19,0.0025,0.004423258684646914,Saturday
2016-03-13,14,558,0.12,0.03,0.0,17 to 18,0.004999999999999999,0.007223151185146153,Sunday
2016-03-14,19,558,0.060000000000000005,0.02,0.0,21 to 22,0.0025,0.005316095330711949,Monday
2016-03-15,15,558,0.11,0.02,0.0,21 to 22,0.004583333333333333,0.006580053301400785,Tuesday
2016-03-16,12,558,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Wednesday
2016-03-17,13,558,0.11,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040514,Thursday
2016-03-18,13,558,0.11,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040514,Friday
2016-03-19,15,558,0.09,0.01,0.0,00 to 01,0.00375,0.004945353550468405,Saturday
2016-03-20,20,558,0.04,0.01,0.0,18 to 19,0.0016666666666666668,0.0038069349381344053,Sunday
2016-03-21,20,558,0.04,0.01,0.0,18 to 19,0.0016666666666666668,0.0038069349381344053,Monday
2016-03-22,20,558,0.04,0.01,0.0,18 to 19,0.0016666666666666668,0.0038069349381344053,Tuesday
2016-03-24,20,558,0.04,0.01,0.0,20 to 21,0.0016666666666666668,0.0038069349381344053,Thursday
2016-03-25,17,558,0.07,0.01,0.0,00 to 01,0.002916666666666667,0.004643056214875366,Friday
2016-03-26,20,558,0.04,0.01,0.0,18 to 19,0.0016666666666666668,0.0038069349381344053,Saturday
2016-03-27,20,558,0.04,0.01,0.0,19 to 20,0.0016666666666666668,0.0038069349381344053,Sunday
2016-03-28,19,558,0.05,0.01,0.0,18 to 19,0.0020833333333333333,0.004148511169990534,Monday
2016-03-29,21,558,0.03,0.01,0.0,19 to 20,0.00125,0.0033783196234608813,Tuesday
2016-03-30,18,558,0.08,0.02,0.0,19 to 20,0.0033333333333333335,0.006370220572706061,Wednesday
2016-03-31,20,558,0.04,0.01,0.0,19 to 20,0.0016666666666666668,0.0038069349381344053,Thursday
2016-01-04,18,558,0.06,0.01,0.0,01 to 02,0.0025,0.004423258684646914,Monday
2016-02-04,19,558,0.05,0.01,0.0,19 to 20,0.0020833333333333333,0.004148511169990534,Thursday
2016-03-04,19,558,0.05,0.01,0.0,19 to 20,0.0020833333333333333,0.004148511169990534,Friday
2016-04-04,12,558,0.14,0.02,0.0,20 to 21,0.005833333333333334,0.0065386254815829456,Monday
2016-05-04,14,558,0.11,0.02,0.0,20 to 21,0.0045833333333333325,0.005882299658752715,Wednesday
2016-06-04,18,558,0.07,0.02,0.0,23 to 24,0.002916666666666667,0.005500329370901873,Saturday
2016-07-04,14,558,0.1,0.01,0.0,00 to 01,0.004166666666666667,0.00503610155185335,Monday
2016-08-04,16,558,0.09,0.02,0.0,18 to 19,0.00375,0.005757792451369144,Thursday
2016-09-04,15,558,0.11000000000000001,0.02,0.0,19 to 20,0.0045833333333333325,0.0065800533014007834,Sunday
2016-10-04,15,558,0.09,0.01,0.0,01 to 02,0.00375,0.004945353550468404,Tuesday
