Date,ZeroHours,CompleteBlackoutDays,UnitsConsumed,MaxConsumption,MinConsumption,MaxHour,MeanConsumption,StdDev,DayOfTheWeek
2016-01-02,12,533,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Saturday
2016-02-02,12,533,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Tuesday
2016-03-02,12,533,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Wednesday
2016-04-02,17,533,0.06999999999999999,0.01,0.0,00 to 01,0.002916666666666667,0.004643056214875366,Saturday
2016-05-02,17,533,0.07,0.01,0.0,17 to 18,0.002916666666666667,0.004643056214875366,Monday
2016-06-02,18,533,0.060000000000000005,0.01,0.0,00 to 01,0.0025,0.004423258684646916,Thursday
2016-08-02,20,533,0.04,0.01,0.0,18 to 19,0.0016666666666666668,0.0038069349381344053,Tuesday
2016-09-02,15,533,0.6699999999999999,0.14,0.0,23 to 24,0.02791666666666667,0.048092227218549354,Friday
2016-10-02,14,533,0.9299999999999999,0.14,0.0,21 to 22,0.03875,0.05186206622420166,Sunday
2016-11-02,12,533,0.63,0.14,0.0,02 to 03,0.026250000000000006,0.044605760984916254,Wednesday
2016-12-02,15,533,0.09,0.01,0.0,00 to 01,0.00375,0.004945353550468405,Friday
2016-02-13,23,533,0.01,0.01,0.0,04 to 05,0.0004166666666666667,0.002041241452319315,Saturday
2016-02-15,21,533,0.03,0.01,0.0,20 to 21,0.00125,0.0033783196234608813,Monday
2016-02-16,19,533,0.05,0.01,0.0,01 to 02,0.0020833333333333333,0.004148511169990534,Tuesday
2016-02-17,23,533,0.01,0.01,0.0,02 to 03,0.0004166666666666667,0.002041241452319315,Wednesday
2016-02-18,20,533,0.04,0.01,0.0,03 to 04,0.0016666666666666668,0.0038069349381344058,Thursday
2016-02-19,14,533,0.1,0.01,0.0,01 to 02,0.004166666666666667,0.00503610155185335,Friday
2016-02-20,13,533,0.11,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040514,Saturday
2016-02-21,21,533,0.03,0.01,0.0,03 to 04,0.00125,0.0033783196234608817,Sunday
