Date,ZeroHours,CompleteBlackoutDays,UnitsConsumed,MaxConsumption,MinConsumption,MaxHour,MeanConsumption,StdDev,DayOfTheWeek
2016-01-02,13,551,0.11,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040514,Saturday
2016-02-02,13,551,0.11,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040514,Tuesday
2016-03-02,13,551,0.11,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040514,Wednesday
2016-04-02,13,551,0.11,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040514,Saturday
2016-05-02,12,551,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Monday
2016-06-02,13,551,0.11,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040514,Thursday
2016-07-02,15,551,0.09,0.01,0.0,00 to 01,0.00375,0.004945353550468404,Saturday
2016-08-02,19,551,0.05,0.01,0.0,01 to 02,0.0020833333333333333,0.004148511169990534,Tuesday
2016-09-02,19,551,0.05,0.01,0.0,01 to 02,0.0020833333333333333,0.004148511169990534,Friday
2016-10-02,16,551,0.08,0.01,0.0,01 to 02,0.0033333333333333335,0.004815434123430768,Sunday
2016-11-02,21,551,0.03,0.01,0.0,02 to 03,0.00125,0.0033783196234608804,Wednesday
2016-12-02,20,551,0.04,0.01,0.0,01 to 02,0.0016666666666666668,0.0038069349381344058,Friday
2016-02-13,19,551,0.05,0.01,0.0,01 to 02,0.0020833333333333333,0.004148511169990534,Saturday
2016-02-15,22,551,0.02,0.01,0.0,19 to 20,0.0008333333333333334,0.0028232985128663996,Monday
2016-02-16,21,551,0.03,0.01,0.0,04 to 05,0.00125,0.0033783196234608817,Tuesday
2016-02-17,21,551,0.03,0.01,0.0,20 to 21,0.00125,0.0033783196234608813,Wednesday
2016-02-18,17,551,0.07,0.01,0.0,01 to 02,0.002916666666666667,0.004643056214875366,Thursday
2016-02-19,17,551,0.07,0.01,0.0,00 to 01,0.002916666666666667,0.004643056214875366,Friday
