Date,ZeroHours,CompleteBlackoutDays,UnitsConsumed,MaxConsumption,MinConsumption,MaxHour,MeanConsumption,StdDev,DayOfTheWeek
2016-04-30,9,596,1.6700000000000002,0.17,0.0,17 to 18,0.06958333333333333,0.06791805591181611,Saturday
2016-01-05,11,596,1.25,0.19,0.0,20 to 21,0.052083333333333336,0.07138256800152788,Tuesday
2016-02-05,11,596,1.7900000000000005,0.17,0.0,12 to 13,0.07458333333333335,0.07489001597511931,Friday
2016-03-05,11,596,1.5700000000000003,0.18,0.0,19 to 20,0.06541666666666666,0.07312759347562474,Saturday
2016-04-05,11,596,1.61,0.16,0.0,18 to 19,0.06708333333333331,0.0688084402473662,Tuesday
2016-05-05,11,596,1.5300000000000002,0.15,0.0,10 to 11,0.06375000000000001,0.0640524581207025,Thursday
2016-06-05,11,596,1.5899999999999999,0.15,0.0,10 to 11,0.06624999999999999,0.06697257712643677,Sunday
2016-07-05,11,596,1.62,0.18,0.0,11 to 12,0.0675,0.0701086113919278,Tuesday
2016-08-05,12,596,1.3900000000000001,0.16,0.0,10 to 11,0.05791666666666668,0.06440221213231911,Friday
2016-09-05,12,596,1.37,0.17,0.0,17 to 18,0.05708333333333334,0.06396188856190692,Monday
2016-10-05,12,596,1.13,0.15,0.0,11 to 12,0.04708333333333334,0.05923271471706851,Wednesday
2016-11-05,12,596,1.3,0.16,0.0,10 to 11,0.054166666666666675,0.061989947759200484,Saturday
2016-12-05,15,596,1.13,0.15,0.0,11 to 12,0.04708333333333334,0.06327848502189878,Monday
2016-05-13,9,596,1.61,0.13,0.0,13 to 14,0.06708333333333333,0.0566821163934497,Friday
2016-05-14,9,596,1.42,0.14,0.0,12 to 13,0.05916666666666668,0.052412798525506746,Saturday
2016-05-15,12,596,1.4000000000000001,0.17,0.0,13 to 14,0.05833333333333333,0.06805794632495911,Sunday
2016-05-16,12,596,1.46,0.18,0.0,16 to 17,0.06083333333333334,0.06927680248336264,Monday
