Date,ZeroHours,CompleteBlackoutDays,UnitsConsumed,MaxConsumption,MinConsumption,MaxHour,MeanConsumption,StdDev,DayOfTheWeek
2016-01-02,14,553,0.12,0.02,0.0,19 to 20,0.005,0.00659380473395787,Saturday
2016-02-02,17,553,0.14,0.08,0.0,16 to 17,0.005833333333333333,0.016396358733272002,Tuesday
2016-03-02,14,553,0.11,0.02,0.0,19 to 20,0.0045833333333333325,0.005882299658752715,Wednesday
2016-04-02,15,553,0.09,0.01,0.0,00 to 01,0.00375,0.004945353550468404,Saturday
2016-05-02,13,553,0.12000000000000001,0.02,0.0,22 to 23,0.005,0.005897678246195886,Monday
2016-06-02,13,553,0.12000000000000001,0.02,0.0,18 to 19,0.004999999999999999,0.0058976782461958865,Thursday
2016-07-02,13,553,0.12000000000000001,0.02,0.0,01 to 02,0.004999999999999999,0.0058976782461958865,Saturday
2016-08-02,19,553,0.05,0.01,0.0,00 to 01,0.0020833333333333333,0.004148511169990532,Tuesday
2016-09-02,18,553,0.06,0.01,0.0,17 to 18,0.0025,0.004423258684646914,Friday
2016-10-02,18,553,0.060000000000000005,0.01,0.0,04 to 05,0.0025,0.004423258684646913,Sunday
2016-11-02,16,553,0.14,0.05,0.0,20 to 21,0.005833333333333334,0.01138903617201808,Wednesday
2016-12-02,16,553,0.13,0.06,0.0,21 to 22,0.005416666666666667,0.012503622663458176,Friday
2016-02-13,16,553,0.12000000000000001,0.05,0.0,19 to 20,0.005,0.010632190661423898,Saturday
2016-02-16,21,553,0.1,0.06,0.0,00 to 01,0.004166666666666667,0.013160106602801572,Tuesday
2016-02-17,23,553,0.28,0.28,0.0,03 to 04,0.011666666666666667,0.05715476066494085,Wednesday
2016-02-18,20,553,0.13,0.09,0.0,19 to 20,0.005416666666666667,0.018645238736369987,Thursday
2016-02-19,21,553,0.03,0.01,0.0,02 to 03,0.00125,0.0033783196234608804,Friday
2016-02-20,17,553,0.07,0.01,0.0,03 to 04,0.002916666666666667,0.004643056214875366,Saturday
2016-02-21,12,553,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Sunday
2016-02-22,12,553,0.49,0.1,0.0,22 to 23,0.020416666666666666,0.03470110468942836,Monday
2016-02-23,12,553,0.69,0.13,0.0,23 to 24,0.028749999999999998,0.041211279587236686,Tuesday
2016-02-24,14,553,0.5,0.1,0.0,03 to 04,0.020833333333333332,0.03450477807702763,Wednesday
2016-02-25,18,553,0.2,0.1,0.0,19 to 20,0.008333333333333333,0.02160246899469287,Thursday
2016-02-26,17,553,0.11,0.04,0.0,17 to 18,0.0045833333333333325,0.009315329426211431,Friday
2016-02-27,12,553,0.13,0.02,0.0,20 to 21,0.005416666666666667,0.005882299658752716,Saturday
2016-02-28,12,553,0.42,0.12,0.0,22 to 23,0.0175,0.03193063133405452,Sunday
2016-02-29,16,553,0.36,0.12,0.0,23 to 24,0.015,0.03162277660168379,Monday
2016-01-03,13,553,0.74,0.1,0.0,21 to 22,0.030833333333333327,0.0395536692814104,Sunday
2016-02-03,11,553,0.85,0.1,0.0,02 to 03,0.035416666666666666,0.04462200341093838,Wednesday
2016-03-03,11,553,1.05,0.13,0.0,01 to 02,0.043750000000000004,0.048795268836943254,Thursday
2016-04-03,12,553,0.78,0.1,0.0,01 to 02,0.032499999999999994,0.042349477692995977,Sunday
2016-05-03,17,553,0.33999999999999997,0.1,0.0,18 to 19,0.01416666666666667,0.03335144435522561,Tuesday
2016-06-03,15,553,0.67,0.13,0.0,22 to 23,0.027916666666666663,0.044524459976869844,Friday
2016-07-03,13,553,0.68,0.13,0.0,03 to 04,0.028333333333333335,0.04300320176822699,Sunday
2016-08-03,21,553,0.03,0.01,0.0,02 to 03,0.00125,0.0033783196234608804,Wednesday
2016-09-03,21,553,0.08,0.04,0.0,20 to 21,0.0033333333333333335,0.010072203103706698,Saturday
2016-10-03,22,553,0.04,0.03,0.0,20 to 21,0.0016666666666666668,0.006370220572706061,Monday
2016-11-03,22,553,0.02,0.01,0.0,19 to 20,0.0008333333333333334,0.0028232985128663996,Thursday
2016-12-03,17,553,0.5800000000000001,0.12,0.0,22 to 23,0.024166666666666666,0.04158978414139145,Saturday
2016-03-13,13,553,0.51,0.12,0.0,03 to 04,0.02125,0.037336600529914804,Sunday
2016-03-14,15,553,0.16,0.05,0.0,18 to 19,0.006666666666666668,0.012740441145412121,Monday
2016-03-15,13,553,0.11,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040514,Tuesday
2016-03-16,11,553,0.16,0.03,0.0,11 to 12,0.006666666666666668,0.007613869876268808,Wednesday
2016-03-17,16,553,0.08,0.01,0.0,01 to 02,0.0033333333333333335,0.004815434123430769,Thursday
2016-03-18,16,553,0.35,0.1,0.0,19 to 20,0.014583333333333335,0.030500059396473406,Friday
2016-03-19,16,553,0.5,0.12,0.0,21 to 22,0.020833333333333332,0.03832545602742575,Saturday
2016-03-20,11,553,0.95,0.12,0.0,02 to 03,0.03958333333333334,0.04348704621385314,Sunday
2016-03-21,12,553,0.7,0.11,0.0,00 to 01,0.02916666666666667,0.042109243709631046,Monday
2016-03-22,12,553,0.86,0.13,0.0,01 to 02,0.035833333333333335,0.04500402558483608,Tuesday
2016-03-23,22,553,0.09,0.05,0.0,19 to 20,0.00375,0.012790111669635226,Wednesday
2016-03-24,22,553,0.03,0.02,0.0,19 to 20,0.00125,0.004484272031464406,Thursday
2016-03-25,17,553,0.41,0.09,0.0,20 to 21,0.017083333333333336,0.03394101874757427,Friday
2016-03-26,15,553,0.63,0.09,0.0,00 to 01,0.02625,0.04019652807849476,Saturday
2016-03-27,12,553,0.9299999999999999,0.13,0.0,22 to 23,0.03875,0.046840385770512555,Sunday
2016-03-28,11,553,0.89,0.13,0.0,03 to 04,0.037083333333333336,0.04849734790298526,Monday
2016-03-29,13,553,0.79,0.13,0.0,04 to 05,0.03291666666666667,0.04427966131077676,Tuesday
2016-03-30,11,553,0.97,0.13,0.0,01 to 02,0.04041666666666666,0.047133406104529436,Wednesday
2016-03-31,14,553,0.87,0.12,0.0,02 to 03,0.03625,0.04604463807711137,Thursday
2016-01-04,15,553,0.55,0.12,0.0,23 to 24,0.022916666666666665,0.03838921572600788,Monday
2016-02-04,14,553,0.55,0.12,0.0,04 to 05,0.02291666666666667,0.037588060855018555,Thursday
2016-03-04,13,553,0.56,0.09,0.0,00 to 01,0.023333333333333334,0.035954883161935125,Friday
2016-04-04,14,553,0.6399999999999999,0.12,0.0,22 to 23,0.02666666666666666,0.040396584731521724,Monday
2016-05-04,13,553,0.75,0.12,0.0,03 to 04,0.03125,0.0439676264302844,Wednesday
2016-06-04,13,553,0.76,0.12,0.0,04 to 05,0.03166666666666667,0.04208342301611911,Saturday
2016-07-04,13,553,0.74,0.09,0.0,00 to 01,0.030833333333333334,0.04095773714310958,Monday
2016-08-04,13,553,0.78,0.12,0.0,01 to 02,0.0325,0.0422466875470214,Thursday
2016-09-04,13,553,0.78,0.12,0.0,02 to 03,0.0325,0.044355284965242034,Sunday
2016-10-04,12,553,0.82,0.12,0.0,04 to 05,0.034166666666666665,0.0436305304621179,Tuesday
2016-11-04,6,553,1.25,0.09,0.0,00 to 01,0.05208333333333334,0.04043020466526681,Friday
2016-12-04,13,553,0.5900000000000001,0.12,0.0,01 to 02,0.024583333333333332,0.039779737759717354,Sunday
