Date,ZeroHours,CompleteBlackoutDays,UnitsConsumed,MaxConsumption,MinConsumption,MaxHour,MeanConsumption,StdDev,DayOfTheWeek
2016-01-02,20,639,0.04,0.01,0.0,18 to 19,0.0016666666666666668,0.0038069349381344053,Saturday
2016-02-02,18,639,0.06,0.01,0.0,16 to 17,0.0025,0.004423258684646914,Tuesday
2016-03-02,19,639,0.05,0.01,0.0,17 to 18,0.0020833333333333333,0.004148511169990534,Wednesday
2016-04-02,19,639,0.05,0.01,0.0,18 to 19,0.0020833333333333333,0.004148511169990534,Saturday
2016-05-02,19,639,0.06,0.02,0.0,13 to 14,0.0025,0.005316095330711949,Monday
2016-06-02,20,639,0.05,0.02,0.0,18 to 19,0.0020833333333333333,0.005089773777040516,Thursday
2016-07-02,20,639,0.04,0.01,0.0,18 to 19,0.0016666666666666668,0.0038069349381344053,Saturday
2016-09-02,20,639,0.04,0.01,0.0,18 to 19,0.0016666666666666668,0.0038069349381344053,Friday
2016-10-02,17,639,0.07,0.01,0.0,17 to 18,0.002916666666666667,0.004643056214875366,Sunday
2016-11-02,16,639,0.09,0.02,0.0,20 to 21,0.00375,0.005757792451369144,Wednesday
2016-12-02,22,639,0.18000000000000002,0.17,0.0,21 to 22,0.007500000000000001,0.03467237968532703,Friday
2016-02-13,22,639,0.03,0.02,0.0,19 to 20,0.00125,0.004484272031464406,Saturday
2016-02-14,22,639,0.02,0.01,0.0,01 to 02,0.0008333333333333334,0.0028232985128663988,Sunday
2016-02-16,23,639,0.01,0.01,0.0,00 to 01,0.0004166666666666667,0.002041241452319315,Tuesday
2016-02-17,23,639,0.04,0.04,0.0,03 to 04,0.0016666666666666668,0.00816496580927726,Wednesday
2016-02-18,20,639,0.04,0.01,0.0,17 to 18,0.0016666666666666668,0.003806934938134405,Thursday
2016-02-19,20,639,0.04,0.01,0.0,18 to 19,0.0016666666666666668,0.0038069349381344053,Friday
2016-02-20,21,639,0.03,0.01,0.0,18 to 19,0.00125,0.0033783196234608813,Saturday
2016-02-21,17,639,0.24000000000000002,0.06,0.0,14 to 15,0.01,0.018650096164806274,Sunday
2016-02-22,9,639,0.45,0.06,0.0,15 to 16,0.018750000000000003,0.021328180990131958,Monday
2016-02-23,10,639,0.14,0.01,0.0,00 to 01,0.005833333333333333,0.00503610155185335,Tuesday
2016-02-24,11,639,0.54,0.16,0.0,14 to 15,0.022500000000000003,0.0417289389731645,Wednesday
2016-02-25,19,639,0.17,0.05,0.0,12 to 13,0.007083333333333335,0.016805580508625222,Thursday
2016-02-26,19,639,0.27,0.09,0.0,14 to 15,0.011250000000000001,0.024013130466113926,Friday
2016-02-27,21,639,0.03,0.01,0.0,21 to 22,0.00125,0.0033783196234608813,Saturday
2016-02-28,13,639,0.11,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040514,Sunday
2016-02-29,15,639,0.09,0.01,0.0,00 to 01,0.00375,0.004945353550468405,Monday
2016-01-03,9,639,0.37,0.06,0.0,14 to 15,0.015416666666666669,0.019995470501583852,Sunday
2016-02-03,18,639,0.22000000000000003,0.07,0.0,10 to 11,0.009166666666666668,0.01954185400546772,Wednesday
2016-03-03,19,639,0.05,0.01,0.0,17 to 18,0.0020833333333333333,0.004148511169990534,Thursday
2016-04-03,19,639,0.05,0.01,0.0,17 to 18,0.0020833333333333333,0.004148511169990534,Sunday
2016-05-03,17,639,0.07,0.01,0.0,17 to 18,0.002916666666666667,0.004643056214875366,Tuesday
2016-06-03,20,639,0.04,0.01,0.0,04 to 05,0.0016666666666666668,0.0038069349381344045,Friday
