Date,ZeroHours,CompleteBlackoutDays,UnitsConsumed,MaxConsumption,MinConsumption,MaxHour,MeanConsumption,StdDev,DayOfTheWeek
2016-01-02,17,559,0.08,0.02,0.0,19 to 20,0.0033333333333333327,0.005646597025732799,Saturday
2016-02-02,17,559,0.16,0.1,0.0,16 to 17,0.006666666666666668,0.020359095108162063,Tuesday
2016-03-02,17,559,0.08,0.02,0.0,19 to 20,0.0033333333333333335,0.005646597025732799,Wednesday
2016-04-02,13,559,0.13,0.02,0.0,18 to 19,0.005416666666666667,0.006580053301400785,Saturday
2016-05-02,16,559,0.09,0.02,0.0,22 to 23,0.0037500000000000003,0.005757792451369144,Monday
2016-06-02,18,559,0.09,0.04,0.0,18 to 19,0.00375,0.008753881126826473,Thursday
2016-07-02,19,559,0.08,0.04,0.0,18 to 19,0.0033333333333333335,0.00868114732282431,Saturday
2016-08-02,22,559,0.02,0.01,0.0,02 to 03,0.0008333333333333334,0.0028232985128663988,Tuesday
2016-09-02,18,559,0.06,0.01,0.0,18 to 19,0.0025,0.004423258684646914,Friday
2016-10-02,12,559,0.15000000000000002,0.02,0.0,20 to 21,0.006250000000000001,0.007109393663377319,Sunday
2016-11-02,17,559,0.1,0.02,0.0,01 to 02,0.004166666666666667,0.007172815023567724,Wednesday
2016-12-02,16,559,0.11000000000000001,0.04,0.0,21 to 22,0.0045833333333333325,0.008836272412331318,Friday
2016-02-13,16,559,0.1,0.02,0.0,22 to 23,0.004166666666666667,0.0065386254815829456,Saturday
2016-02-14,19,559,0.05,0.01,0.0,00 to 01,0.0020833333333333333,0.004148511169990532,Sunday
2016-02-16,21,559,0.09000000000000001,0.05,0.0,00 to 01,0.0037500000000000003,0.011349200316590025,Tuesday
2016-02-17,23,559,0.11,0.11,0.0,03 to 04,0.004583333333333333,0.02245365597551248,Wednesday
2016-02-18,20,559,0.04,0.01,0.0,18 to 19,0.0016666666666666668,0.0038069349381344053,Thursday
2016-02-19,18,559,0.08,0.02,0.0,22 to 23,0.0033333333333333335,0.006370220572706062,Friday
2016-02-20,14,559,0.12,0.02,0.0,01 to 02,0.004999999999999998,0.00659380473395787,Saturday
2016-02-21,23,559,0.01,0.01,0.0,19 to 20,0.0004166666666666667,0.0020412414523193153,Sunday
2016-02-22,20,559,0.04,0.01,0.0,18 to 19,0.0016666666666666668,0.0038069349381344053,Monday
2016-02-24,20,559,0.04,0.01,0.0,19 to 20,0.0016666666666666668,0.0038069349381344053,Wednesday
2016-02-25,21,559,0.04,0.02,0.0,19 to 20,0.0016666666666666668,0.004815434123430768,Thursday
2016-02-26,20,559,0.04,0.01,0.0,17 to 18,0.0016666666666666668,0.003806934938134405,Friday
2016-02-27,17,559,0.07,0.01,0.0,01 to 02,0.002916666666666667,0.004643056214875366,Saturday
2016-02-28,14,559,0.33999999999999997,0.11,0.0,22 to 23,0.014166666666666668,0.028271458439897305,Sunday
2016-02-29,11,559,0.8200000000000001,0.11,0.0,23 to 24,0.034166666666666665,0.04095773714310959,Monday
2016-01-03,11,559,0.74,0.1,0.0,04 to 05,0.030833333333333327,0.03740688923605973,Sunday
2016-02-03,11,559,0.73,0.08,0.0,00 to 01,0.030416666666666665,0.034950793567735956,Wednesday
2016-03-03,11,559,0.87,0.11,0.0,22 to 23,0.036250000000000004,0.038876896011362086,Thursday
2016-04-03,13,559,0.7500000000000001,0.1,0.0,03 to 04,0.03125,0.03992520180450482,Sunday
2016-05-03,12,559,0.56,0.1,0.0,03 to 04,0.023333333333333334,0.032122952198871985,Tuesday
2016-06-03,11,559,0.5,0.1,0.0,04 to 05,0.020833333333333332,0.030491148632472598,Friday
2016-07-03,11,559,0.81,0.1,0.0,03 to 04,0.03375,0.037741972944443834,Sunday
2016-08-03,11,559,0.9700000000000001,0.11,0.0,18 to 19,0.04041666666666666,0.04247548312458219,Wednesday
2016-09-03,11,559,0.9800000000000001,0.11,0.0,04 to 05,0.040833333333333326,0.04252024240867817,Saturday
2016-10-03,11,559,1.02,0.11,0.0,22 to 23,0.04249999999999999,0.04183300132670378,Monday
2016-11-03,12,559,0.95,0.12,0.0,03 to 04,0.039583333333333325,0.044767920061877645,Thursday
2016-12-03,11,559,0.69,0.11,0.0,02 to 03,0.028750000000000008,0.0373366005299148,Saturday
2016-03-13,11,559,0.8,0.1,0.0,03 to 04,0.03333333333333333,0.03679161845319933,Sunday
2016-03-14,11,559,0.8,0.08,0.0,00 to 01,0.03333333333333333,0.0360756049895538,Monday
2016-03-15,12,559,0.72,0.11,0.0,01 to 02,0.03,0.03900947488027471,Tuesday
