Date,ZeroHours,CompleteBlackoutDays,UnitsConsumed,MaxConsumption,MinConsumption,MaxHour,MeanConsumption,StdDev,DayOfTheWeek
2016-01-02,14,508,0.1,0.01,0.0,00 to 01,0.004166666666666667,0.00503610155185335,Saturday
2016-02-02,18,508,0.06,0.01,0.0,02 to 03,0.0025,0.004423258684646913,Tuesday
2016-03-02,19,508,0.05,0.01,0.0,02 to 03,0.0020833333333333333,0.004148511169990534,Wednesday
2016-04-02,22,508,0.02,0.01,0.0,00 to 01,0.0008333333333333334,0.0028232985128663988,Saturday
2016-07-02,20,508,0.04,0.01,0.0,09 to 10 ,0.0016666666666666668,0.0038069349381344045,Saturday
2016-08-02,19,508,0.05,0.01,0.0,03 to 04,0.0020833333333333333,0.004148511169990534,Tuesday
2016-09-02,20,508,0.04,0.01,0.0,02 to 03,0.0016666666666666668,0.0038069349381344058,Friday
2016-10-02,18,508,0.06,0.01,0.0,03 to 04,0.0025,0.004423258684646913,Sunday
2016-11-02,18,508,0.06,0.01,0.0,02 to 03,0.0025,0.004423258684646914,Wednesday
2016-12-02,17,508,0.07,0.01,0.0,03 to 04,0.002916666666666667,0.004643056214875366,Friday
2016-02-13,12,508,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Saturday
2016-02-14,19,508,0.05,0.01,0.0,00 to 01,0.0020833333333333333,0.004148511169990532,Sunday
2016-02-15,22,508,0.02,0.01,0.0,20 to 21,0.0008333333333333334,0.0028232985128663996,Monday
2016-02-16,16,508,0.08,0.01,0.0,01 to 02,0.0033333333333333335,0.004815434123430768,Tuesday
2016-02-17,12,508,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Wednesday
2016-02-18,12,508,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Thursday
2016-02-19,12,508,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Friday
2016-02-20,13,508,0.11,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040514,Saturday
2016-02-21,12,508,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Sunday
2016-02-22,12,508,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Monday
2016-02-23,12,508,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Tuesday
2016-02-24,12,508,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Wednesday
2016-02-25,12,508,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Thursday
2016-02-26,12,508,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Friday
2016-02-27,18,508,0.06,0.01,0.0,18 to 19,0.0025,0.004423258684646914,Saturday
2016-02-28,17,508,0.12,0.06,0.0,22 to 23,0.005,0.012510864843424485,Sunday
2016-02-29,10,508,0.14,0.01,0.0,00 to 01,0.005833333333333333,0.00503610155185335,Monday
2016-01-03,12,508,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Sunday
2016-02-03,12,508,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Wednesday
2016-03-03,12,508,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Thursday
2016-04-03,12,508,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Sunday
2016-05-03,12,508,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Tuesday
2016-06-03,12,508,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Friday
2016-07-03,12,508,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Sunday
2016-08-03,12,508,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Wednesday
2016-09-03,12,508,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Saturday
2016-10-03,12,508,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Monday
2016-11-03,14,508,0.1,0.01,0.0,00 to 01,0.004166666666666667,0.00503610155185335,Thursday
2016-03-13,17,508,0.07,0.01,0.0,17 to 18,0.002916666666666667,0.004643056214875366,Sunday
2016-03-14,12,508,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Monday
2016-03-15,13,508,0.11000000000000001,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040515,Tuesday
2016-03-16,22,508,0.02,0.01,0.0,02 to 03,0.0008333333333333334,0.0028232985128663988,Wednesday
2016-03-17,20,508,0.04,0.01,0.0,02 to 03,0.0016666666666666668,0.003806934938134405,Thursday
2016-03-18,21,508,0.03,0.01,0.0,01 to 02,0.00125,0.0033783196234608804,Friday
2016-03-19,22,508,0.02,0.01,0.0,01 to 02,0.0008333333333333334,0.0028232985128663988,Saturday
2016-03-20,21,508,0.03,0.01,0.0,01 to 02,0.00125,0.0033783196234608817,Sunday
2016-03-21,21,508,0.03,0.01,0.0,02 to 03,0.00125,0.0033783196234608804,Monday
2016-03-22,20,508,0.04,0.01,0.0,03 to 04,0.0016666666666666668,0.003806934938134405,Tuesday
2016-03-23,21,508,0.03,0.01,0.0,02 to 03,0.00125,0.0033783196234608804,Wednesday
2016-03-24,20,508,0.04,0.01,0.0,19 to 20,0.0016666666666666668,0.0038069349381344053,Thursday
2016-03-25,20,508,0.04,0.01,0.0,01 to 02,0.0016666666666666668,0.0038069349381344045,Friday
2016-03-26,22,508,0.02,0.01,0.0,02 to 03,0.0008333333333333334,0.0028232985128663988,Saturday
2016-03-27,21,508,0.03,0.01,0.0,03 to 04,0.00125,0.0033783196234608813,Sunday
2016-03-28,21,508,0.03,0.01,0.0,04 to 05,0.00125,0.0033783196234608817,Monday
2016-03-29,22,508,0.02,0.01,0.0,00 to 01,0.0008333333333333334,0.0028232985128663988,Tuesday
2016-03-30,20,508,0.04,0.01,0.0,01 to 02,0.0016666666666666668,0.0038069349381344058,Wednesday
2016-03-31,20,508,0.04,0.01,0.0,03 to 04,0.0016666666666666668,0.0038069349381344045,Thursday
2016-01-04,20,508,0.04,0.01,0.0,03 to 04,0.0016666666666666668,0.0038069349381344058,Monday
2016-02-04,22,508,0.02,0.01,0.0,19 to 20,0.0008333333333333334,0.0028232985128663996,Thursday
2016-03-04,21,508,0.03,0.01,0.0,01 to 02,0.00125,0.0033783196234608817,Friday
2016-04-04,22,508,0.02,0.01,0.0,02 to 03,0.0008333333333333334,0.0028232985128663988,Monday
2016-05-04,20,508,0.04,0.01,0.0,02 to 03,0.0016666666666666668,0.0038069349381344058,Wednesday
2016-06-04,21,508,0.03,0.01,0.0,04 to 05,0.00125,0.0033783196234608817,Saturday
2016-07-04,23,508,0.01,0.01,0.0,20 to 21,0.0004166666666666667,0.0020412414523193153,Monday
2016-08-04,21,508,0.03,0.01,0.0,01 to 02,0.00125,0.0033783196234608804,Thursday
2016-09-04,22,508,0.02,0.01,0.0,03 to 04,0.0008333333333333334,0.0028232985128663988,Sunday
2016-10-04,18,508,0.06,0.01,0.0,04 to 05,0.0025,0.004423258684646913,Tuesday
2016-11-04,23,508,0.01,0.01,0.0,20 to 21,0.0004166666666666667,0.0020412414523193153,Friday
2016-12-04,22,508,0.02,0.01,0.0,01 to 02,0.0008333333333333334,0.0028232985128663988,Sunday
2016-04-13,20,508,0.04,0.01,0.0,01 to 02,0.0016666666666666668,0.003806934938134405,Wednesday
2016-04-14,23,508,0.01,0.01,0.0,20 to 21,0.0004166666666666667,0.0020412414523193153,Thursday
2016-04-15,21,508,0.03,0.01,0.0,01 to 02,0.00125,0.0033783196234608817,Friday
2016-04-16,23,508,0.01,0.01,0.0,04 to 05,0.0004166666666666667,0.002041241452319315,Saturday
2016-04-25,21,508,0.03,0.01,0.0,19 to 20,0.00125,0.0033783196234608813,Monday
2016-04-26,19,508,0.05,0.01,0.0,00 to 01,0.0020833333333333333,0.004148511169990534,Tuesday
2016-04-27,20,508,0.04,0.01,0.0,01 to 02,0.0016666666666666668,0.0038069349381344058,Wednesday
2016-04-28,20,508,0.04,0.01,0.0,01 to 02,0.0016666666666666668,0.0038069349381344058,Thursday
2016-04-29,20,508,0.04,0.01,0.0,01 to 02,0.0016666666666666668,0.0038069349381344058,Friday
2016-04-30,17,508,0.07,0.01,0.0,01 to 02,0.002916666666666667,0.004643056214875366,Saturday
2016-01-05,17,508,0.07,0.01,0.0,01 to 02,0.002916666666666667,0.004643056214875366,Tuesday
2016-02-05,18,508,0.06,0.01,0.0,01 to 02,0.0025,0.004423258684646914,Friday
2016-03-05,21,508,0.03,0.01,0.0,19 to 20,0.00125,0.0033783196234608813,Saturday
2016-04-05,20,508,0.04,0.01,0.0,01 to 02,0.0016666666666666668,0.0038069349381344045,Tuesday
2016-05-05,20,508,0.04,0.01,0.0,01 to 02,0.0016666666666666668,0.0038069349381344045,Thursday
2016-06-05,17,508,0.07,0.01,0.0,01 to 02,0.002916666666666667,0.004643056214875366,Sunday
2016-07-05,18,508,0.06,0.01,0.0,12 to 13,0.0025,0.004423258684646914,Tuesday
2016-08-05,22,508,0.02,0.01,0.0,19 to 20,0.0008333333333333334,0.0028232985128663996,Friday
2016-09-05,19,508,0.05,0.01,0.0,00 to 01,0.0020833333333333333,0.004148511169990534,Monday
2016-10-05,18,508,0.06,0.01,0.0,01 to 02,0.0025,0.004423258684646913,Wednesday
2016-11-05,21,508,0.03,0.01,0.0,19 to 20,0.00125,0.0033783196234608813,Saturday
2016-12-05,20,508,0.04,0.01,0.0,18 to 19,0.0016666666666666668,0.0038069349381344053,Monday
2016-05-13,20,508,0.04,0.01,0.0,00 to 01,0.0016666666666666668,0.0038069349381344045,Friday
2016-05-14,20,508,0.04,0.01,0.0,01 to 02,0.0016666666666666668,0.0038069349381344045,Saturday
2016-05-15,22,508,0.02,0.01,0.0,19 to 20,0.0008333333333333334,0.0028232985128663996,Sunday
2016-05-16,21,508,0.03,0.01,0.0,01 to 02,0.00125,0.0033783196234608817,Monday
2016-05-17,16,508,0.08,0.01,0.0,00 to 01,0.0033333333333333335,0.004815434123430769,Tuesday
2016-05-18,18,508,0.06,0.01,0.0,01 to 02,0.0025,0.004423258684646913,Wednesday
2016-05-19,19,508,0.05,0.01,0.0,16 to 17,0.0020833333333333333,0.004148511169990534,Thursday
2016-05-20,21,508,0.03,0.01,0.0,17 to 18,0.00125,0.0033783196234608813,Friday
2016-05-21,20,508,0.04,0.01,0.0,17 to 18,0.0016666666666666668,0.0038069349381344053,Saturday
2016-05-22,20,508,0.04,0.01,0.0,17 to 18,0.0016666666666666668,0.003806934938134405,Sunday
2016-05-23,20,508,0.04,0.01,0.0,17 to 18,0.0016666666666666668,0.003806934938134405,Monday
2016-05-24,19,508,0.05,0.01,0.0,13 to 14,0.0020833333333333333,0.004148511169990534,Tuesday
2016-05-25,21,508,0.04,0.02,0.0,22 to 23,0.0016666666666666668,0.004815434123430768,Wednesday
2016-05-26,20,508,0.04,0.01,0.0,00 to 01,0.0016666666666666668,0.003806934938134406,Thursday
2016-05-27,22,508,0.02,0.01,0.0,01 to 02,0.0008333333333333334,0.0028232985128663988,Friday
2016-05-28,20,508,0.04,0.01,0.0,01 to 02,0.0016666666666666668,0.003806934938134405,Saturday
2016-05-29,20,508,0.04,0.01,0.0,01 to 02,0.0016666666666666668,0.0038069349381344045,Sunday
2016-05-30,22,508,0.02,0.01,0.0,01 to 02,0.0008333333333333334,0.0028232985128663988,Monday
2016-05-31,20,508,0.04,0.01,0.0,20 to 21,0.0016666666666666668,0.0038069349381344053,Tuesday
2016-01-06,23,508,0.01,0.01,0.0,01 to 02,0.0004166666666666667,0.002041241452319315,Wednesday
2017-03-19,21,508,0.03,0.01,0.0,17 to 18,0.00125,0.0033783196234608813,Sunday
2017-03-20,17,508,0.07,0.01,0.0,03 to 04,0.002916666666666667,0.004643056214875366,Monday
2017-03-21,17,508,0.07,0.01,0.0,00 to 01,0.002916666666666667,0.004643056214875366,Tuesday
2017-03-22,17,508,0.07,0.01,0.0,01 to 02,0.002916666666666667,0.004643056214875366,Wednesday
2017-03-23,17,508,0.07,0.01,0.0,08 to 09,0.002916666666666667,0.004643056214875366,Thursday
2017-03-24,14,508,0.1,0.01,0.0,02 to 03,0.004166666666666667,0.00503610155185335,Friday
2017-03-26,23,508,0.01,0.01,0.0,03 to 04,0.0004166666666666667,0.002041241452319315,Sunday
2017-03-30,23,508,0.01,0.01,0.0,19 to 20,0.0004166666666666667,0.0020412414523193153,Thursday
2017-04-04,22,508,0.02,0.01,0.0,01 to 02,0.0008333333333333334,0.0028232985128663988,Tuesday
2017-11-04,23,508,0.01,0.01,0.0,22 to 23,0.0004166666666666667,0.0020412414523193153,Saturday
2017-12-04,22,508,0.02,0.01,0.0,03 to 04,0.0008333333333333334,0.0028232985128663988,Monday
2017-04-17,23,508,0.01,0.01,0.0,02 to 03,0.0004166666666666667,0.002041241452319315,Monday
2017-04-19,23,508,0.01,0.01,0.0,21 to 22,0.0004166666666666667,0.0020412414523193153,Wednesday
2017-04-25,23,508,0.01,0.01,0.0,22 to 23,0.0004166666666666667,0.0020412414523193153,Tuesday
2017-04-26,23,508,0.01,0.01,0.0,02 to 03,0.0004166666666666667,0.002041241452319315,Wednesday
2017-04-29,23,508,0.01,0.01,0.0,23 to 24,0.0004166666666666667,0.0020412414523193153,Saturday
2017-04-30,22,508,0.02,0.01,0.0,02 to 03,0.0008333333333333334,0.0028232985128663988,Sunday
2017-05-05,22,508,0.02,0.01,0.0,01 to 02,0.0008333333333333334,0.0028232985128663988,Friday
2017-09-05,22,508,0.02,0.01,0.0,21 to 22,0.0008333333333333334,0.0028232985128663996,Tuesday
2017-10-05,23,508,0.01,0.01,0.0,03 to 04,0.0004166666666666667,0.002041241452319315,Thursday
2017-11-05,21,508,0.03,0.01,0.0,01 to 02,0.00125,0.0033783196234608804,Sunday
2017-05-13,21,508,0.03,0.01,0.0,03 to 04,0.00125,0.0033783196234608804,Saturday
2017-05-22,23,508,0.01,0.01,0.0,22 to 23,0.0004166666666666667,0.0020412414523193153,Monday
2017-05-23,23,508,0.01,0.01,0.0,02 to 03,0.0004166666666666667,0.002041241452319315,Tuesday
2017-05-29,22,508,0.02,0.01,0.0,02 to 03,0.0008333333333333334,0.0028232985128663988,Monday
2017-05-30,21,508,0.03,0.01,0.0,03 to 04,0.00125,0.0033783196234608804,Tuesday
2017-05-31,22,508,0.02,0.01,0.0,01 to 02,0.0008333333333333334,0.0028232985128663988,Wednesday
2017-08-06,22,508,0.02,0.01,0.0,01 to 02,0.0008333333333333334,0.0028232985128663988,Sunday
2017-01-07,23,508,0.01,0.01,0.0,19 to 20,0.0004166666666666667,0.0020412414523193153,Saturday
2017-02-07,23,508,0.01,0.01,0.0,19 to 20,0.0004166666666666667,0.0020412414523193153,Tuesday
2017-04-07,21,508,0.03,0.01,0.0,19 to 20,0.00125,0.0033783196234608813,Friday
2017-05-07,21,508,0.03,0.01,0.0,20 to 21,0.00125,0.0033783196234608813,Sunday
2017-06-07,23,508,0.01,0.01,0.0,22 to 23,0.0004166666666666667,0.0020412414523193153,Wednesday
2017-07-07,22,508,0.02,0.01,0.0,20 to 21,0.0008333333333333334,0.0028232985128663996,Friday
2017-08-07,23,508,0.01,0.01,0.0,20 to 21,0.0004166666666666667,0.0020412414523193153,Monday
2017-09-07,22,508,0.02,0.01,0.0,22 to 23,0.0008333333333333334,0.0028232985128663996,Thursday
2017-10-07,20,508,0.04,0.01,0.0,20 to 21,0.0016666666666666668,0.0038069349381344053,Saturday
2017-11-07,23,508,0.01,0.01,0.0,01 to 02,0.0004166666666666667,0.002041241452319315,Tuesday
2017-01-09,23,508,0.02,0.02,0.0,15 to 16,0.0008333333333333334,0.004082482904638631,Monday
2017-02-09,20,508,0.04,0.01,0.0,19 to 20,0.0016666666666666668,0.0038069349381344053,Thursday
2017-03-09,16,508,0.08,0.01,0.0,02 to 03,0.0033333333333333335,0.004815434123430768,Thursday
2017-04-09,16,508,0.08,0.01,0.0,02 to 03,0.0033333333333333335,0.004815434123430769,Sunday
2017-05-09,16,508,0.08,0.01,0.0,00 to 01,0.0033333333333333335,0.004815434123430768,Tuesday
2017-06-09,19,508,0.05,0.01,0.0,01 to 02,0.0020833333333333333,0.004148511169990534,Friday
2017-07-09,15,508,0.09,0.01,0.0,01 to 02,0.00375,0.004945353550468403,Sunday
2017-08-09,21,508,0.03,0.01,0.0,01 to 02,0.00125,0.0033783196234608804,Wednesday
2017-09-09,22,508,0.02,0.01,0.0,13 to 14,0.0008333333333333334,0.002823298512866399,Saturday
2017-10-09,21,508,0.03,0.01,0.0,19 to 20,0.00125,0.0033783196234608813,Monday
2017-11-09,16,508,0.08,0.01,0.0,01 to 02,0.0033333333333333335,0.004815434123430768,Thursday
2017-09-14,17,508,0.07,0.01,0.0,13 to 14,0.002916666666666667,0.004643056214875366,Thursday
2017-09-15,20,508,0.04,0.01,0.0,02 to 03,0.0016666666666666668,0.003806934938134405,Friday
2017-09-16,23,508,0.01,0.01,0.0,22 to 23,0.0004166666666666667,0.0020412414523193153,Saturday
2017-09-17,17,508,0.07,0.01,0.0,01 to 02,0.002916666666666667,0.004643056214875366,Sunday
2017-09-18,22,508,0.02,0.01,0.0,01 to 02,0.0008333333333333334,0.0028232985128663988,Monday
2017-09-20,18,508,0.06,0.01,0.0,01 to 02,0.0025,0.004423258684646913,Wednesday
2017-09-22,18,508,0.06,0.01,0.0,01 to 02,0.0025,0.004423258684646913,Friday
2017-09-23,18,508,0.060000000000000005,0.01,0.0,00 to 01,0.0025,0.004423258684646914,Saturday
2017-09-24,19,508,0.05,0.01,0.0,14 to 15,0.0020833333333333333,0.004148511169990534,Sunday
2017-09-25,16,508,0.08,0.01,0.0,01 to 02,0.0033333333333333335,0.004815434123430768,Monday
2017-09-26,17,508,0.07,0.01,0.0,00 to 01,0.002916666666666667,0.004643056214875366,Tuesday
2017-09-27,16,508,0.08,0.01,0.0,02 to 03,0.0033333333333333335,0.004815434123430769,Wednesday
2017-09-28,19,508,0.05,0.01,0.0,01 to 02,0.0020833333333333333,0.004148511169990534,Thursday
2017-09-29,19,508,0.05,0.01,0.0,01 to 02,0.0020833333333333333,0.004148511169990534,Friday
2017-09-30,19,508,0.05,0.01,0.0,16 to 17,0.0020833333333333333,0.004148511169990534,Saturday
2017-01-10,18,508,0.06,0.01,0.0,01 to 02,0.0025,0.004423258684646914,Tuesday
2017-02-10,19,508,0.05,0.01,0.0,00 to 01,0.0020833333333333333,0.004148511169990534,Friday
2017-03-10,19,508,0.05,0.01,0.0,15 to 16,0.0020833333333333333,0.004148511169990534,Friday
2017-04-10,18,508,0.06,0.01,0.0,00 to 01,0.0025,0.004423258684646914,Monday
2017-05-10,19,508,0.05,0.01,0.0,01 to 02,0.0020833333333333333,0.004148511169990534,Wednesday
2017-06-10,20,508,0.04,0.01,0.0,00 to 01,0.0016666666666666668,0.0038069349381344045,Saturday
2017-07-10,18,508,0.060000000000000005,0.01,0.0,13 to 14,0.0025,0.004423258684646914,Monday
2017-08-10,22,508,0.02,0.01,0.0,02 to 03,0.0008333333333333334,0.0028232985128663988,Thursday
2017-09-10,21,508,0.03,0.01,0.0,20 to 21,0.00125,0.0033783196234608813,Sunday
2017-10-10,18,508,0.06,0.01,0.0,01 to 02,0.0025,0.004423258684646913,Tuesday
2017-11-10,18,508,0.06,0.01,0.0,00 to 01,0.0025,0.004423258684646914,Friday
2017-12-10,20,508,0.04,0.01,0.0,01 to 02,0.0016666666666666668,0.0038069349381344058,Sunday
2017-10-17,20,508,0.04,0.01,0.0,18 to 19,0.0016666666666666668,0.0038069349381344053,Tuesday
2017-10-18,17,508,0.07,0.01,0.0,01 to 02,0.002916666666666667,0.004643056214875366,Wednesday
2017-10-19,16,508,0.08,0.01,0.0,01 to 02,0.0033333333333333335,0.004815434123430768,Thursday
2017-10-20,23,508,0.01,0.01,0.0,01 to 02,0.0004166666666666667,0.002041241452319315,Friday
2017-10-24,22,508,0.02,0.01,0.0,13 to 14,0.0008333333333333334,0.002823298512866399,Tuesday
2017-10-30,22,508,0.02,0.01,0.0,13 to 14,0.0008333333333333334,0.002823298512866399,Monday
2017-03-11,18,508,0.060000000000000005,0.01,0.0,14 to 15,0.0025,0.004423258684646914,Saturday
2017-04-11,20,508,0.04,0.01,0.0,02 to 03,0.0016666666666666668,0.0038069349381344045,Tuesday
2017-08-11,21,508,0.03,0.01,0.0,16 to 17,0.00125,0.0033783196234608813,Friday
2017-09-11,15,508,0.09,0.01,0.0,01 to 02,0.00375,0.004945353550468403,Monday
2017-10-11,15,508,0.09,0.01,0.0,01 to 02,0.00375,0.004945353550468403,Wednesday
2017-11-11,15,508,0.09,0.01,0.0,00 to 01,0.00375,0.004945353550468404,Saturday
2017-12-11,14,508,0.1,0.01,0.0,01 to 02,0.004166666666666667,0.00503610155185335,Monday
2017-11-13,20,508,0.04,0.01,0.0,18 to 19,0.0016666666666666668,0.0038069349381344053,Monday
2017-11-14,15,508,0.09,0.01,0.0,02 to 03,0.00375,0.004945353550468404,Tuesday
2017-11-15,16,508,0.08,0.01,0.0,01 to 02,0.0033333333333333335,0.004815434123430768,Wednesday
2017-11-16,17,508,0.07,0.01,0.0,01 to 02,0.002916666666666667,0.004643056214875366,Thursday
2017-11-12,19,508,0.05,0.01,0.0,12 to 13,0.0020833333333333333,0.004148511169990534,Sunday
2017-12-12,12,508,0.12,0.01,0.0,00 to 01,0.004999999999999999,0.005107539184552492,Tuesday
