Date,ZeroHours,CompleteBlackoutDays,UnitsConsumed,MaxConsumption,MinConsumption,MaxHour,MeanConsumption,StdDev,DayOfTheWeek
2016-01-02,12,383,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Saturday
2016-02-02,13,383,0.11,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040514,Tuesday
2016-03-02,12,383,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Wednesday
2016-04-02,12,383,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Saturday
2016-05-02,12,383,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Monday
2016-06-02,12,383,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Thursday
2016-07-02,19,383,0.05,0.01,0.0,00 to 01,0.0020833333333333333,0.004148511169990532,Saturday
2016-11-02,21,383,0.03,0.01,0.0,18 to 19,0.00125,0.0033783196234608813,Wednesday
2016-12-02,18,383,0.06,0.01,0.0,02 to 03,0.0025,0.004423258684646914,Friday
2016-02-13,16,383,0.08,0.01,0.0,01 to 02,0.0033333333333333335,0.004815434123430768,Saturday
2016-02-14,22,383,0.02,0.01,0.0,02 to 03,0.0008333333333333334,0.0028232985128663988,Sunday
2016-02-15,22,383,0.02,0.01,0.0,17 to 18,0.0008333333333333334,0.0028232985128663996,Monday
2016-02-16,20,383,0.04,0.01,0.0,18 to 19,0.0016666666666666668,0.0038069349381344053,Tuesday
2016-02-17,17,383,0.07,0.01,0.0,01 to 02,0.002916666666666667,0.004643056214875366,Wednesday
2016-02-18,22,383,0.02,0.01,0.0,18 to 19,0.0008333333333333334,0.0028232985128663996,Thursday
2016-02-19,22,383,0.02,0.01,0.0,03 to 04,0.0008333333333333334,0.0028232985128663988,Friday
2016-02-20,20,383,0.04,0.01,0.0,04 to 05,0.0016666666666666668,0.0038069349381344045,Saturday
2016-02-21,19,383,0.05,0.01,0.0,00 to 01,0.0020833333333333333,0.004148511169990534,Sunday
2016-02-22,22,383,0.02,0.01,0.0,04 to 05,0.0008333333333333334,0.0028232985128663988,Monday
2016-02-23,23,383,0.01,0.01,0.0,20 to 21,0.0004166666666666667,0.0020412414523193153,Tuesday
2016-02-24,20,383,0.04,0.01,0.0,17 to 18,0.0016666666666666668,0.003806934938134405,Wednesday
