Date,ZeroHours,CompleteBlackoutDays,UnitsConsumed,MaxConsumption,MinConsumption,MaxHour,MeanConsumption,StdDev,DayOfTheWeek
2016-01-02,13,649,0.12000000000000001,0.02,0.0,23 to 24,0.005,0.005897678246195885,Saturday
2016-02-02,15,649,0.13,0.04,0.0,04 to 05,0.005416666666666666,0.009315329426211433,Tuesday
2016-03-02,12,649,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Wednesday
2016-04-02,16,649,0.1,0.02,0.0,20 to 21,0.004166666666666667,0.0065386254815829456,Saturday
2016-05-02,17,649,0.1,0.04,0.0,10 to 11,0.004166666666666667,0.008805466023105077,Monday
2016-06-02,16,649,0.13,0.05,0.0,03 to 04,0.005416666666666666,0.011025333147551273,Thursday
2016-07-02,13,649,0.13,0.03,0.0,00 to 01,0.005416666666666666,0.007210600087592461,Saturday
2016-08-02,13,649,0.14,0.02,0.0,00 to 01,0.005833333333333333,0.007172815023567727,Tuesday
2016-09-02,15,649,0.09000000000000001,0.01,0.0,00 to 01,0.00375,0.004945353550468404,Friday
2016-10-02,17,649,0.14,0.05,0.0,01 to 02,0.005833333333333333,0.012825472842090012,Sunday
2016-11-02,13,649,0.14,0.03,0.0,04 to 05,0.005833333333333333,0.007755316082290388,Wednesday
2016-12-02,12,649,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Friday
2016-02-13,14,649,0.11,0.02,0.0,21 to 22,0.004583333333333333,0.005882299658752716,Saturday
2016-02-14,20,649,0.07,0.02,0.0,00 to 01,0.002916666666666667,0.0069025305168634995,Sunday
2016-02-16,22,649,0.03,0.02,0.0,21 to 22,0.00125,0.004484272031464407,Tuesday
2016-02-17,22,649,0.05,0.04,0.0,10 to 11,0.0020833333333333333,0.008329709356935241,Wednesday
2016-02-18,22,649,0.05,0.04,0.0,05 to 06,0.0020833333333333333,0.008329709356935241,Thursday
2016-02-19,22,649,0.05,0.04,0.0,11 to 12,0.0020833333333333333,0.008329709356935241,Friday
2016-02-20,23,649,0.05,0.05,0.0,11 to 12,0.0020833333333333333,0.010206207261596571,Saturday
2016-02-21,20,649,0.26,0.1,0.0,19 to 20,0.010833333333333334,0.027013147630876644,Sunday
2016-02-22,22,649,0.11,0.08,0.0,13 to 14,0.004583333333333333,0.017189270330434433,Monday
2016-02-23,23,649,0.09,0.09,0.0,07 to 08,0.00375,0.01837117307087384,Tuesday
2016-02-25,23,649,0.01,0.01,0.0,19 to 20,0.0004166666666666667,0.0020412414523193153,Thursday
2016-02-26,23,649,0.08,0.08,0.0,08 to 09,0.0033333333333333335,0.016329931618554522,Friday
2016-01-03,21,649,0.03,0.01,0.0,21 to 22,0.00125,0.0033783196234608813,Sunday
2016-02-03,12,649,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Wednesday
2016-03-03,14,649,0.1,0.01,0.0,00 to 01,0.004166666666666667,0.00503610155185335,Thursday
2016-04-03,17,649,0.07,0.01,0.0,00 to 01,0.002916666666666667,0.004643056214875366,Sunday
2016-05-03,21,649,0.03,0.01,0.0,02 to 03,0.00125,0.0033783196234608817,Tuesday
2016-06-03,12,649,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Friday
2016-07-03,12,649,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Sunday
2016-08-03,12,649,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Wednesday
2016-09-03,12,649,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Saturday
2016-10-03,12,649,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Monday
2016-11-03,13,649,0.11,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040514,Thursday
2016-12-03,12,649,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Saturday
2016-03-13,14,649,0.1,0.01,0.0,00 to 01,0.004166666666666667,0.00503610155185335,Sunday
2016-03-14,14,649,0.1,0.01,0.0,00 to 01,0.004166666666666667,0.00503610155185335,Monday
2016-03-15,18,649,0.060000000000000005,0.01,0.0,00 to 01,0.0025,0.004423258684646916,Tuesday
2016-03-16,22,649,0.02,0.01,0.0,21 to 22,0.0008333333333333334,0.0028232985128663996,Wednesday
2016-03-17,20,649,0.04,0.01,0.0,02 to 03,0.0016666666666666668,0.003806934938134405,Thursday
2016-03-18,16,649,0.08,0.01,0.0,00 to 01,0.0033333333333333335,0.004815434123430767,Friday
2016-03-19,19,649,0.05,0.01,0.0,01 to 02,0.0020833333333333333,0.0041485111699905335,Saturday
2016-03-20,16,649,0.08,0.01,0.0,01 to 02,0.0033333333333333335,0.004815434123430768,Sunday
2016-03-21,16,649,0.08,0.01,0.0,00 to 01,0.0033333333333333335,0.004815434123430767,Monday
2016-03-22,18,649,0.06,0.01,0.0,00 to 01,0.0025,0.004423258684646916,Tuesday
2016-03-23,18,649,0.06,0.01,0.0,00 to 01,0.0025,0.004423258684646913,Wednesday
2016-03-24,18,649,0.060000000000000005,0.01,0.0,00 to 01,0.0025,0.004423258684646916,Thursday
2016-03-25,23,649,0.01,0.01,0.0,21 to 22,0.0004166666666666667,0.0020412414523193153,Friday
2016-03-26,22,649,0.02,0.01,0.0,20 to 21,0.0008333333333333334,0.0028232985128663996,Saturday
2016-03-27,22,649,0.02,0.01,0.0,02 to 03,0.0008333333333333334,0.0028232985128663988,Sunday
2016-03-28,21,649,0.03,0.01,0.0,02 to 03,0.00125,0.0033783196234608817,Monday
2016-03-29,19,649,0.05,0.01,0.0,01 to 02,0.0020833333333333333,0.0041485111699905335,Tuesday
2016-03-30,20,649,0.04,0.01,0.0,01 to 02,0.0016666666666666668,0.0038069349381344053,Wednesday
2016-03-31,22,649,0.02,0.01,0.0,03 to 04,0.0008333333333333334,0.0028232985128663988,Thursday
2016-01-04,20,649,0.04,0.01,0.0,02 to 03,0.0016666666666666668,0.0038069349381344058,Monday
2016-02-04,22,649,0.02,0.01,0.0,22 to 23,0.0008333333333333334,0.0028232985128663996,Thursday
2016-03-04,20,649,0.04,0.01,0.0,02 to 03,0.0016666666666666668,0.0038069349381344058,Friday
2016-04-04,20,649,0.04,0.01,0.0,01 to 02,0.0016666666666666668,0.0038069349381344058,Monday
2016-05-04,19,649,0.05,0.01,0.0,01 to 02,0.0020833333333333333,0.0041485111699905335,Wednesday
2016-06-04,19,649,0.05,0.01,0.0,03 to 04,0.0020833333333333333,0.004148511169990534,Saturday
2016-07-04,19,649,0.05,0.01,0.0,02 to 03,0.0020833333333333333,0.004148511169990534,Monday
2016-08-04,22,649,0.02,0.01,0.0,22 to 23,0.0008333333333333334,0.0028232985128663996,Thursday
2016-09-04,18,649,0.06,0.01,0.0,01 to 02,0.0025,0.004423258684646913,Sunday
2016-10-04,21,649,0.03,0.01,0.0,01 to 02,0.00125,0.0033783196234608804,Tuesday
2016-11-04,20,649,0.04,0.01,0.0,02 to 03,0.0016666666666666668,0.0038069349381344058,Friday
2016-12-04,21,649,0.03,0.01,0.0,02 to 03,0.00125,0.0033783196234608817,Sunday
2016-04-13,23,649,0.01,0.01,0.0,02 to 03,0.0004166666666666667,0.002041241452319315,Wednesday
2016-04-25,21,649,0.03,0.01,0.0,19 to 20,0.00125,0.0033783196234608813,Monday
2016-04-29,23,649,0.01,0.01,0.0,21 to 22,0.0004166666666666667,0.0020412414523193153,Friday
2016-04-30,22,649,0.02,0.01,0.0,20 to 21,0.0008333333333333334,0.0028232985128663996,Saturday
2016-01-05,23,649,0.01,0.01,0.0,20 to 21,0.0004166666666666667,0.0020412414523193153,Tuesday
2016-02-05,19,649,0.05,0.01,0.0,19 to 20,0.0020833333333333333,0.004148511169990534,Friday
2016-03-05,20,649,0.04,0.01,0.0,00 to 01,0.0016666666666666668,0.0038069349381344058,Saturday
2016-04-05,22,649,0.02,0.01,0.0,01 to 02,0.0008333333333333334,0.0028232985128663988,Tuesday
2016-05-05,23,649,0.01,0.01,0.0,01 to 02,0.0004166666666666667,0.002041241452319315,Thursday
2016-07-05,20,649,0.04,0.01,0.0,19 to 20,0.0016666666666666668,0.0038069349381344053,Tuesday
2016-08-05,22,649,0.02,0.01,0.0,19 to 20,0.0008333333333333334,0.0028232985128663996,Friday
2016-09-05,21,649,0.03,0.01,0.0,19 to 20,0.00125,0.0033783196234608813,Monday
2016-10-05,22,649,0.02,0.01,0.0,01 to 02,0.0008333333333333334,0.0028232985128663988,Wednesday
2016-11-05,23,649,0.01,0.01,0.0,21 to 22,0.0004166666666666667,0.0020412414523193153,Saturday
2017-03-20,23,649,7.88,7.88,0.0,17 to 18,0.3283333333333333,1.6084982644276202,Monday
