Date,ZeroHours,CompleteBlackoutDays,UnitsConsumed,MaxConsumption,MinConsumption,MaxHour,MeanConsumption,StdDev,DayOfTheWeek
2016-01-02,11,483,0.71,0.09,0.0,20 to 21,0.029583333333333333,0.032232736082472416,Saturday
2016-02-02,15,483,0.6699999999999999,0.15,0.0,06 to 07,0.02791666666666667,0.042933636014776046,Tuesday
2016-03-02,11,483,0.74,0.1,0.0,19 to 20,0.030833333333333338,0.03437854066086887,Wednesday
2016-04-02,15,483,0.6699999999999999,0.3,0.0,23 to 24,0.02791666666666667,0.0634500259818816,Saturday
2016-05-02,17,483,0.58,0.24,0.0,10 to 11,0.02416666666666667,0.05299029170039314,Monday
2016-06-02,16,483,0.77,0.31,0.0,03 to 04,0.03208333333333333,0.06724253096823833,Thursday
2016-07-02,13,483,0.8300000000000001,0.2,0.0,00 to 01,0.03458333333333334,0.05012845817338272,Saturday
2016-08-02,13,483,0.8,0.15,0.0,02 to 03,0.03333333333333333,0.045460605656619524,Tuesday
2016-09-02,13,483,0.6400000000000001,0.1,0.0,19 to 20,0.02666666666666667,0.03484957322010111,Friday
2016-10-02,17,483,0.9099999999999999,0.28,0.0,11 to 12,0.03791666666666667,0.07745849753629172,Sunday
2016-11-02,15,483,0.9,0.29,0.0,07 to 08,0.0375,0.07017059956618768,Wednesday
2016-12-02,11,483,0.73,0.08,0.0,19 to 20,0.030416666666666665,0.031688588903052574,Friday
2016-02-13,14,483,0.6799999999999999,0.15,0.0,21 to 22,0.028333333333333332,0.040396584731521724,Saturday
2016-02-14,21,483,0.32999999999999996,0.19,0.0,04 to 05,0.013749999999999998,0.0448972256332751,Sunday
2016-02-16,23,483,0.29,0.29,0.0,21 to 22,0.012083333333333333,0.05919600211726013,Tuesday
2016-02-17,20,483,0.68,0.45,0.0,10 to 11,0.028333333333333335,0.09644402145992423,Wednesday
2016-02-18,17,483,0.9700000000000001,0.56,0.0,08 to 09,0.04041666666666667,0.11562605267832594,Thursday
2016-02-19,21,483,0.49,0.3,0.0,16 to 17,0.020416666666666663,0.06727485263530086,Friday
2016-02-20,23,483,0.71,0.71,0.0,14 to 15,0.029583333333333333,0.14492814311467137,Saturday
2016-02-21,20,483,1.06,0.83,0.0,05 to 06,0.04416666666666667,0.16990832993031893,Sunday
2016-02-22,22,483,0.8200000000000001,0.68,0.0,13 to 14,0.03416666666666667,0.14049343684706928,Monday
2016-02-25,23,483,0.42,0.42,0.0,00 to 01,0.017499999999999998,0.08573214099741128,Thursday
2016-02-27,23,483,0.05,0.05,0.0,18 to 19,0.0020833333333333333,0.010206207261596574,Saturday
2016-01-03,17,483,0.44000000000000006,0.1,0.0,21 to 22,0.018333333333333333,0.03116110544819653,Sunday
2016-02-03,11,483,0.73,0.09,0.0,21 to 22,0.030416666666666665,0.03209756413169706,Wednesday
