Date,ZeroHours,CompleteBlackoutDays,UnitsConsumed,MaxConsumption,MinConsumption,MaxHour,MeanConsumption,StdDev,DayOfTheWeek
2016-01-02,20,431,0.04,0.01,0.0,01 to 02,0.0016666666666666668,0.0038069349381344058,Saturday
2016-02-02,15,431,0.09,0.01,0.0,01 to 02,0.00375,0.004945353550468404,Tuesday
2016-03-02,15,431,0.09,0.01,0.0,01 to 02,0.00375,0.004945353550468404,Wednesday
2016-04-02,16,431,0.08,0.01,0.0,01 to 02,0.0033333333333333335,0.004815434123430768,Saturday
2016-05-02,14,431,0.1,0.01,0.0,00 to 01,0.004166666666666667,0.00503610155185335,Monday
2016-06-02,16,431,0.08,0.01,0.0,01 to 02,0.0033333333333333335,0.004815434123430768,Thursday
2016-07-02,22,431,0.02,0.01,0.0,02 to 03,0.0008333333333333334,0.0028232985128663988,Saturday
2016-11-02,20,431,0.04,0.01,0.0,19 to 20,0.0016666666666666668,0.0038069349381344053,Wednesday
2016-12-02,17,431,0.07,0.01,0.0,01 to 02,0.002916666666666667,0.004643056214875366,Friday
2016-02-13,17,431,0.07,0.01,0.0,01 to 02,0.002916666666666667,0.004643056214875366,Saturday
2016-02-14,23,431,0.01,0.01,0.0,03 to 04,0.0004166666666666667,0.002041241452319315,Sunday
2016-02-15,22,431,0.02,0.01,0.0,19 to 20,0.0008333333333333334,0.0028232985128663996,Monday
2016-02-16,19,431,0.05,0.01,0.0,01 to 02,0.0020833333333333333,0.0041485111699905335,Tuesday
2016-02-17,20,431,0.04,0.01,0.0,01 to 02,0.0016666666666666668,0.003806934938134405,Wednesday
2016-02-18,17,431,0.09,0.02,0.0,07 to 08,0.0037500000000000003,0.006468989572333267,Thursday
2016-02-19,13,431,0.12,0.02,0.0,02 to 03,0.004999999999999999,0.0058976782461958865,Friday
2016-02-20,12,431,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Saturday
2016-02-21,12,431,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Sunday
2016-02-22,12,431,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Monday
2016-02-23,12,431,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Tuesday
2016-02-24,12,431,0.15000000000000002,0.04,0.0,20 to 21,0.006250000000000001,0.008753881126826473,Wednesday
2016-02-25,12,431,0.15000000000000002,0.02,0.0,18 to 19,0.0062499999999999995,0.007109393663377318,Thursday
2016-02-26,12,431,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Friday
2016-02-27,12,431,0.13,0.02,0.0,22 to 23,0.005416666666666667,0.005882299658752716,Saturday
2016-02-28,12,431,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Sunday
2016-02-29,12,431,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Monday
2016-01-03,12,431,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Sunday
2016-02-03,12,431,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Wednesday
2016-03-03,12,431,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Thursday
2016-04-03,12,431,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Sunday
2016-05-03,16,431,0.08,0.01,0.0,00 to 01,0.0033333333333333335,0.004815434123430767,Tuesday
2016-06-03,18,431,0.06,0.01,0.0,01 to 02,0.0025,0.004423258684646913,Friday
2016-07-03,12,431,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Sunday
2016-08-03,17,431,0.07,0.01,0.0,00 to 01,0.002916666666666667,0.004643056214875366,Wednesday
2016-09-03,20,431,0.04,0.01,0.0,04 to 05,0.0016666666666666668,0.0038069349381344045,Saturday
2016-10-03,17,431,0.07,0.01,0.0,01 to 02,0.002916666666666667,0.004643056214875366,Monday
2016-11-03,18,431,0.06,0.01,0.0,01 to 02,0.0025,0.004423258684646913,Thursday
2016-12-03,22,431,0.02,0.01,0.0,01 to 02,0.0008333333333333334,0.0028232985128663988,Saturday
