Date,ZeroHours,CompleteBlackoutDays,UnitsConsumed,MaxConsumption,MinConsumption,MaxHour,MeanConsumption,StdDev,DayOfTheWeek
2016-01-02,14,471,0.1,0.01,0.0,00 to 01,0.004166666666666667,0.00503610155185335,Saturday
2016-02-02,13,471,0.11,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040514,Tuesday
2016-03-02,13,471,0.11,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040514,Wednesday
2016-04-02,19,471,0.05,0.01,0.0,01 to 02,0.0020833333333333333,0.004148511169990534,Saturday
2016-05-02,18,471,0.06,0.01,0.0,01 to 02,0.0025,0.004423258684646913,Monday
2016-06-02,16,471,0.08,0.01,0.0,01 to 02,0.0033333333333333335,0.004815434123430768,Thursday
2016-07-02,20,471,0.04,0.01,0.0,02 to 03,0.0016666666666666668,0.0038069349381344045,Saturday
2016-08-02,19,471,0.05,0.01,0.0,01 to 02,0.0020833333333333333,0.004148511169990534,Tuesday
2016-09-02,20,471,0.04,0.01,0.0,01 to 02,0.0016666666666666668,0.0038069349381344058,Friday
2016-10-02,18,471,0.06,0.01,0.0,01 to 02,0.0025,0.004423258684646914,Sunday
2016-11-02,18,471,0.06,0.01,0.0,01 to 02,0.0025,0.004423258684646914,Wednesday
2016-12-02,18,471,0.06,0.01,0.0,00 to 01,0.0025,0.004423258684646916,Friday
2016-02-13,22,471,0.02,0.01,0.0,01 to 02,0.0008333333333333334,0.0028232985128663988,Saturday
2016-02-14,22,471,0.02,0.01,0.0,02 to 03,0.0008333333333333334,0.0028232985128663988,Sunday
2016-02-15,22,471,0.02,0.01,0.0,20 to 21,0.0008333333333333334,0.0028232985128663996,Monday
2016-02-16,20,471,0.04,0.01,0.0,01 to 02,0.0016666666666666668,0.0038069349381344045,Tuesday
2016-02-17,21,471,0.03,0.01,0.0,02 to 03,0.00125,0.0033783196234608804,Wednesday
2016-02-18,20,471,0.04,0.01,0.0,00 to 01,0.0016666666666666668,0.0038069349381344058,Thursday
2016-02-19,20,471,0.04,0.01,0.0,02 to 03,0.0016666666666666668,0.0038069349381344058,Friday
2016-02-20,17,471,0.07,0.01,0.0,01 to 02,0.002916666666666667,0.004643056214875366,Saturday
2016-02-21,21,471,0.03,0.01,0.0,03 to 04,0.00125,0.0033783196234608817,Sunday
2016-02-22,19,471,0.05,0.01,0.0,02 to 03,0.0020833333333333333,0.004148511169990534,Monday
