Date,ZeroHours,CompleteBlackoutDays,UnitsConsumed,MaxConsumption,MinConsumption,MaxHour,MeanConsumption,StdDev,DayOfTheWeek
2016-01-02,20,543,0.04,0.01,0.0,18 to 19,0.0016666666666666668,0.0038069349381344053,Saturday
2016-02-02,19,543,0.05,0.01,0.0,18 to 19,0.0020833333333333333,0.004148511169990534,Tuesday
2016-03-02,18,543,0.06,0.01,0.0,18 to 19,0.0025,0.004423258684646914,Wednesday
2016-04-02,22,543,0.02,0.01,0.0,02 to 03,0.0008333333333333334,0.0028232985128663988,Saturday
2016-05-02,21,543,0.03,0.01,0.0,20 to 21,0.00125,0.0033783196234608813,Monday
2016-06-02,16,543,0.08,0.01,0.0,03 to 04,0.0033333333333333335,0.004815434123430768,Thursday
2016-07-02,17,543,0.07,0.01,0.0,02 to 03,0.002916666666666667,0.004643056214875366,Saturday
2016-08-02,17,543,0.07,0.01,0.0,01 to 02,0.002916666666666667,0.004643056214875366,Tuesday
2016-09-02,18,543,0.06,0.01,0.0,01 to 02,0.0025,0.004423258684646913,Friday
2016-10-02,19,543,0.05,0.01,0.0,18 to 19,0.0020833333333333333,0.004148511169990534,Sunday
2016-11-02,16,543,0.08,0.01,0.0,01 to 02,0.0033333333333333335,0.004815434123430769,Wednesday
2016-12-02,17,543,0.07,0.01,0.0,01 to 02,0.002916666666666667,0.004643056214875366,Friday
2016-02-13,16,543,0.08,0.01,0.0,02 to 03,0.0033333333333333335,0.004815434123430768,Saturday
2016-02-14,22,543,0.02,0.01,0.0,02 to 03,0.0008333333333333334,0.0028232985128663988,Sunday
2016-02-15,19,543,0.05,0.01,0.0,18 to 19,0.0020833333333333333,0.004148511169990534,Monday
2016-02-16,16,543,0.08,0.01,0.0,01 to 02,0.0033333333333333335,0.004815434123430768,Tuesday
2016-02-17,18,543,0.06,0.01,0.0,02 to 03,0.0025,0.004423258684646914,Wednesday
2016-02-18,17,543,0.07,0.01,0.0,01 to 02,0.002916666666666667,0.004643056214875366,Thursday
2016-02-19,19,543,0.05,0.01,0.0,02 to 03,0.0020833333333333333,0.004148511169990534,Friday
2016-02-20,19,543,0.05,0.01,0.0,03 to 04,0.0020833333333333333,0.004148511169990534,Saturday
2016-02-21,21,543,0.03,0.01,0.0,20 to 21,0.00125,0.0033783196234608813,Sunday
2016-02-22,17,543,0.07,0.01,0.0,03 to 04,0.002916666666666667,0.004643056214875366,Monday
2016-02-23,17,543,0.07,0.01,0.0,02 to 03,0.002916666666666667,0.004643056214875366,Tuesday
