Date,ZeroHours,CompleteBlackoutDays,UnitsConsumed,MaxConsumption,MinConsumption,MaxHour,MeanConsumption,StdDev,DayOfTheWeek
2016-01-02,14,660,0.18,0.04,0.0,18 to 19,0.007500000000000001,0.012247448713915893,Saturday
2016-02-02,14,660,0.11,0.02,0.0,20 to 21,0.004583333333333333,0.005882299658752715,Tuesday
2016-03-02,15,660,0.11,0.02,0.0,20 to 21,0.004583333333333333,0.006580053301400785,Wednesday
2016-04-02,16,660,0.08,0.01,0.0,01 to 02,0.0033333333333333335,0.004815434123430768,Saturday
2016-05-02,18,660,0.06,0.01,0.0,01 to 02,0.0025,0.004423258684646914,Monday
2016-06-02,20,660,0.04,0.01,0.0,19 to 20,0.0016666666666666668,0.0038069349381344053,Thursday
2016-07-02,18,660,0.06,0.01,0.0,00 to 01,0.0025,0.004423258684646914,Saturday
2016-09-02,18,660,0.31,0.07,0.0,18 to 19,0.012916666666666668,0.023861769799640064,Friday
2016-10-02,17,660,0.43,0.08,0.0,14 to 15,0.017916666666666668,0.029188914909999454,Sunday
2016-11-02,17,660,0.33999999999999997,0.07,0.0,20 to 21,0.014166666666666668,0.024657068246098392,Wednesday
2016-12-02,16,660,0.33999999999999997,0.06,0.0,18 to 19,0.014166666666666668,0.022825741888351035,Friday
2016-02-13,18,660,0.48,0.13,0.0,20 to 21,0.019999999999999997,0.03978201472590565,Saturday
2016-02-15,18,660,0.3,0.06,0.0,19 to 20,0.012499999999999999,0.022506037837221254,Monday
2016-02-16,19,660,0.26,0.06,0.0,19 to 20,0.010833333333333334,0.021652726842366646,Tuesday
2016-02-17,18,660,0.28,0.06,0.0,20 to 21,0.011666666666666667,0.02160246899469287,Wednesday
2016-02-18,18,660,0.3,0.06,0.0,19 to 20,0.012499999999999999,0.022506037837221254,Thursday
2016-02-19,17,660,0.37,0.06,0.0,19 to 20,0.015416666666666667,0.02484371439474251,Friday
2016-02-20,14,660,0.46,0.06,0.0,20 to 21,0.019166666666666665,0.025007245326916352,Saturday
2016-02-21,17,660,0.32999999999999996,0.06,0.0,18 to 19,0.013749999999999998,0.022995746298524147,Sunday
2016-02-22,17,660,0.33,0.07,0.0,20 to 21,0.01375,0.023922428988203775,Monday
2016-02-23,18,660,0.31000000000000005,0.06,0.0,19 to 20,0.012916666666666667,0.022932636069615923,Tuesday
2016-02-24,18,660,0.31000000000000005,0.07,0.0,20 to 21,0.012916666666666667,0.02422344654087937,Wednesday
2016-02-25,18,660,0.31,0.06,0.0,18 to 19,0.012916666666666667,0.0231214499821132,Thursday
2016-02-26,18,660,0.12,0.04,0.0,17 to 18,0.004999999999999999,0.011420804814403215,Friday
2016-02-27,16,660,0.33999999999999997,0.07,0.0,21 to 22,0.014166666666666668,0.023759056244371083,Saturday
2016-02-28,14,660,0.39,0.06,0.0,20 to 21,0.016249999999999997,0.023556130929077167,Sunday
2016-02-29,19,660,0.34,0.13,0.0,18 to 19,0.014166666666666666,0.03229169588591478,Monday
2016-01-03,17,660,0.38,0.07,0.0,19 to 20,0.015833333333333335,0.025693285650851116,Sunday
