Date,ZeroHours,CompleteBlackoutDays,UnitsConsumed,MaxConsumption,MinConsumption,MaxHour,MeanConsumption,StdDev,DayOfTheWeek
2016-01-02,18,450,0.060000000000000005,0.01,0.0,00 to 01,0.0025,0.004423258684646916,Saturday
2016-02-02,20,450,0.04,0.01,0.0,18 to 19,0.0016666666666666668,0.0038069349381344053,Tuesday
2016-03-02,19,450,0.05,0.01,0.0,01 to 02,0.0020833333333333333,0.004148511169990534,Wednesday
2016-04-02,22,450,0.02,0.01,0.0,02 to 03,0.0008333333333333334,0.0028232985128663988,Saturday
2016-05-02,18,450,0.06,0.01,0.0,18 to 19,0.0025,0.004423258684646914,Monday
2016-06-02,18,450,0.06,0.01,0.0,02 to 03,0.0025,0.004423258684646913,Thursday
2016-07-02,21,450,0.03,0.01,0.0,04 to 05,0.00125,0.0033783196234608817,Saturday
2016-08-02,17,450,0.07,0.01,0.0,01 to 02,0.002916666666666667,0.004643056214875366,Tuesday
2016-09-02,17,450,0.07,0.01,0.0,01 to 02,0.002916666666666667,0.004643056214875366,Friday
2016-10-02,12,450,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Sunday
2016-11-02,12,450,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Wednesday
2016-12-02,15,450,0.09,0.01,0.0,00 to 01,0.00375,0.004945353550468404,Friday
2016-02-13,19,450,0.05,0.01,0.0,01 to 02,0.0020833333333333333,0.004148511169990534,Saturday
2016-02-14,21,450,0.03,0.01,0.0,01 to 02,0.00125,0.0033783196234608804,Sunday
2016-02-16,20,450,0.04,0.01,0.0,20 to 21,0.0016666666666666668,0.0038069349381344053,Tuesday
2016-02-17,13,450,0.11000000000000001,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040515,Wednesday
2016-02-18,17,450,0.07,0.01,0.0,03 to 04,0.002916666666666667,0.004643056214875366,Thursday
2016-02-19,17,450,0.07,0.01,0.0,02 to 03,0.002916666666666667,0.004643056214875366,Friday
2016-02-20,18,450,0.06,0.01,0.0,02 to 03,0.0025,0.004423258684646914,Saturday
2016-02-21,20,450,0.04,0.01,0.0,02 to 03,0.0016666666666666668,0.0038069349381344045,Sunday
2016-02-22,18,450,0.06,0.01,0.0,01 to 02,0.0025,0.004423258684646914,Monday
2016-02-23,22,450,0.02,0.01,0.0,18 to 19,0.0008333333333333334,0.0028232985128663996,Tuesday
2016-02-24,18,450,0.06,0.01,0.0,01 to 02,0.0025,0.004423258684646913,Wednesday
2016-02-25,21,450,0.03,0.01,0.0,04 to 05,0.00125,0.0033783196234608817,Thursday
