Date,ZeroHours,CompleteBlackoutDays,UnitsConsumed,MaxConsumption,MinConsumption,MaxHour,MeanConsumption,StdDev,DayOfTheWeek
2016-01-02,15,552,0.27,0.08,0.0,18 to 19,0.011250000000000001,0.021123343773510692,Saturday
2016-02-02,20,552,0.11,0.06,0.0,18 to 19,0.004583333333333333,0.013180739131701643,Tuesday
2016-03-02,18,552,0.08,0.02,0.0,17 to 18,0.0033333333333333335,0.006370220572706061,Wednesday
2016-04-02,18,552,0.37,0.1,0.0,17 to 18,0.015416666666666669,0.02977877368729009,Saturday
2016-05-02,17,552,0.4,0.08,0.0,18 to 19,0.016666666666666666,0.028232985128663998,Monday
2016-06-02,17,552,0.36,0.07,0.0,18 to 19,0.015000000000000001,0.025366873297069256,Thursday
2016-11-02,18,552,0.37,0.08,0.0,18 to 19,0.015416666666666667,0.028126912173322496,Wednesday
2016-12-02,18,552,0.32999999999999996,0.09,0.0,19 to 20,0.01375,0.02667232729774927,Friday
2016-02-13,17,552,0.41000000000000003,0.07,0.0,19 to 20,0.017083333333333336,0.027580580229522027,Saturday
2016-02-15,18,552,0.28,0.07,0.0,21 to 22,0.011666666666666667,0.023713262967793157,Monday
2016-02-16,15,552,0.39,0.08,0.0,21 to 22,0.01625,0.026508817236993956,Tuesday
2016-02-17,19,552,0.29000000000000004,0.08,0.0,18 to 19,0.012083333333333333,0.025191297093944215,Wednesday
2016-02-18,17,552,0.38,0.08,0.0,18 to 19,0.015833333333333335,0.02764946208560283,Thursday
2016-02-19,14,552,0.42000000000000004,0.08,0.0,20 to 21,0.017499999999999998,0.026251293963966967,Friday
2016-02-20,18,552,0.29000000000000004,0.07,0.0,20 to 21,0.012083333333333335,0.022837643727287034,Saturday
2016-02-21,17,552,0.34,0.08,0.0,20 to 21,0.014166666666666666,0.025352586124267593,Sunday
2016-02-22,12,552,0.37,0.07,0.0,21 to 22,0.015416666666666669,0.023215281074376825,Monday
2016-02-23,15,552,0.38999999999999996,0.08,0.0,20 to 21,0.01625,0.02601212092049798,Tuesday
2016-02-24,19,552,0.12,0.07,0.0,20 to 21,0.005,0.014744195615489713,Wednesday
2016-02-25,14,552,0.25,0.06,0.0,18 to 19,0.010416666666666666,0.017810394294555533,Thursday
2016-02-26,14,552,0.15000000000000002,0.04,0.0,18 to 19,0.006250000000000001,0.010134958870382646,Friday
2016-02-27,15,552,0.19,0.06,0.0,18 to 19,0.007916666666666667,0.014135729219948651,Saturday
2016-02-28,12,552,0.43000000000000005,0.08,0.0,22 to 23,0.017916666666666668,0.026039963712434923,Sunday
2016-02-29,12,552,0.43,0.08,0.0,19 to 20,0.017916666666666668,0.025534148774204096,Monday
2016-01-03,15,552,0.36,0.08,0.0,19 to 20,0.015,0.02502172968684897,Sunday
2016-02-03,12,552,0.41,0.08,0.0,20 to 21,0.017083333333333336,0.02561914478881262,Wednesday
2016-03-03,15,552,0.42000000000000004,0.08,0.0,21 to 22,0.017499999999999998,0.026905632188786437,Thursday
2016-04-03,16,552,0.37,0.08,0.0,21 to 22,0.015416666666666667,0.026206399262753373,Sunday
2016-05-03,18,552,0.24,0.06,0.0,19 to 20,0.01,0.021058923544891014,Tuesday
2016-06-03,16,552,0.31,0.08,0.0,21 to 22,0.012916666666666667,0.024579802006254377,Friday
2016-07-03,16,552,0.26,0.08,0.0,20 to 21,0.010833333333333332,0.022441550490235676,Sunday
2016-08-03,12,552,0.39,0.08,0.0,20 to 21,0.01625,0.02498912807080572,Wednesday
2016-09-03,13,552,0.41,0.08,0.0,21 to 22,0.017083333333333332,0.02628922190567452,Saturday
2016-10-03,16,552,0.33999999999999997,0.08,0.0,21 to 22,0.014166666666666668,0.025693285650851112,Monday
2016-11-03,14,552,0.31999999999999995,0.08,0.0,20 to 21,0.01333333333333333,0.023156681196967132,Thursday
2016-03-13,18,552,0.44,0.12,0.0,17 to 18,0.018333333333333333,0.03434690881182084,Sunday
2016-03-15,23,552,0.01,0.01,0.0,17 to 18,0.0004166666666666667,0.0020412414523193153,Tuesday
2016-03-16,17,552,0.38999999999999996,0.09,0.0,20 to 21,0.01625,0.028713350931911977,Wednesday
2016-03-17,16,552,0.35,0.08,0.0,21 to 22,0.014583333333333332,0.025191297093944215,Thursday
2016-03-18,15,552,0.49,0.13,0.0,17 to 18,0.02041666666666667,0.03507497146382882,Friday
2016-03-19,16,552,0.37,0.09,0.0,20 to 21,0.015416666666666667,0.02702320527229155,Saturday
2016-03-20,15,552,0.25,0.06,0.0,20 to 21,0.010416666666666666,0.018052861188782496,Sunday
2016-03-21,14,552,0.2,0.04,0.0,18 to 19,0.008333333333333333,0.012740441145412123,Monday
2016-03-22,18,552,0.10999999999999999,0.04,0.0,18 to 19,0.004583333333333333,0.009770927002733857,Tuesday
2016-03-23,16,552,0.14,0.03,0.0,18 to 19,0.005833333333333334,0.009743076322798876,Wednesday
2016-03-24,16,552,0.13,0.02,0.0,17 to 18,0.005416666666666667,0.008329709356935241,Thursday
2016-03-25,12,552,0.5,0.08,0.0,19 to 20,0.020833333333333332,0.029328227487119503,Friday
2016-03-26,12,552,0.47,0.08,0.0,19 to 20,0.019583333333333335,0.027263475593718334,Saturday
2016-03-27,15,552,0.41000000000000003,0.08,0.0,20 to 21,0.017083333333333332,0.026780779393578823,Sunday
2016-03-28,12,552,0.41000000000000003,0.08,0.0,20 to 21,0.017083333333333332,0.025448868885202577,Monday
2016-03-29,11,552,0.72,0.26,0.0,15 to 16,0.03,0.05571667457850438,Tuesday
