Date,ZeroHours,CompleteBlackoutDays,UnitsConsumed,MaxConsumption,MinConsumption,MaxHour,MeanConsumption,StdDev,DayOfTheWeek
2016-01-02,12,574,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Saturday
2016-02-02,12,574,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Tuesday
2016-03-02,12,574,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Wednesday
2016-04-02,12,574,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Saturday
2016-05-02,12,574,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Monday
2016-06-02,12,574,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Thursday
2016-07-02,12,574,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Saturday
2016-08-02,12,574,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Tuesday
2016-09-02,12,574,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Friday
2016-10-02,12,574,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Sunday
2016-11-02,12,574,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Wednesday
2016-12-02,12,574,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Friday
2016-02-13,13,574,0.11000000000000001,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040515,Saturday
2016-02-14,23,574,0.01,0.01,0.0,04 to 05,0.0004166666666666667,0.002041241452319315,Sunday
2016-02-15,19,574,0.05,0.01,0.0,17 to 18,0.0020833333333333333,0.004148511169990534,Monday
2016-02-16,15,574,0.09,0.01,0.0,01 to 02,0.00375,0.004945353550468404,Tuesday
2016-02-17,12,574,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Wednesday
2016-02-18,13,574,0.11000000000000001,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040515,Thursday
2016-02-19,12,574,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Friday
2016-02-20,12,574,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Saturday
2016-02-21,12,574,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Sunday
2016-02-22,12,574,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Monday
2016-02-23,14,574,0.1,0.01,0.0,00 to 01,0.004166666666666667,0.00503610155185335,Tuesday
2016-02-24,15,574,0.09,0.01,0.0,03 to 04,0.00375,0.004945353550468404,Wednesday
2016-02-25,17,574,0.07,0.01,0.0,03 to 04,0.002916666666666667,0.004643056214875366,Thursday
2016-02-26,15,574,0.09,0.01,0.0,01 to 02,0.00375,0.004945353550468404,Friday
