Date,ZeroHours,CompleteBlackoutDays,UnitsConsumed,MaxConsumption,MinConsumption,MaxHour,MeanConsumption,StdDev,DayOfTheWeek
2016-01-02,18,638,0.060000000000000005,0.01,0.0,00 to 01,0.0025,0.004423258684646916,Saturday
2016-02-02,18,638,0.06,0.01,0.0,18 to 19,0.0025,0.004423258684646914,Tuesday
2016-03-02,15,638,0.09,0.01,0.0,01 to 02,0.00375,0.004945353550468404,Wednesday
2016-04-02,12,638,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Saturday
2016-05-02,12,638,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Monday
2016-06-02,17,638,0.07,0.01,0.0,02 to 03,0.002916666666666667,0.004643056214875366,Thursday
2016-07-02,18,638,0.06,0.01,0.0,03 to 04,0.0025,0.004423258684646913,Saturday
2016-08-02,17,638,0.07,0.01,0.0,00 to 01,0.002916666666666667,0.004643056214875366,Tuesday
2016-09-02,16,638,0.08,0.01,0.0,01 to 02,0.0033333333333333335,0.004815434123430768,Friday
2016-10-02,12,638,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Sunday
2016-11-02,13,638,0.11000000000000001,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040515,Wednesday
2016-12-02,17,638,0.07,0.01,0.0,01 to 02,0.002916666666666667,0.004643056214875366,Friday
2016-02-13,13,638,0.11000000000000001,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040515,Saturday
2016-02-16,22,638,0.02,0.01,0.0,20 to 21,0.0008333333333333334,0.0028232985128663996,Tuesday
2016-02-17,21,638,0.03,0.01,0.0,19 to 20,0.00125,0.0033783196234608813,Wednesday
2016-02-18,15,638,0.09,0.01,0.0,02 to 03,0.00375,0.004945353550468404,Thursday
2016-02-19,18,638,0.06,0.01,0.0,02 to 03,0.0025,0.004423258684646913,Friday
2016-02-20,23,638,0.01,0.01,0.0,19 to 20,0.0004166666666666667,0.0020412414523193153,Saturday
2016-02-21,19,638,0.05,0.01,0.0,19 to 20,0.0020833333333333333,0.004148511169990534,Sunday
2016-02-22,17,638,0.06999999999999999,0.01,0.0,00 to 01,0.002916666666666667,0.004643056214875366,Monday
2016-02-23,22,638,0.02,0.01,0.0,20 to 21,0.0008333333333333334,0.0028232985128663996,Tuesday
2016-02-24,16,638,0.08,0.01,0.0,01 to 02,0.0033333333333333335,0.004815434123430768,Wednesday
2016-02-25,15,638,0.09,0.01,0.0,00 to 01,0.00375,0.004945353550468405,Thursday
2016-02-26,19,638,0.05,0.01,0.0,01 to 02,0.0020833333333333333,0.004148511169990534,Friday
2016-02-27,21,638,0.03,0.01,0.0,18 to 19,0.00125,0.0033783196234608813,Saturday
2016-02-28,21,638,0.07,0.05,0.0,22 to 23,0.002916666666666667,0.01041702897920627,Sunday
2016-02-29,12,638,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Monday
2016-01-03,13,638,0.11,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040515,Sunday
2016-02-03,14,638,0.1,0.01,0.0,00 to 01,0.004166666666666667,0.00503610155185335,Wednesday
2016-03-03,12,638,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Thursday
2016-04-03,20,638,0.04,0.01,0.0,00 to 01,0.0016666666666666668,0.0038069349381344058,Sunday
2016-05-03,18,638,0.06,0.01,0.0,03 to 04,0.0025,0.004423258684646913,Tuesday
2016-06-03,15,638,0.09,0.01,0.0,00 to 01,0.00375,0.004945353550468405,Friday
2016-07-03,14,638,0.1,0.01,0.0,00 to 01,0.004166666666666667,0.00503610155185335,Sunday
2016-08-03,17,638,0.07,0.01,0.0,01 to 02,0.002916666666666667,0.004643056214875366,Wednesday
2016-09-03,14,638,0.1,0.01,0.0,00 to 01,0.004166666666666667,0.00503610155185335,Saturday
2016-10-03,14,638,0.1,0.01,0.0,00 to 01,0.004166666666666667,0.00503610155185335,Monday
2016-11-03,18,638,0.06,0.01,0.0,02 to 03,0.0025,0.004423258684646913,Thursday
2016-12-03,13,638,0.11,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040514,Saturday
2016-03-13,14,638,0.1,0.01,0.0,00 to 01,0.004166666666666667,0.00503610155185335,Sunday
2016-03-14,17,638,0.07,0.01,0.0,03 to 04,0.002916666666666667,0.004643056214875366,Monday
2016-03-15,12,638,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Tuesday
2016-03-16,14,638,0.1,0.01,0.0,00 to 01,0.004166666666666667,0.00503610155185335,Wednesday
2016-03-17,14,638,0.1,0.01,0.0,00 to 01,0.004166666666666667,0.00503610155185335,Thursday
2016-03-18,13,638,0.11,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040515,Friday
2016-03-19,13,638,0.11,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040514,Saturday
2016-03-20,12,638,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Sunday
2016-03-21,15,638,0.09,0.01,0.0,00 to 01,0.00375,0.004945353550468405,Monday
2016-03-22,17,638,0.07,0.01,0.0,02 to 03,0.002916666666666667,0.004643056214875366,Tuesday
2016-03-23,13,638,0.11000000000000001,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040515,Wednesday
2016-03-24,17,638,0.07,0.01,0.0,01 to 02,0.002916666666666667,0.004643056214875366,Thursday
2016-03-25,13,638,0.11,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040514,Friday
2016-03-26,14,638,0.1,0.01,0.0,00 to 01,0.004166666666666667,0.00503610155185335,Saturday
2016-03-27,17,638,0.07,0.01,0.0,01 to 02,0.002916666666666667,0.004643056214875366,Sunday
2016-03-28,21,638,0.03,0.01,0.0,19 to 20,0.00125,0.0033783196234608813,Monday
2016-03-29,17,638,0.07,0.01,0.0,01 to 02,0.002916666666666667,0.004643056214875366,Tuesday
2016-03-30,18,638,0.06,0.01,0.0,00 to 01,0.0025,0.004423258684646913,Wednesday
2016-03-31,17,638,0.07,0.01,0.0,02 to 03,0.002916666666666667,0.004643056214875366,Thursday
2016-01-04,16,638,0.08,0.01,0.0,02 to 03,0.0033333333333333335,0.004815434123430768,Monday
2016-02-04,15,638,0.09,0.01,0.0,00 to 01,0.00375,0.004945353550468405,Thursday
2016-03-04,17,638,0.07,0.01,0.0,00 to 01,0.002916666666666667,0.004643056214875366,Friday
2016-04-04,20,638,0.04,0.01,0.0,03 to 04,0.0016666666666666668,0.003806934938134405,Monday
2016-05-04,18,638,0.06,0.01,0.0,03 to 04,0.0025,0.004423258684646914,Wednesday
2016-06-04,18,638,0.06,0.01,0.0,03 to 04,0.0025,0.004423258684646913,Saturday
2016-07-04,18,638,0.06,0.01,0.0,03 to 04,0.0025,0.004423258684646913,Monday
2016-08-04,17,638,0.07,0.01,0.0,01 to 02,0.002916666666666667,0.004643056214875366,Thursday
2016-09-04,20,638,0.04,0.01,0.0,01 to 02,0.0016666666666666668,0.0038069349381344058,Sunday
2016-10-04,19,638,0.05,0.01,0.0,19 to 20,0.0020833333333333333,0.004148511169990534,Tuesday
2016-11-04,22,638,0.02,0.01,0.0,01 to 02,0.0008333333333333334,0.0028232985128663988,Friday
2016-12-04,19,638,0.05,0.01,0.0,19 to 20,0.0020833333333333333,0.004148511169990534,Sunday
2016-04-13,13,638,0.11,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040514,Wednesday
2016-04-14,16,638,0.08,0.01,0.0,00 to 01,0.0033333333333333335,0.004815434123430768,Thursday
2016-04-16,19,638,0.05,0.01,0.0,19 to 20,0.0020833333333333333,0.004148511169990534,Saturday
2016-04-17,17,638,0.07,0.01,0.0,01 to 02,0.002916666666666667,0.004643056214875366,Sunday
2016-04-18,12,638,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Monday
2016-04-19,17,638,0.07,0.01,0.0,02 to 03,0.002916666666666667,0.004643056214875366,Tuesday
2016-04-20,19,638,0.05,0.01,0.0,00 to 01,0.0020833333333333333,0.004148511169990532,Wednesday
2016-04-25,19,638,0.05,0.01,0.0,19 to 20,0.0020833333333333333,0.004148511169990534,Monday
2016-04-26,18,638,0.06,0.01,0.0,02 to 03,0.0025,0.004423258684646913,Tuesday
2016-04-27,18,638,0.06,0.01,0.0,01 to 02,0.0025,0.004423258684646913,Wednesday
2016-04-28,16,638,0.08,0.01,0.0,01 to 02,0.0033333333333333335,0.004815434123430768,Thursday
2016-04-29,18,638,0.06,0.01,0.0,01 to 02,0.0025,0.004423258684646913,Friday
2016-04-30,16,638,0.08,0.01,0.0,01 to 02,0.0033333333333333335,0.004815434123430768,Saturday
2016-01-05,19,638,0.05,0.01,0.0,01 to 02,0.0020833333333333333,0.004148511169990534,Tuesday
2016-02-05,21,638,0.03,0.01,0.0,19 to 20,0.00125,0.0033783196234608813,Friday
2016-03-05,21,638,0.03,0.01,0.0,19 to 20,0.00125,0.0033783196234608813,Saturday
2016-04-05,19,638,0.05,0.01,0.0,19 to 20,0.0020833333333333333,0.004148511169990534,Tuesday
2016-05-05,19,638,0.05,0.01,0.0,01 to 02,0.0020833333333333333,0.004148511169990534,Thursday
2016-06-05,19,638,0.05,0.01,0.0,01 to 02,0.0020833333333333333,0.0041485111699905335,Sunday
2016-07-05,22,638,0.02,0.01,0.0,19 to 20,0.0008333333333333334,0.0028232985128663996,Tuesday
2016-08-05,21,638,0.03,0.01,0.0,19 to 20,0.00125,0.0033783196234608813,Friday
2016-09-05,21,638,0.03,0.01,0.0,19 to 20,0.00125,0.0033783196234608813,Monday
2016-10-05,21,638,0.03,0.01,0.0,19 to 20,0.00125,0.0033783196234608813,Wednesday
