Date,ZeroHours,CompleteBlackoutDays,UnitsConsumed,MaxConsumption,MinConsumption,MaxHour,MeanConsumption,StdDev,DayOfTheWeek
2016-03-02,18,467,0.06,0.01,0.0,18 to 19,0.0025,0.004423258684646914,Wednesday
2016-04-02,12,467,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Saturday
2016-05-02,12,467,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Monday
2016-06-02,13,467,0.11000000000000001,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040515,Thursday
2016-07-02,19,467,0.05,0.01,0.0,18 to 19,0.0020833333333333333,0.004148511169990534,Saturday
2016-08-02,18,467,0.06,0.01,0.0,01 to 02,0.0025,0.004423258684646914,Tuesday
2016-09-02,17,467,0.07,0.01,0.0,01 to 02,0.002916666666666667,0.004643056214875366,Friday
2016-10-02,17,467,0.07,0.01,0.0,01 to 02,0.002916666666666667,0.004643056214875366,Sunday
2016-11-02,20,467,0.04,0.01,0.0,18 to 19,0.0016666666666666668,0.0038069349381344053,Wednesday
2016-12-02,20,467,0.04,0.01,0.0,18 to 19,0.0016666666666666668,0.0038069349381344053,Friday
2016-02-13,21,467,0.03,0.01,0.0,19 to 20,0.00125,0.0033783196234608813,Saturday
2016-02-15,22,467,0.02,0.01,0.0,21 to 22,0.0008333333333333334,0.0028232985128663996,Monday
2016-02-21,22,467,0.02,0.01,0.0,18 to 19,0.0008333333333333334,0.0028232985128663996,Sunday
2016-02-23,23,467,0.01,0.01,0.0,23 to 24,0.0004166666666666667,0.0020412414523193153,Tuesday
2016-02-24,17,467,0.07,0.01,0.0,01 to 02,0.002916666666666667,0.004643056214875366,Wednesday
2016-02-25,16,467,0.08,0.01,0.0,02 to 03,0.0033333333333333335,0.004815434123430768,Thursday
2016-02-26,16,467,0.08,0.01,0.0,02 to 03,0.0033333333333333335,0.004815434123430768,Friday
2016-02-27,18,467,0.06,0.01,0.0,01 to 02,0.0025,0.004423258684646914,Saturday
2016-02-28,15,467,0.09,0.01,0.0,01 to 02,0.00375,0.004945353550468404,Sunday
2016-02-29,12,467,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Monday
2016-01-03,12,467,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Sunday
2016-02-03,15,467,0.09,0.01,0.0,00 to 01,0.00375,0.004945353550468404,Wednesday
2016-03-03,20,467,0.08,0.05,0.0,07 to 08,0.0033333333333333335,0.010494995356656042,Thursday
2016-04-03,17,467,0.16,0.1,0.0,17 to 18,0.006666666666666668,0.020359095108162063,Sunday
2016-05-03,13,467,0.12,0.02,0.0,00 to 01,0.004999999999999999,0.005897678246195886,Tuesday
2016-06-03,18,467,0.060000000000000005,0.01,0.0,01 to 02,0.0025,0.004423258684646913,Friday
2016-07-03,19,467,0.05,0.01,0.0,01 to 02,0.0020833333333333333,0.004148511169990534,Sunday
2016-08-03,19,467,0.05,0.01,0.0,03 to 04,0.0020833333333333333,0.004148511169990534,Wednesday
2016-09-03,18,467,0.06,0.01,0.0,01 to 02,0.0025,0.004423258684646914,Saturday
2016-10-03,19,467,0.05,0.01,0.0,00 to 01,0.0020833333333333333,0.0041485111699905335,Monday
2016-11-03,19,467,0.05,0.01,0.0,01 to 02,0.0020833333333333333,0.004148511169990534,Thursday
2016-12-03,21,467,0.03,0.01,0.0,03 to 04,0.00125,0.0033783196234608817,Saturday
2016-03-13,19,467,0.05,0.01,0.0,03 to 04,0.0020833333333333333,0.004148511169990534,Sunday
2016-03-14,18,467,0.06,0.01,0.0,02 to 03,0.0025,0.004423258684646913,Monday
2016-03-15,20,467,0.04,0.01,0.0,03 to 04,0.0016666666666666668,0.0038069349381344045,Tuesday
2016-03-16,19,467,0.05,0.01,0.0,01 to 02,0.0020833333333333333,0.004148511169990534,Wednesday
2016-03-17,20,467,0.04,0.01,0.0,02 to 03,0.0016666666666666668,0.0038069349381344058,Thursday
2016-03-18,18,467,0.06,0.01,0.0,01 to 02,0.0025,0.004423258684646914,Friday
2016-03-19,19,467,0.05,0.01,0.0,00 to 01,0.0020833333333333333,0.004148511169990534,Saturday
2016-03-20,20,467,0.04,0.01,0.0,01 to 02,0.0016666666666666668,0.0038069349381344058,Sunday
2016-03-21,19,467,0.05,0.01,0.0,03 to 04,0.0020833333333333333,0.004148511169990534,Monday
2016-03-22,19,467,0.05,0.01,0.0,02 to 03,0.0020833333333333333,0.004148511169990534,Tuesday
2016-03-23,17,467,0.07,0.01,0.0,01 to 02,0.002916666666666667,0.004643056214875366,Wednesday
2016-03-24,19,467,0.05,0.01,0.0,02 to 03,0.0020833333333333333,0.004148511169990534,Thursday
2016-03-25,20,467,0.04,0.01,0.0,01 to 02,0.0016666666666666668,0.0038069349381344058,Friday
2016-03-26,18,467,0.06,0.01,0.0,02 to 03,0.0025,0.004423258684646913,Saturday
2016-03-27,19,467,0.05,0.01,0.0,01 to 02,0.0020833333333333333,0.0041485111699905335,Sunday
2016-03-28,19,467,0.05,0.01,0.0,02 to 03,0.0020833333333333333,0.004148511169990534,Monday
