Date,ZeroHours,CompleteBlackoutDays,UnitsConsumed,MaxConsumption,MinConsumption,MaxHour,MeanConsumption,StdDev,DayOfTheWeek
2016-01-02,18,564,0.06,0.01,0.0,01 to 02,0.0025,0.004423258684646913,Saturday
2016-02-02,16,564,0.08,0.01,0.0,02 to 03,0.0033333333333333335,0.004815434123430768,Tuesday
2016-03-02,16,564,0.09,0.02,0.0,22 to 23,0.00375,0.005757792451369143,Wednesday
2016-04-02,16,564,0.08,0.01,0.0,02 to 03,0.0033333333333333335,0.004815434123430768,Saturday
2016-05-02,13,564,0.11,0.01,0.0,01 to 02,0.0045833333333333325,0.005089773777040514,Monday
2016-06-02,13,564,0.11000000000000001,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040515,Thursday
2016-07-02,15,564,0.1,0.02,0.0,19 to 20,0.004166666666666666,0.0058359207512176485,Saturday
2016-08-02,14,564,0.1,0.01,0.0,00 to 01,0.004166666666666667,0.00503610155185335,Tuesday
2016-09-02,15,564,0.09,0.01,0.0,01 to 02,0.00375,0.004945353550468404,Friday
2016-10-02,14,564,0.1,0.01,0.0,00 to 01,0.004166666666666667,0.00503610155185335,Sunday
2016-11-02,16,564,0.1,0.02,0.0,19 to 20,0.004166666666666667,0.0065386254815829456,Wednesday
2016-12-02,19,564,0.06,0.02,0.0,22 to 23,0.0025,0.005316095330711949,Friday
2016-02-13,18,564,0.07,0.02,0.0,22 to 23,0.0029166666666666664,0.005500329370901873,Saturday
2016-02-15,18,564,0.21,0.07,0.0,21 to 22,0.00875,0.019406968716999796,Monday
2016-02-16,19,564,0.1,0.04,0.0,01 to 02,0.004166666666666667,0.010179547554081035,Tuesday
2016-02-17,19,564,0.05,0.01,0.0,18 to 19,0.0020833333333333333,0.004148511169990534,Wednesday
2016-02-18,20,564,0.04,0.01,0.0,18 to 19,0.0016666666666666668,0.0038069349381344053,Thursday
2016-02-19,20,564,0.04,0.01,0.0,19 to 20,0.0016666666666666668,0.0038069349381344053,Friday
2016-02-20,18,564,0.11,0.06,0.0,23 to 24,0.004583333333333333,0.012503622663458176,Saturday
2016-02-21,16,564,0.22,0.05,0.0,01 to 02,0.009166666666666668,0.017173454405910418,Sunday
2016-02-22,18,564,0.18,0.07,0.0,21 to 22,0.007500000000000001,0.019615876444748836,Monday
2016-02-23,14,564,0.27,0.06,0.0,21 to 22,0.011250000000000001,0.018489127239730827,Tuesday
2016-02-24,15,564,0.32,0.07,0.0,04 to 05,0.013333333333333336,0.02315668119696714,Wednesday
2016-02-25,18,564,0.07,0.02,0.0,22 to 23,0.0029166666666666664,0.005500329370901873,Thursday
2016-02-26,14,564,0.1,0.01,0.0,00 to 01,0.004166666666666667,0.00503610155185335,Friday
2016-02-27,21,564,0.03,0.01,0.0,18 to 19,0.00125,0.0033783196234608813,Saturday
2016-02-28,20,564,0.11999999999999998,0.09,0.0,22 to 23,0.005,0.01841549442134554,Sunday
2016-02-29,20,564,0.04,0.01,0.0,18 to 19,0.0016666666666666668,0.0038069349381344053,Monday
2016-01-03,17,564,0.14,0.05,0.0,22 to 23,0.005833333333333334,0.01282547284209001,Sunday
2016-02-03,16,564,0.11,0.04,0.0,22 to 23,0.004583333333333334,0.008836272412331318,Wednesday
2016-03-03,20,564,0.04,0.01,0.0,18 to 19,0.0016666666666666668,0.0038069349381344053,Thursday
2016-04-03,19,564,0.07,0.03,0.0,21 to 22,0.002916666666666667,0.006902530516863499,Sunday
2016-05-03,18,564,0.24999999999999997,0.08,0.0,22 to 23,0.010416666666666666,0.02475605620531226,Tuesday
2016-06-03,15,564,0.4,0.11,0.0,01 to 02,0.016666666666666666,0.031300321802299996,Friday
2016-07-03,19,564,0.27,0.06,0.0,01 to 02,0.011250000000000001,0.022710369208033963,Sunday
2016-08-03,21,564,0.04,0.02,0.0,21 to 22,0.0016666666666666668,0.004815434123430768,Wednesday
2016-09-03,18,564,0.23,0.07,0.0,21 to 22,0.009583333333333334,0.021564698743178817,Saturday
2016-10-03,14,564,0.44000000000000006,0.08,0.0,22 to 23,0.018333333333333337,0.027293360662107632,Monday
2016-11-03,12,564,0.52,0.1,0.0,22 to 23,0.021666666666666667,0.031300321802299996,Thursday
2016-12-03,13,564,0.63,0.08,0.0,01 to 02,0.026250000000000006,0.030901315576328237,Saturday
2016-03-13,15,564,0.32,0.06,0.0,00 to 01,0.013333333333333334,0.02258638810293119,Sunday
2016-03-14,18,564,0.16,0.08,0.0,01 to 02,0.006666666666666668,0.01785610763044804,Monday
2016-03-15,22,564,0.03,0.02,0.0,21 to 22,0.00125,0.004484272031464407,Tuesday
2016-03-16,21,564,0.03,0.01,0.0,18 to 19,0.00125,0.0033783196234608813,Wednesday
2016-03-17,18,564,0.15,0.07,0.0,22 to 23,0.006250000000000001,0.01610090464647197,Thursday
2016-03-18,13,564,0.27,0.08,0.0,23 to 24,0.011250000000000001,0.021123343773510696,Friday
2016-03-19,11,564,0.5,0.06,0.0,01 to 02,0.02083333333333334,0.024480101354341664,Saturday
2016-03-20,15,564,0.35000000000000003,0.07,0.0,01 to 02,0.014583333333333335,0.02501810938303391,Sunday
2016-03-21,12,564,0.54,0.09,0.0,03 to 04,0.022500000000000003,0.03260434753619323,Monday
2016-03-22,12,564,0.55,0.07,0.0,01 to 02,0.02291666666666667,0.027894080198940557,Tuesday
2016-03-23,15,564,0.4600000000000001,0.07,0.0,01 to 02,0.01916666666666667,0.028729119701803953,Wednesday
2016-03-24,11,564,0.5,0.09,0.0,03 to 04,0.020833333333333332,0.028880061824976985,Thursday
2016-03-25,15,564,0.35,0.08,0.0,04 to 05,0.014583333333333335,0.02501810938303391,Friday
2016-03-26,17,564,0.28,0.08,0.0,21 to 22,0.011666666666666667,0.02565094568418002,Saturday
2016-03-27,15,564,0.33000000000000007,0.08,0.0,00 to 01,0.01375,0.026996376568459827,Sunday
2016-03-28,14,564,0.25,0.06,0.0,22 to 23,0.010416666666666666,0.018761469921708917,Monday
2016-03-29,14,564,0.44,0.08,0.0,23 to 24,0.018333333333333333,0.027610122067454005,Tuesday
2016-03-30,13,564,0.52,0.08,0.0,02 to 03,0.021666666666666667,0.02823298512866399,Wednesday
2016-03-31,14,564,0.39,0.07,0.0,23 to 24,0.016250000000000004,0.025505753826555882,Thursday
2016-01-04,14,564,0.35,0.06,0.0,01 to 02,0.014583333333333337,0.022259178207938265,Monday
2016-02-04,21,564,0.17,0.08,0.0,22 to 23,0.007083333333333333,0.02255026591314664,Thursday
2016-03-04,16,564,0.53,0.09,0.0,03 to 04,0.022083333333333333,0.03501293756743997,Friday
2016-04-04,14,564,0.52,0.07,0.0,01 to 02,0.021666666666666667,0.030597906530643093,Monday
2016-05-04,14,564,0.6000000000000001,0.1,0.0,01 to 02,0.025000000000000005,0.03464101615137755,Wednesday
2016-06-04,11,564,0.6299999999999999,0.09,0.0,22 to 23,0.026250000000000006,0.03159698664773892,Saturday
2016-07-04,13,564,0.54,0.09,0.0,04 to 05,0.022500000000000003,0.032066506974804995,Monday
2016-08-04,15,564,0.4,0.07,0.0,00 to 01,0.01666666666666667,0.028386565509925223,Thursday
2016-09-04,14,564,0.5700000000000001,0.1,0.0,02 to 03,0.023750000000000004,0.03621343733309862,Sunday
2016-10-04,14,564,0.61,0.12,0.0,04 to 05,0.025416666666666667,0.03999773544314365,Tuesday
2016-11-04,15,564,0.5,0.07,0.0,01 to 02,0.020833333333333332,0.02947610184047655,Friday
2016-12-04,14,564,0.4099999999999999,0.09,0.0,01 to 02,0.017083333333333336,0.02804951625819669,Sunday
2016-04-13,18,564,0.28,0.08,0.0,22 to 23,0.011666666666666667,0.025819888974716113,Wednesday
2016-04-14,11,564,0.72,0.11,0.0,23 to 24,0.030000000000000002,0.036830988842691086,Thursday
2016-04-15,11,564,0.7,0.09,0.0,21 to 22,0.029166666666666664,0.03634576306467679,Friday
2016-04-16,13,564,0.79,0.1,0.0,20 to 21,0.03291666666666667,0.03939533923731573,Saturday
2016-04-17,17,564,0.43,0.1,0.0,01 to 02,0.017916666666666668,0.03296627613666489,Sunday
2016-04-18,23,564,0.02,0.02,0.0,18 to 19,0.0008333333333333334,0.004082482904638631,Monday
2016-04-19,22,564,0.13,0.07,0.0,22 to 23,0.005416666666666667,0.018410575095914816,Tuesday
2016-04-20,18,564,0.36000000000000004,0.09,0.0,01 to 02,0.015000000000000001,0.029488391230979422,Wednesday
2016-04-25,18,564,0.13,0.06,0.0,23 to 24,0.005416666666666667,0.013506573815438318,Monday
2016-04-26,14,564,0.43000000000000005,0.08,0.0,01 to 02,0.017916666666666668,0.026536138880151102,Tuesday
2016-04-27,16,564,0.5700000000000001,0.13,0.0,03 to 04,0.023750000000000004,0.040519721446314945,Wednesday
2016-04-28,16,564,0.44000000000000006,0.09,0.0,23 to 24,0.01833333333333333,0.02987898296777195,Thursday
2016-04-29,16,564,0.6499999999999999,0.12,0.0,04 to 05,0.02708333333333333,0.04237299864881826,Friday
2016-04-30,13,564,0.48000000000000004,0.1,0.0,01 to 02,0.02,0.02978181528616297,Saturday
2016-01-05,15,564,0.5,0.09,0.0,22 to 23,0.020833333333333332,0.031885210782848325,Tuesday
2016-02-05,12,564,0.78,0.11,0.0,04 to 05,0.0325,0.040135639588991134,Friday
2016-03-05,17,564,0.42000000000000004,0.09,0.0,01 to 02,0.0175,0.03339487073345767,Saturday
2016-04-05,15,564,0.36,0.09,0.0,01 to 02,0.015,0.028130132381950973,Tuesday
2016-05-05,15,564,0.51,0.1,0.0,22 to 23,0.02125,0.03517811819867572,Thursday
2016-06-05,17,564,0.46,0.09,0.0,00 to 01,0.019166666666666665,0.03399701606684439,Sunday
2016-07-05,16,564,0.4,0.09,0.0,01 to 02,0.016666666666666666,0.03143892169113707,Tuesday
2016-08-05,17,564,0.37,0.09,0.0,01 to 02,0.015416666666666667,0.03148210902093118,Friday
2016-09-05,14,564,0.59,0.11,0.0,13 to 14,0.024583333333333332,0.03934011855010394,Monday
2016-10-05,19,564,0.2,0.09,0.0,01 to 02,0.008333333333333333,0.0220013174836075,Wednesday
2016-11-05,16,564,0.32000000000000006,0.07,0.0,21 to 22,0.013333333333333334,0.02371326296779315,Saturday
2016-12-05,15,564,0.36,0.08,0.0,23 to 24,0.015000000000000001,0.025021729686848973,Monday
2016-05-13,14,564,0.38,0.08,0.0,01 to 02,0.015833333333333335,0.02569328565085112,Friday
2016-05-14,16,564,0.53,0.12,0.0,01 to 02,0.022083333333333333,0.03682852942638553,Saturday
2016-05-15,13,564,0.55,0.13,0.0,23 to 24,0.02291666666666667,0.036887510159905094,Sunday
2016-05-16,14,564,0.52,0.1,0.0,22 to 23,0.021666666666666667,0.03434690881182084,Monday
2016-05-17,13,564,0.5199999999999999,0.13,0.0,01 to 02,0.021666666666666667,0.03772516939388214,Tuesday
2016-05-18,15,564,0.47,0.13,0.0,23 to 24,0.01958333333333333,0.03653219743288601,Wednesday
2016-05-19,13,564,0.53,0.09,0.0,01 to 02,0.022083333333333333,0.03513689584006194,Thursday
2016-05-20,19,564,0.35000000000000003,0.13,0.0,01 to 02,0.014583333333333335,0.034132627087349376,Friday
2016-05-21,15,564,0.6300000000000001,0.11,0.0,01 to 02,0.026249999999999996,0.0369267783122457,Saturday
2016-05-22,17,564,0.44,0.11,0.0,01 to 02,0.01833333333333333,0.03595488316193513,Sunday
2016-05-23,12,564,0.76,0.13,0.0,23 to 24,0.03166666666666667,0.04208342301611911,Monday
2016-05-24,14,564,0.58,0.1,0.0,01 to 02,0.024166666666666666,0.03598510158707188,Tuesday
2016-05-25,17,564,0.33999999999999997,0.09,0.0,01 to 02,0.014166666666666666,0.025352586124267593,Wednesday
2016-05-26,23,564,0.01,0.01,0.0,20 to 21,0.0004166666666666667,0.0020412414523193153,Thursday
2016-05-27,20,564,0.29000000000000004,0.09,0.0,21 to 22,0.012083333333333335,0.03035717330408898,Friday
2016-05-28,16,564,0.39,0.11,0.0,23 to 24,0.01625,0.02886437551572948,Saturday
2016-05-29,12,564,0.7,0.09,0.0,21 to 22,0.029166666666666664,0.036105722377564986,Sunday
2016-05-30,13,564,0.6399999999999999,0.12,0.0,01 to 02,0.02666666666666666,0.03941602704999321,Monday
2016-05-31,14,564,0.48,0.11,0.0,23 to 24,0.02,0.03489113503954587,Tuesday
2016-01-06,21,564,0.16,0.09,0.0,01 to 02,0.006666666666666667,0.021602468994692862,Wednesday
2017-04-26,21,564,0.13999999999999999,0.08,0.0,22 to 23,0.005833333333333334,0.01815792237365102,Wednesday
2017-04-27,18,564,0.21,0.07,0.0,22 to 23,0.00875,0.020707591550590498,Thursday
2017-04-28,11,564,0.6100000000000001,0.11,0.0,23 to 24,0.02541666666666667,0.0341326270873494,Friday
2017-04-29,11,564,0.5900000000000001,0.09,0.0,22 to 23,0.024583333333333336,0.033748322556274093,Saturday
2017-04-30,16,564,0.5,0.11,0.0,01 to 02,0.020833333333333332,0.0358640751178386,Sunday
2017-01-05,15,564,0.49,0.08,0.0,00 to 01,0.02041666666666667,0.03276784832817027,Thursday
2017-02-05,19,564,0.32,0.1,0.0,02 to 03,0.013333333333333334,0.03031238327334464,Sunday
2017-03-05,19,564,0.22,0.1,0.0,23 to 24,0.009166666666666667,0.025523504370723052,Sunday
2017-04-05,13,564,0.54,0.1,0.0,23 to 24,0.022500000000000006,0.03429412422736202,Wednesday
2017-05-05,15,564,0.51,0.1,0.0,22 to 23,0.02125,0.03404760094977005,Friday
2017-06-05,10,564,0.54,0.08,0.0,02 to 03,0.022500000000000006,0.03039593794371644,Monday
2017-07-05,13,564,0.6000000000000001,0.08,0.0,01 to 02,0.025000000000000005,0.0318965719842717,Wednesday
2017-08-05,15,564,0.57,0.11,0.0,23 to 24,0.023750000000000004,0.03797167136283253,Saturday
2017-09-05,11,564,0.54,0.08,0.0,01 to 02,0.022500000000000006,0.030962810792528397,Tuesday
2017-10-05,12,564,0.5700000000000001,0.07,0.0,00 to 01,0.023750000000000004,0.029900196305884596,Thursday
2017-11-05,12,564,0.6200000000000001,0.1,0.0,03 to 04,0.025833333333333337,0.0321567717753896,Sunday
2017-12-05,12,564,0.47000000000000003,0.1,0.0,02 to 03,0.019583333333333338,0.033163516710079326,Tuesday
2017-05-13,11,564,0.54,0.09,0.0,23 to 24,0.022500000000000003,0.030962810792528397,Saturday
2017-05-14,17,564,0.44,0.09,0.0,00 to 01,0.018333333333333333,0.03497411050758976,Sunday
2017-05-18,18,564,0.25,0.05,0.0,14 to 15,0.010416666666666666,0.019886453039512947,Thursday
2017-05-19,16,564,0.34,0.08,0.0,23 to 24,0.014166666666666668,0.0248327740429189,Friday
2017-05-20,16,564,0.42000000000000004,0.08,0.0,01 to 02,0.0175,0.029377601642422577,Saturday
2017-05-21,15,564,0.42000000000000004,0.08,0.0,22 to 23,0.017500000000000005,0.029229228968396633,Sunday
2017-05-22,12,564,0.6,0.11,0.0,01 to 02,0.024999999999999998,0.03611575592573076,Monday
2017-05-23,10,564,0.6000000000000001,0.1,0.0,02 to 03,0.024999999999999998,0.033362306249131966,Tuesday
2017-05-24,14,564,0.54,0.11,0.0,03 to 04,0.022500000000000003,0.036385615887026844,Wednesday
2017-05-25,8,564,0.6500000000000001,0.07,0.0,01 to 02,0.027083333333333338,0.028964621098200458,Thursday
2017-05-26,13,564,0.5900000000000001,0.07,0.0,00 to 01,0.024583333333333336,0.031757117198411185,Friday
2017-05-27,16,564,0.3,0.08,0.0,23 to 24,0.012500000000000002,0.02307831656885255,Saturday
2017-05-28,16,564,0.53,0.08,0.0,00 to 01,0.022083333333333333,0.03513689584006194,Sunday
2017-05-29,15,564,0.51,0.11,0.0,03 to 04,0.02125,0.03591203019941197,Monday
2017-05-30,14,564,0.5499999999999999,0.11,0.0,02 to 03,0.02291666666666667,0.03827579172119183,Tuesday
2017-05-31,13,564,0.72,0.09,0.0,01 to 02,0.03,0.038448158207711566,Wednesday
2017-01-06,11,564,0.6799999999999999,0.12,0.0,01 to 02,0.028333333333333332,0.03726131770484572,Friday
2017-02-06,18,564,0.37,0.11,0.0,02 to 03,0.015416666666666667,0.031893732063330814,Monday
2017-03-06,15,564,0.41,0.1,0.0,23 to 24,0.017083333333333336,0.03085437981264878,Monday
2017-04-06,14,564,0.5800000000000001,0.08,0.0,01 to 02,0.02416666666666667,0.03202127915684474,Thursday
2017-05-06,15,564,0.42,0.1,0.0,02 to 03,0.017500000000000005,0.03179417502023589,Saturday
2017-06-06,20,564,0.21,0.08,0.0,22 to 23,0.00875,0.023463662933584553,Tuesday
2017-07-06,14,564,0.5599999999999999,0.11,0.0,02 to 03,0.023333333333333334,0.0360756049895538,Thursday
2017-08-06,15,564,0.46,0.08,0.0,01 to 02,0.01916666666666667,0.03020461621308422,Sunday
2017-09-06,16,564,0.43000000000000005,0.09,0.0,22 to 23,0.017916666666666668,0.030213611482915778,Wednesday
2017-10-06,11,564,0.55,0.07,0.0,01 to 02,0.02291666666666667,0.0292632974852484,Friday
2017-11-06,20,564,0.29000000000000004,0.1,0.0,03 to 04,0.012083333333333335,0.028586887639747274,Monday
2017-12-06,20,564,0.08,0.05,0.0,23 to 24,0.0033333333333333335,0.010494995356656043,Wednesday
2017-06-13,19,564,0.29000000000000004,0.09,0.0,01 to 02,0.012083333333333335,0.027183621454146222,Tuesday
2017-06-15,20,564,0.17,0.06,0.0,12 to 13,0.007083333333333334,0.018052861188782496,Thursday
2017-06-16,19,564,0.15000000000000002,0.06,0.0,23 to 24,0.0062499999999999995,0.015269321331121546,Friday
2017-06-17,18,564,0.29,0.08,0.0,22 to 23,0.012083333333333335,0.02519129709394421,Saturday
2017-06-18,18,564,0.34,0.08,0.0,01 to 02,0.01416666666666667,0.028729119701803942,Sunday
