Date,ZeroHours,CompleteBlackoutDays,UnitsConsumed,MaxConsumption,MinConsumption,MaxHour,MeanConsumption,StdDev,DayOfTheWeek
2016-01-02,13,491,0.12000000000000001,0.02,0.0,23 to 24,0.005,0.005897678246195885,Saturday
2016-02-02,16,491,0.12999999999999998,0.06,0.0,10 to 11,0.005416666666666666,0.012503622663458178,Tuesday
2016-03-02,12,491,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Wednesday
2016-04-02,16,491,0.11,0.04,0.0,23 to 24,0.004583333333333334,0.00883627241233132,Saturday
2016-05-02,16,491,0.12,0.04,0.0,10 to 11,0.005,0.009325048082403139,Monday
2016-06-02,16,491,0.13,0.05,0.0,03 to 04,0.005416666666666666,0.011025333147551273,Thursday
2016-07-02,15,491,0.11,0.03,0.0,00 to 01,0.0045833333333333325,0.007210600087592462,Saturday
2016-08-02,14,491,0.13,0.02,0.0,00 to 01,0.005416666666666666,0.0072106000875924595,Tuesday
2016-09-02,16,491,0.09,0.02,0.0,19 to 20,0.0037500000000000003,0.005757792451369143,Friday
2016-10-02,18,491,0.13999999999999999,0.09,0.0,11 to 12,0.005833333333333333,0.018395809226599665,Sunday
2016-11-02,15,491,0.15000000000000002,0.05,0.0,12 to 13,0.0062499999999999995,0.011726039399558578,Wednesday
2016-12-02,12,491,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Friday
2016-02-13,14,491,0.12,0.02,0.0,21 to 22,0.005,0.00659380473395787,Saturday
2016-02-14,21,491,0.06,0.02,0.0,00 to 01,0.0025,0.006756639246921761,Sunday
2016-02-16,22,491,0.04,0.03,0.0,21 to 22,0.0016666666666666668,0.006370220572706061,Tuesday
2016-02-17,20,491,0.12,0.08,0.0,10 to 11,0.005,0.01668115312456598,Wednesday
2016-02-18,17,491,0.14,0.05,0.0,01 to 02,0.005833333333333333,0.012825472842090012,Thursday
2016-02-19,23,491,0.1,0.1,0.0,19 to 20,0.004166666666666667,0.02041241452319315,Friday
2016-02-20,23,491,0.1,0.1,0.0,14 to 15,0.004166666666666667,0.020412414523193145,Saturday
2016-02-21,21,491,0.13,0.1,0.0,17 to 18,0.005416666666666667,0.020637485241701548,Sunday
2016-02-22,23,491,0.11,0.11,0.0,19 to 20,0.004583333333333333,0.02245365597551247,Monday
2016-01-03,17,491,0.07,0.01,0.0,17 to 18,0.002916666666666667,0.004643056214875366,Sunday
2016-02-03,12,491,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Wednesday
2016-03-03,12,491,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Thursday
2016-04-03,12,491,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Sunday
2016-05-03,12,491,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Tuesday
2016-06-03,12,491,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Friday
2016-07-03,12,491,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Sunday
2016-08-03,12,491,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Wednesday
2016-09-03,12,491,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Saturday
2016-10-03,12,491,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Monday
2016-11-03,13,491,0.11,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040514,Thursday
2016-12-03,13,491,0.11,0.01,0.0,01 to 02,0.0045833333333333325,0.005089773777040514,Saturday
2016-03-13,12,491,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Sunday
2016-03-14,12,491,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Monday
2016-03-15,18,491,0.060000000000000005,0.01,0.0,00 to 01,0.0025,0.004423258684646916,Tuesday
2016-03-16,18,491,0.06,0.01,0.0,18 to 19,0.0025,0.004423258684646914,Wednesday
2016-03-17,13,491,0.11,0.01,0.0,01 to 02,0.0045833333333333325,0.005089773777040514,Thursday
2016-03-18,12,491,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Friday
2016-03-19,12,491,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Saturday
2016-03-20,12,491,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Sunday
2016-03-21,12,491,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Monday
2016-03-22,14,491,0.1,0.01,0.0,00 to 01,0.004166666666666667,0.00503610155185335,Tuesday
2016-03-23,17,491,0.07,0.01,0.0,02 to 03,0.002916666666666667,0.004643056214875366,Wednesday
2016-03-24,12,491,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Thursday
2016-03-25,12,491,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Friday
2016-03-26,12,491,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Saturday
2016-03-27,12,491,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Sunday
2016-03-28,12,491,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Monday
2016-03-29,12,491,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Tuesday
2016-03-30,12,491,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Wednesday
2016-03-31,12,491,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Thursday
2016-01-04,12,491,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Monday
2016-02-04,13,491,0.11000000000000001,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040515,Thursday
2016-03-04,17,491,0.07,0.01,0.0,01 to 02,0.002916666666666667,0.004643056214875366,Friday
2016-04-04,17,491,0.08,0.02,0.0,19 to 20,0.0033333333333333335,0.005646597025732798,Monday
2016-05-04,17,491,0.07,0.01,0.0,03 to 04,0.002916666666666667,0.004643056214875366,Wednesday
2016-06-04,16,491,0.09,0.02,0.0,18 to 19,0.00375,0.005757792451369143,Saturday
2016-07-04,17,491,0.07,0.01,0.0,02 to 03,0.002916666666666667,0.004643056214875366,Monday
2016-08-04,17,491,0.07,0.01,0.0,02 to 03,0.002916666666666667,0.004643056214875366,Thursday
2016-09-04,15,491,0.1,0.02,0.0,19 to 20,0.004166666666666667,0.0058359207512176485,Sunday
2016-10-04,16,491,0.08,0.01,0.0,01 to 02,0.0033333333333333335,0.004815434123430769,Tuesday
2016-11-04,15,491,0.09,0.01,0.0,01 to 02,0.00375,0.004945353550468404,Friday
2016-12-04,15,491,0.09,0.01,0.0,02 to 03,0.00375,0.004945353550468404,Sunday
2016-04-13,19,491,0.05,0.01,0.0,00 to 01,0.0020833333333333333,0.004148511169990532,Wednesday
2016-04-25,18,491,0.06,0.01,0.0,18 to 19,0.0025,0.004423258684646914,Monday
2016-04-26,13,491,0.11000000000000001,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040515,Tuesday
2016-04-27,22,491,0.02,0.01,0.0,00 to 01,0.0008333333333333334,0.0028232985128663988,Wednesday
2016-04-29,19,491,0.05,0.01,0.0,18 to 19,0.0020833333333333333,0.004148511169990534,Friday
2016-04-30,13,491,0.11000000000000001,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040515,Saturday
2016-01-05,14,491,0.11,0.02,0.0,20 to 21,0.0045833333333333325,0.005882299658752714,Tuesday
2016-02-05,13,491,0.11,0.01,0.0,02 to 03,0.0045833333333333325,0.005089773777040515,Friday
2016-03-05,12,491,0.12000000000000001,0.01,0.0,02 to 03,0.004999999999999999,0.0051075391845524926,Saturday
2016-04-05,7,491,0.17,0.01,0.0,01 to 02,0.007083333333333334,0.004643056214875366,Tuesday
2016-11-05,17,491,0.07,0.01,0.0,00 to 01,0.002916666666666667,0.004643056214875366,Saturday
2017-03-20,18,491,68.62,68.43,0.0,17 to 18,2.8591666666666673,13.966540113915947,Monday
2017-03-21,12,491,0.6,0.08,0.0,14 to 15,0.025000000000000005,0.02992744850322265,Tuesday
2017-03-22,15,491,0.33,0.07,0.0,14 to 15,0.01375,0.02122600947566145,Wednesday
2017-03-23,12,491,0.12,0.01,0.0,12 to 13,0.004999999999999999,0.0051075391845524926,Thursday
2017-03-24,8,491,0.16,0.01,0.0,00 to 01,0.006666666666666667,0.004815434123430769,Friday
2017-03-25,8,491,0.53,0.07,0.0,20 to 21,0.022083333333333333,0.02501810938303391,Saturday
2017-03-26,12,491,0.5900000000000001,0.08,0.0,19 to 20,0.024583333333333336,0.029485319363558103,Sunday
2017-03-28,19,491,0.51,0.38,0.0,20 to 21,0.02125,0.07775728681078006,Tuesday
2017-03-29,13,491,0.5,0.06,0.0,15 to 16,0.020833333333333332,0.025007245326916356,Wednesday
2017-03-30,13,491,0.52,0.07,0.0,13 to 14,0.021666666666666667,0.025137304111042105,Thursday
2017-03-31,14,491,0.49,0.07,0.0,21 to 22,0.020416666666666666,0.025956345737756906,Friday
2017-01-04,11,491,0.63,0.07,0.0,19 to 20,0.026250000000000006,0.026834841077453285,Wednesday
