Date,ZeroHours,CompleteBlackoutDays,UnitsConsumed,MaxConsumption,MinConsumption,MaxHour,MeanConsumption,StdDev,DayOfTheWeek
2016-01-02,18,598,0.06,0.01,0.0,02 to 03,0.0025,0.004423258684646913,Saturday
2016-02-02,15,598,0.09,0.01,0.0,02 to 03,0.00375,0.004945353550468404,Tuesday
2016-03-02,19,598,0.05,0.01,0.0,02 to 03,0.0020833333333333333,0.004148511169990534,Wednesday
2016-04-02,22,598,0.02,0.01,0.0,01 to 02,0.0008333333333333334,0.0028232985128663988,Saturday
2016-05-02,23,598,0.01,0.01,0.0,20 to 21,0.0004166666666666667,0.0020412414523193153,Monday
2016-07-02,20,598,0.04,0.01,0.0,19 to 20,0.0016666666666666668,0.0038069349381344053,Saturday
2016-08-02,18,598,0.06,0.01,0.0,02 to 03,0.0025,0.004423258684646913,Tuesday
2016-09-02,19,598,0.34,0.22,0.0,18 to 19,0.014166666666666668,0.046896432298404546,Friday
2016-11-02,22,598,0.02,0.01,0.0,21 to 22,0.0008333333333333334,0.0028232985128663996,Wednesday
2016-12-02,21,598,0.03,0.01,0.0,03 to 04,0.00125,0.0033783196234608817,Friday
2016-02-13,23,598,0.01,0.01,0.0,04 to 05,0.0004166666666666667,0.002041241452319315,Saturday
2016-02-14,23,598,0.01,0.01,0.0,00 to 01,0.0004166666666666667,0.002041241452319315,Sunday
2016-02-15,23,598,0.01,0.01,0.0,20 to 21,0.0004166666666666667,0.0020412414523193153,Monday
2016-02-16,22,598,0.02,0.01,0.0,19 to 20,0.0008333333333333334,0.0028232985128663996,Tuesday
2016-02-17,23,598,0.01,0.01,0.0,21 to 22,0.0004166666666666667,0.0020412414523193153,Wednesday
2016-02-19,23,598,0.01,0.01,0.0,21 to 22,0.0004166666666666667,0.0020412414523193153,Friday
2016-02-20,21,598,0.03,0.01,0.0,02 to 03,0.00125,0.0033783196234608804,Saturday
2016-02-21,21,598,0.03,0.01,0.0,02 to 03,0.00125,0.0033783196234608804,Sunday
2016-02-22,21,598,0.03,0.01,0.0,04 to 05,0.00125,0.0033783196234608817,Monday
2016-02-23,18,598,0.06,0.01,0.0,03 to 04,0.0025,0.004423258684646914,Tuesday
