Date,ZeroHours,CompleteBlackoutDays,UnitsConsumed,MaxConsumption,MinConsumption,MaxHour,MeanConsumption,StdDev,DayOfTheWeek
2016-01-02,20,499,0.04,0.01,0.0,02 to 03,0.0016666666666666668,0.0038069349381344045,Saturday
2016-02-02,18,499,0.06,0.01,0.0,02 to 03,0.0025,0.004423258684646913,Tuesday
2016-03-02,17,499,0.07,0.01,0.0,00 to 01,0.002916666666666667,0.004643056214875366,Wednesday
2016-04-02,18,499,0.06,0.01,0.0,02 to 03,0.0025,0.004423258684646913,Saturday
2016-05-02,20,499,0.04,0.01,0.0,03 to 04,0.0016666666666666668,0.0038069349381344045,Monday
2016-06-02,18,499,0.06,0.01,0.0,01 to 02,0.0025,0.004423258684646914,Thursday
2016-07-02,17,499,0.07,0.01,0.0,00 to 01,0.002916666666666667,0.004643056214875366,Saturday
2016-08-02,22,499,0.02,0.01,0.0,01 to 02,0.0008333333333333334,0.0028232985128663988,Tuesday
2016-10-02,22,499,0.02,0.01,0.0,18 to 19,0.0008333333333333334,0.0028232985128663996,Sunday
2016-02-17,23,499,0.01,0.01,0.0,18 to 19,0.0004166666666666667,0.0020412414523193153,Wednesday
2016-02-19,23,499,0.01,0.01,0.0,21 to 22,0.0004166666666666667,0.0020412414523193153,Friday
2016-02-20,22,499,0.02,0.01,0.0,20 to 21,0.0008333333333333334,0.0028232985128663996,Saturday
2016-02-21,23,499,0.01,0.01,0.0,21 to 22,0.0004166666666666667,0.0020412414523193153,Sunday
2016-02-22,21,499,0.03,0.01,0.0,18 to 19,0.00125,0.0033783196234608813,Monday
2016-02-23,21,499,0.03,0.01,0.0,19 to 20,0.00125,0.0033783196234608813,Tuesday
2016-02-24,23,499,0.01,0.01,0.0,21 to 22,0.0004166666666666667,0.0020412414523193153,Wednesday
2016-02-25,21,499,0.03,0.01,0.0,18 to 19,0.00125,0.0033783196234608813,Thursday
2016-02-26,19,499,0.05,0.01,0.0,01 to 02,0.0020833333333333333,0.004148511169990534,Friday
2016-02-27,21,499,0.03,0.01,0.0,18 to 19,0.00125,0.0033783196234608813,Saturday
2016-02-28,20,499,0.05,0.02,0.0,22 to 23,0.0020833333333333333,0.005089773777040516,Sunday
2016-02-29,21,499,0.03,0.01,0.0,01 to 02,0.00125,0.0033783196234608817,Monday
2016-01-03,15,499,0.09,0.01,0.0,01 to 02,0.00375,0.004945353550468404,Sunday
2016-02-03,17,499,0.07,0.01,0.0,01 to 02,0.002916666666666667,0.004643056214875366,Wednesday
2016-03-03,17,499,0.07,0.01,0.0,01 to 02,0.002916666666666667,0.004643056214875366,Thursday
2016-04-03,22,499,0.02,0.01,0.0,20 to 21,0.0008333333333333334,0.0028232985128663996,Sunday
2016-05-03,22,499,0.02,0.01,0.0,22 to 23,0.0008333333333333334,0.0028232985128663996,Tuesday
2016-06-03,21,499,0.03,0.01,0.0,01 to 02,0.00125,0.0033783196234608817,Friday
2016-08-03,23,499,0.01,0.01,0.0,20 to 21,0.0004166666666666667,0.0020412414523193153,Wednesday
2016-09-03,23,499,0.01,0.01,0.0,19 to 20,0.0004166666666666667,0.0020412414523193153,Saturday
