Date,ZeroHours,CompleteBlackoutDays,UnitsConsumed,MaxConsumption,MinConsumption,MaxHour,MeanConsumption,StdDev,DayOfTheWeek
2016-01-02,16,585,0.08,0.01,0.0,01 to 02,0.0033333333333333335,0.004815434123430768,Saturday
2016-02-02,17,585,0.07,0.01,0.0,02 to 03,0.002916666666666667,0.004643056214875366,Tuesday
2016-03-02,20,585,0.04,0.01,0.0,02 to 03,0.0016666666666666668,0.0038069349381344045,Wednesday
2016-04-02,22,585,0.02,0.01,0.0,21 to 22,0.0008333333333333334,0.0028232985128663996,Saturday
2016-05-02,18,585,0.06,0.01,0.0,02 to 03,0.0025,0.004423258684646913,Monday
2016-06-02,19,585,0.05,0.01,0.0,01 to 02,0.0020833333333333333,0.0041485111699905335,Thursday
2016-07-02,23,585,0.01,0.01,0.0,19 to 20,0.0004166666666666667,0.0020412414523193153,Saturday
2016-09-02,22,585,0.02,0.01,0.0,18 to 19,0.0008333333333333334,0.0028232985128663996,Friday
2016-10-02,20,585,0.04,0.01,0.0,18 to 19,0.0016666666666666668,0.0038069349381344053,Sunday
2016-11-02,23,585,0.01,0.01,0.0,18 to 19,0.0004166666666666667,0.0020412414523193153,Wednesday
2016-12-02,20,585,0.04,0.01,0.0,18 to 19,0.0016666666666666668,0.0038069349381344053,Friday
2016-02-13,22,585,0.02,0.01,0.0,18 to 19,0.0008333333333333334,0.0028232985128663996,Saturday
2016-02-15,20,585,0.04,0.01,0.0,19 to 20,0.0016666666666666668,0.0038069349381344053,Monday
2016-02-16,20,585,0.04,0.01,0.0,01 to 02,0.0016666666666666668,0.0038069349381344053,Tuesday
2016-02-17,23,585,0.01,0.01,0.0,20 to 21,0.0004166666666666667,0.0020412414523193153,Wednesday
2016-02-18,22,585,0.02,0.01,0.0,18 to 19,0.0008333333333333334,0.0028232985128663996,Thursday
2016-02-19,23,585,0.01,0.01,0.0,19 to 20,0.0004166666666666667,0.0020412414523193153,Friday
2016-02-20,21,585,0.03,0.01,0.0,20 to 21,0.00125,0.0033783196234608813,Saturday
2016-02-21,17,585,0.07,0.01,0.0,01 to 02,0.002916666666666667,0.004643056214875366,Sunday
2016-02-22,22,585,0.02,0.01,0.0,18 to 19,0.0008333333333333334,0.0028232985128663996,Monday
2016-02-23,22,585,0.02,0.01,0.0,18 to 19,0.0008333333333333334,0.0028232985128663996,Tuesday
2016-02-24,23,585,0.01,0.01,0.0,19 to 20,0.0004166666666666667,0.0020412414523193153,Wednesday
2016-02-25,21,585,0.03,0.01,0.0,17 to 18,0.00125,0.0033783196234608813,Thursday
2016-02-26,23,585,0.01,0.01,0.0,18 to 19,0.0004166666666666667,0.0020412414523193153,Friday
2016-02-27,22,585,0.02,0.01,0.0,18 to 19,0.0008333333333333334,0.0028232985128663996,Saturday
2016-02-28,22,585,0.02,0.01,0.0,18 to 19,0.0008333333333333334,0.0028232985128663996,Sunday
2016-02-29,23,585,0.02,0.02,0.0,18 to 19,0.0008333333333333334,0.004082482904638631,Monday
2016-01-03,22,585,0.02,0.01,0.0,19 to 20,0.0008333333333333334,0.0028232985128663996,Sunday
2016-02-03,23,585,0.01,0.01,0.0,19 to 20,0.0004166666666666667,0.0020412414523193153,Wednesday
2016-04-03,22,585,0.02,0.01,0.0,18 to 19,0.0008333333333333334,0.0028232985128663996,Sunday
