Date,ZeroHours,CompleteBlackoutDays,UnitsConsumed,MaxConsumption,MinConsumption,MaxHour,MeanConsumption,StdDev,DayOfTheWeek
2016-01-02,20,527,0.04,0.01,0.0,17 to 18,0.0016666666666666668,0.003806934938134405,Saturday
2016-02-02,19,527,0.05,0.01,0.0,17 to 18,0.0020833333333333333,0.004148511169990534,Tuesday
2016-03-02,20,527,0.04,0.01,0.0,17 to 18,0.0016666666666666668,0.003806934938134405,Wednesday
2016-04-02,19,527,0.05,0.01,0.0,17 to 18,0.0020833333333333333,0.004148511169990534,Saturday
2016-05-02,21,527,0.03,0.01,0.0,17 to 18,0.00125,0.0033783196234608813,Monday
2016-06-02,21,527,0.03,0.01,0.0,18 to 19,0.00125,0.0033783196234608813,Thursday
2016-07-02,21,527,0.03,0.01,0.0,17 to 18,0.00125,0.0033783196234608813,Saturday
2016-08-02,19,527,0.05,0.01,0.0,17 to 18,0.0020833333333333333,0.004148511169990534,Tuesday
2016-09-02,20,527,0.04,0.01,0.0,17 to 18,0.0016666666666666668,0.003806934938134405,Friday
2016-10-02,19,527,0.05,0.01,0.0,17 to 18,0.0020833333333333333,0.004148511169990534,Sunday
2016-11-02,21,527,0.03,0.01,0.0,17 to 18,0.00125,0.0033783196234608813,Wednesday
2016-12-02,20,527,0.04,0.01,0.0,17 to 18,0.0016666666666666668,0.003806934938134405,Friday
2016-02-13,20,527,0.04,0.01,0.0,17 to 18,0.0016666666666666668,0.003806934938134405,Saturday
2016-02-15,21,527,0.03,0.01,0.0,18 to 19,0.00125,0.0033783196234608813,Monday
2016-02-16,20,527,0.04,0.01,0.0,17 to 18,0.0016666666666666668,0.003806934938134405,Tuesday
2016-02-17,20,527,0.04,0.01,0.0,17 to 18,0.0016666666666666668,0.003806934938134405,Wednesday
2016-02-18,20,527,0.04,0.01,0.0,17 to 18,0.0016666666666666668,0.003806934938134405,Thursday
2016-02-19,21,527,0.03,0.01,0.0,17 to 18,0.00125,0.0033783196234608813,Friday
2016-02-20,22,527,0.02,0.01,0.0,18 to 19,0.0008333333333333334,0.0028232985128663996,Saturday
2016-02-21,21,527,0.03,0.01,0.0,17 to 18,0.00125,0.0033783196234608813,Sunday
2016-02-22,20,527,0.04,0.01,0.0,17 to 18,0.0016666666666666668,0.003806934938134405,Monday
2016-02-24,19,527,0.05,0.01,0.0,17 to 18,0.0020833333333333333,0.004148511169990534,Wednesday
2016-02-25,20,527,0.04,0.01,0.0,18 to 19,0.0016666666666666668,0.0038069349381344053,Thursday
2016-02-26,19,527,0.05,0.01,0.0,17 to 18,0.0020833333333333333,0.004148511169990534,Friday
2016-02-27,21,527,0.03,0.01,0.0,18 to 19,0.00125,0.0033783196234608813,Saturday
2016-02-28,21,527,0.05,0.03,0.0,22 to 23,0.0020833333333333333,0.006580053301400785,Sunday
