Date,ZeroHours,CompleteBlackoutDays,UnitsConsumed,MaxConsumption,MinConsumption,MaxHour,MeanConsumption,StdDev,DayOfTheWeek
2016-01-02,13,467,0.11000000000000001,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040515,Saturday
2016-02-02,18,467,0.06,0.01,0.0,18 to 19,0.0025,0.004423258684646914,Tuesday
2016-03-02,15,467,0.09000000000000001,0.01,0.0,00 to 01,0.00375,0.004945353550468404,Wednesday
2016-04-02,21,467,0.03,0.01,0.0,02 to 03,0.00125,0.0033783196234608804,Saturday
2016-05-02,20,467,0.04,0.01,0.0,18 to 19,0.0016666666666666668,0.0038069349381344053,Monday
2016-07-02,20,467,0.04,0.01,0.0,18 to 19,0.0016666666666666668,0.0038069349381344053,Saturday
2016-08-02,20,467,0.04,0.01,0.0,18 to 19,0.0016666666666666668,0.0038069349381344053,Tuesday
2016-09-02,19,467,0.47000000000000003,0.11,0.0,18 to 19,0.01958333333333333,0.04101740528399967,Friday
2016-10-02,18,467,0.56,0.14,0.0,21 to 22,0.023333333333333334,0.045364865419096685,Sunday
2016-11-02,18,467,0.06,0.01,0.0,17 to 18,0.0025,0.004423258684646914,Wednesday
2016-12-02,14,467,0.1,0.01,0.0,01 to 02,0.004166666666666667,0.00503610155185335,Friday
2016-02-13,18,467,0.06,0.01,0.0,02 to 03,0.0025,0.004423258684646913,Saturday
2016-02-15,19,467,0.05,0.01,0.0,18 to 19,0.0020833333333333333,0.004148511169990534,Monday
2016-02-16,20,467,0.04,0.01,0.0,18 to 19,0.0016666666666666668,0.0038069349381344053,Tuesday
2016-02-17,20,467,0.04,0.01,0.0,18 to 19,0.0016666666666666668,0.0038069349381344053,Wednesday
2016-02-18,21,467,0.03,0.01,0.0,19 to 20,0.00125,0.0033783196234608813,Thursday
2016-02-19,23,467,0.01,0.01,0.0,20 to 21,0.0004166666666666667,0.0020412414523193153,Friday
2016-02-20,23,467,0.01,0.01,0.0,18 to 19,0.0004166666666666667,0.0020412414523193153,Saturday
2016-02-21,21,467,0.03,0.01,0.0,18 to 19,0.00125,0.0033783196234608813,Sunday
2016-02-22,21,467,0.03,0.01,0.0,18 to 19,0.00125,0.0033783196234608813,Monday
2016-02-23,19,467,0.05,0.01,0.0,18 to 19,0.0020833333333333333,0.004148511169990534,Tuesday
2016-02-24,20,467,0.04,0.01,0.0,04 to 05,0.0016666666666666668,0.0038069349381344045,Wednesday
2016-02-25,19,467,0.05,0.01,0.0,18 to 19,0.0020833333333333333,0.004148511169990534,Thursday
2016-02-26,18,467,0.06,0.01,0.0,03 to 04,0.0025,0.004423258684646914,Friday
