Date,ZeroHours,CompleteBlackoutDays,UnitsConsumed,MaxConsumption,MinConsumption,MaxHour,MeanConsumption,StdDev,DayOfTheWeek
2016-01-02,13,449,0.11,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040515,Saturday
2016-02-02,13,449,0.11,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040515,Tuesday
2016-03-02,13,449,0.11,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040515,Wednesday
2016-04-02,15,449,0.09,0.01,0.0,00 to 01,0.00375,0.004945353550468405,Saturday
2016-05-02,13,449,0.11,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040514,Monday
2016-06-02,12,449,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Thursday
2016-07-02,19,449,0.05,0.01,0.0,00 to 01,0.0020833333333333333,0.004148511169990532,Saturday
2016-11-02,18,449,0.06,0.01,0.0,18 to 19,0.0025,0.004423258684646914,Wednesday
2016-12-02,18,449,0.06,0.01,0.0,02 to 03,0.0025,0.004423258684646913,Friday
2016-02-13,18,449,0.06,0.01,0.0,03 to 04,0.0025,0.004423258684646913,Saturday
2016-02-14,19,449,0.05,0.01,0.0,00 to 01,0.0020833333333333333,0.004148511169990532,Sunday
2016-02-15,18,449,0.06,0.01,0.0,17 to 18,0.0025,0.004423258684646914,Monday
2016-02-16,19,449,0.05,0.01,0.0,01 to 02,0.0020833333333333333,0.004148511169990534,Tuesday
2016-02-17,18,449,0.06,0.01,0.0,01 to 02,0.0025,0.004423258684646913,Wednesday
2016-02-18,18,449,0.06,0.01,0.0,18 to 19,0.0025,0.004423258684646914,Thursday
2016-02-19,20,449,0.04,0.01,0.0,04 to 05,0.0016666666666666668,0.0038069349381344045,Friday
2016-02-20,21,449,0.03,0.01,0.0,19 to 20,0.00125,0.0033783196234608813,Saturday
2016-02-21,17,449,0.07,0.01,0.0,03 to 04,0.002916666666666667,0.004643056214875366,Sunday
2016-02-22,21,449,0.03,0.01,0.0,03 to 04,0.00125,0.0033783196234608804,Monday
2016-02-23,18,449,0.06,0.01,0.0,01 to 02,0.0025,0.004423258684646914,Tuesday
2016-02-24,21,449,0.03,0.01,0.0,02 to 03,0.00125,0.0033783196234608804,Wednesday
2016-02-25,20,449,0.04,0.01,0.0,19 to 20,0.0016666666666666668,0.0038069349381344053,Thursday
2016-02-26,17,449,0.07,0.01,0.0,02 to 03,0.002916666666666667,0.004643056214875366,Friday
2016-02-27,15,449,0.09,0.01,0.0,00 to 01,0.00375,0.004945353550468404,Saturday
2016-02-28,17,449,0.07,0.01,0.0,01 to 02,0.002916666666666667,0.004643056214875366,Sunday
2016-02-29,21,449,0.03,0.01,0.0,02 to 03,0.00125,0.0033783196234608817,Monday
2016-01-03,17,449,0.07,0.01,0.0,03 to 04,0.002916666666666667,0.004643056214875366,Sunday
2016-02-03,15,449,0.09,0.01,0.0,00 to 01,0.00375,0.004945353550468405,Wednesday
2016-03-03,20,449,0.04,0.01,0.0,04 to 05,0.0016666666666666668,0.0038069349381344045,Thursday
2016-04-03,20,449,0.04,0.01,0.0,01 to 02,0.0016666666666666668,0.0038069349381344045,Sunday
2016-05-03,18,449,0.06,0.01,0.0,01 to 02,0.0025,0.004423258684646913,Tuesday
2016-06-03,17,449,0.07,0.01,0.0,00 to 01,0.002916666666666667,0.004643056214875366,Friday
2016-07-03,18,449,0.06,0.01,0.0,01 to 02,0.0025,0.004423258684646913,Sunday
2016-08-03,20,449,0.04,0.01,0.0,00 to 01,0.0016666666666666668,0.0038069349381344058,Wednesday
2016-09-03,20,449,0.04,0.01,0.0,20 to 21,0.0016666666666666668,0.0038069349381344053,Saturday
2016-10-03,13,449,0.11,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040515,Monday
2016-11-03,13,449,0.11,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040514,Thursday
2016-12-03,19,449,0.05,0.01,0.0,00 to 01,0.0020833333333333333,0.004148511169990532,Saturday
2016-03-13,20,449,0.04,0.01,0.0,20 to 21,0.0016666666666666668,0.0038069349381344053,Sunday
2016-03-14,19,449,0.05,0.01,0.0,00 to 01,0.0020833333333333333,0.004148511169990532,Monday
2016-03-16,19,449,0.05,0.01,0.0,19 to 20,0.0020833333333333333,0.004148511169990534,Wednesday
2016-03-17,19,449,0.05,0.01,0.0,00 to 01,0.0020833333333333333,0.004148511169990534,Thursday
2016-03-18,20,449,0.04,0.01,0.0,01 to 02,0.0016666666666666668,0.0038069349381344045,Friday
2016-03-19,16,449,0.08,0.01,0.0,02 to 03,0.0033333333333333335,0.004815434123430769,Saturday
2016-03-20,21,449,0.03,0.01,0.0,04 to 05,0.00125,0.0033783196234608817,Sunday
2016-03-21,21,449,0.03,0.01,0.0,01 to 02,0.00125,0.0033783196234608817,Monday
2016-03-22,20,449,0.04,0.01,0.0,01 to 02,0.0016666666666666668,0.0038069349381344045,Tuesday
2016-03-23,20,449,0.04,0.01,0.0,02 to 03,0.0016666666666666668,0.003806934938134405,Wednesday
2016-03-24,19,449,0.05,0.01,0.0,02 to 03,0.0020833333333333333,0.004148511169990534,Thursday
2016-03-25,19,449,0.05,0.01,0.0,03 to 04,0.0020833333333333333,0.004148511169990534,Friday
2016-03-26,21,449,0.03,0.01,0.0,03 to 04,0.00125,0.0033783196234608817,Saturday
2016-03-27,19,449,0.05,0.01,0.0,04 to 05,0.0020833333333333333,0.004148511169990534,Sunday
2016-03-28,20,449,0.04,0.01,0.0,04 to 05,0.0016666666666666668,0.0038069349381344045,Monday
2016-03-29,20,449,0.04,0.01,0.0,01 to 02,0.0016666666666666668,0.0038069349381344045,Tuesday
2016-03-30,19,449,0.05,0.01,0.0,01 to 02,0.0020833333333333333,0.0041485111699905335,Wednesday
2016-03-31,21,449,0.03,0.01,0.0,02 to 03,0.00125,0.0033783196234608804,Thursday
2016-01-04,18,449,0.06,0.01,0.0,01 to 02,0.0025,0.004423258684646913,Monday
2016-02-04,18,449,0.06,0.01,0.0,01 to 02,0.0025,0.004423258684646913,Thursday
2016-03-04,19,449,0.05,0.01,0.0,04 to 05,0.0020833333333333333,0.004148511169990534,Friday
2016-04-04,19,449,0.05,0.01,0.0,01 to 02,0.0020833333333333333,0.004148511169990534,Monday
2016-05-04,19,449,0.05,0.01,0.0,01 to 02,0.0020833333333333333,0.004148511169990534,Wednesday
2016-06-04,17,449,0.07,0.01,0.0,02 to 03,0.002916666666666667,0.004643056214875366,Saturday
2016-07-04,19,449,0.05,0.01,0.0,02 to 03,0.0020833333333333333,0.004148511169990534,Monday
2016-08-04,20,449,0.04,0.01,0.0,03 to 04,0.0016666666666666668,0.0038069349381344045,Thursday
2016-09-04,18,449,0.06,0.01,0.0,03 to 04,0.0025,0.004423258684646913,Sunday
2016-10-04,14,449,0.1,0.01,0.0,00 to 01,0.004166666666666667,0.00503610155185335,Tuesday
2016-11-04,18,449,0.06,0.01,0.0,01 to 02,0.0025,0.004423258684646913,Friday
2016-12-04,22,449,0.02,0.01,0.0,02 to 03,0.0008333333333333334,0.0028232985128663988,Sunday
2016-04-13,20,449,0.04,0.01,0.0,19 to 20,0.0016666666666666668,0.0038069349381344053,Wednesday
2016-04-14,19,449,0.05,0.01,0.0,02 to 03,0.0020833333333333333,0.004148511169990534,Thursday
