Date,ZeroHours,CompleteBlackoutDays,UnitsConsumed,MaxConsumption,MinConsumption,MaxHour,MeanConsumption,StdDev,DayOfTheWeek
2016-01-02,22,562,0.02,0.01,0.0,02 to 03,0.0008333333333333334,0.0028232985128663988,Saturday
2016-02-02,19,562,0.05,0.01,0.0,18 to 19,0.0020833333333333333,0.004148511169990534,Tuesday
2016-03-02,15,562,0.09,0.01,0.0,00 to 01,0.00375,0.004945353550468404,Wednesday
2016-04-02,17,562,0.07,0.01,0.0,02 to 03,0.002916666666666667,0.004643056214875366,Saturday
2016-05-02,20,562,0.04,0.01,0.0,02 to 03,0.0016666666666666668,0.0038069349381344045,Monday
2016-06-02,20,562,0.04,0.01,0.0,18 to 19,0.0016666666666666668,0.0038069349381344053,Thursday
2016-07-02,20,562,0.04,0.01,0.0,01 to 02,0.0016666666666666668,0.0038069349381344058,Saturday
2016-08-02,19,562,0.05,0.01,0.0,18 to 19,0.0020833333333333333,0.004148511169990534,Tuesday
2016-09-02,17,562,0.07,0.01,0.0,01 to 02,0.002916666666666667,0.004643056214875366,Friday
2016-10-02,16,562,0.08,0.01,0.0,02 to 03,0.0033333333333333335,0.004815434123430769,Sunday
2016-11-02,20,562,0.04,0.01,0.0,04 to 05,0.0016666666666666668,0.0038069349381344045,Wednesday
2016-12-02,19,562,0.05,0.01,0.0,18 to 19,0.0020833333333333333,0.004148511169990534,Friday
2016-02-13,17,562,0.07,0.01,0.0,01 to 02,0.002916666666666667,0.004643056214875366,Saturday
2016-02-14,23,562,0.01,0.01,0.0,04 to 05,0.0004166666666666667,0.002041241452319315,Sunday
2016-02-16,19,562,0.05,0.01,0.0,18 to 19,0.0020833333333333333,0.004148511169990534,Tuesday
2016-02-17,19,562,0.05,0.01,0.0,03 to 04,0.0020833333333333333,0.004148511169990534,Wednesday
2016-02-18,18,562,0.06,0.01,0.0,02 to 03,0.0025,0.004423258684646913,Thursday
2016-02-19,17,562,0.07,0.01,0.0,02 to 03,0.002916666666666667,0.004643056214875366,Friday
2016-02-20,19,562,0.05,0.01,0.0,02 to 03,0.0020833333333333333,0.004148511169990534,Saturday
2016-02-21,17,562,0.07,0.01,0.0,02 to 03,0.002916666666666667,0.004643056214875366,Sunday
2016-02-22,17,562,0.07,0.01,0.0,01 to 02,0.002916666666666667,0.004643056214875366,Monday
2016-02-23,16,562,0.08,0.01,0.0,01 to 02,0.0033333333333333335,0.004815434123430769,Tuesday
2016-02-24,19,562,0.05,0.01,0.0,01 to 02,0.0020833333333333333,0.004148511169990534,Wednesday
2016-02-25,17,562,0.07,0.01,0.0,04 to 05,0.002916666666666667,0.004643056214875366,Thursday
2016-02-26,20,562,0.04,0.01,0.0,01 to 02,0.0016666666666666668,0.0038069349381344045,Friday
2016-02-27,21,562,0.03,0.01,0.0,19 to 20,0.00125,0.0033783196234608813,Saturday
2016-02-28,22,562,0.02,0.01,0.0,02 to 03,0.0008333333333333334,0.0028232985128663988,Sunday
2016-02-29,18,562,0.06,0.01,0.0,02 to 03,0.0025,0.004423258684646914,Monday
2016-01-03,19,562,0.05,0.01,0.0,02 to 03,0.0020833333333333333,0.004148511169990534,Sunday
2016-02-03,17,562,0.07,0.01,0.0,03 to 04,0.002916666666666667,0.004643056214875366,Wednesday
2016-03-03,18,562,0.06,0.01,0.0,03 to 04,0.0025,0.004423258684646913,Thursday
2016-04-03,18,562,0.06,0.01,0.0,00 to 01,0.0025,0.004423258684646913,Sunday
2016-05-03,17,562,0.07,0.01,0.0,00 to 01,0.002916666666666667,0.004643056214875366,Tuesday
2016-06-03,20,562,0.04,0.01,0.0,03 to 04,0.0016666666666666668,0.0038069349381344045,Friday
2016-07-03,18,562,0.06,0.01,0.0,03 to 04,0.0025,0.004423258684646914,Sunday
2016-08-03,17,562,0.07,0.01,0.0,01 to 02,0.002916666666666667,0.004643056214875366,Wednesday
2016-09-03,18,562,0.06,0.01,0.0,01 to 02,0.0025,0.004423258684646913,Saturday
2016-10-03,15,562,0.09,0.01,0.0,01 to 02,0.00375,0.004945353550468404,Monday
2016-11-03,16,562,0.08,0.01,0.0,02 to 03,0.0033333333333333335,0.004815434123430768,Thursday
2016-12-03,15,562,0.31,0.11,0.0,17 to 18,0.012916666666666668,0.03071314216177295,Saturday
