Date,ZeroHours,CompleteBlackoutDays,UnitsConsumed,MaxConsumption,MinConsumption,MaxHour,MeanConsumption,StdDev,DayOfTheWeek
2016-01-02,15,393,0.09,0.01,0.0,01 to 02,0.00375,0.004945353550468404,Saturday
2016-02-02,13,393,0.11,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040514,Tuesday
2016-03-02,14,393,0.1,0.01,0.0,00 to 01,0.004166666666666667,0.00503610155185335,Wednesday
2016-04-02,12,393,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Saturday
2016-05-02,12,393,0.14,0.02,0.0,17 to 18,0.005833333333333334,0.0065386254815829456,Monday
2016-06-02,12,393,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Thursday
2016-07-02,19,393,0.05,0.01,0.0,00 to 01,0.0020833333333333333,0.004148511169990532,Saturday
2016-11-02,19,393,0.060000000000000005,0.02,0.0,22 to 23,0.0025,0.00531609533071195,Wednesday
2016-12-02,13,393,0.11,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040514,Friday
2016-02-13,12,393,0.13,0.02,0.0,23 to 24,0.005416666666666666,0.005882299658752716,Saturday
2016-02-14,19,393,0.05,0.01,0.0,00 to 01,0.0020833333333333333,0.004148511169990532,Sunday
2016-02-15,17,393,0.09,0.02,0.0,17 to 18,0.00375,0.006468989572333266,Monday
2016-02-16,12,393,0.13,0.02,0.0,21 to 22,0.005416666666666667,0.005882299658752716,Tuesday
2016-02-17,18,393,0.06,0.01,0.0,00 to 01,0.0025,0.004423258684646916,Wednesday
2016-02-18,18,393,0.07,0.02,0.0,21 to 22,0.0029166666666666664,0.005500329370901873,Thursday
2016-02-19,15,393,0.12,0.02,0.0,02 to 03,0.005,0.007223151185146151,Friday
2016-02-20,12,393,0.13,0.02,0.0,21 to 22,0.005416666666666667,0.005882299658752716,Saturday
2016-02-21,12,393,0.13,0.02,0.0,20 to 21,0.005416666666666667,0.005882299658752716,Sunday
2016-02-22,13,393,0.12,0.02,0.0,21 to 22,0.005,0.005897678246195885,Monday
2016-02-23,16,393,0.08,0.01,0.0,01 to 02,0.0033333333333333335,0.004815434123430769,Tuesday
2016-02-24,17,393,0.08,0.02,0.0,20 to 21,0.0033333333333333335,0.005646597025732799,Wednesday
2016-02-25,18,393,0.07,0.02,0.0,20 to 21,0.002916666666666667,0.0055003293709018726,Thursday
2016-02-26,18,393,0.06,0.01,0.0,03 to 04,0.0025,0.004423258684646914,Friday
2016-02-27,16,393,0.08,0.01,0.0,02 to 03,0.0033333333333333335,0.004815434123430768,Saturday
2016-02-28,16,393,0.08,0.01,0.0,02 to 03,0.0033333333333333335,0.004815434123430768,Sunday
2016-02-29,14,393,0.11000000000000001,0.02,0.0,19 to 20,0.0045833333333333325,0.005882299658752714,Monday
2016-01-03,19,393,0.05,0.01,0.0,03 to 04,0.0020833333333333333,0.004148511169990534,Sunday
2016-02-03,19,393,0.05,0.01,0.0,03 to 04,0.0020833333333333333,0.004148511169990534,Wednesday
2016-03-03,19,393,0.05,0.01,0.0,04 to 05,0.0020833333333333333,0.004148511169990534,Thursday
2016-04-03,21,393,0.03,0.01,0.0,01 to 02,0.00125,0.0033783196234608817,Sunday
2016-05-03,22,393,0.02,0.01,0.0,01 to 02,0.0008333333333333334,0.0028232985128663988,Tuesday
2016-06-03,19,393,0.05,0.01,0.0,01 to 02,0.0020833333333333333,0.004148511169990534,Friday
2016-07-03,22,393,0.02,0.01,0.0,01 to 02,0.0008333333333333334,0.0028232985128663988,Sunday
2016-08-03,18,393,0.060000000000000005,0.01,0.0,04 to 05,0.0025,0.004423258684646913,Wednesday
2016-09-03,16,393,0.08,0.01,0.0,01 to 02,0.0033333333333333335,0.004815434123430768,Saturday
2016-10-03,12,393,0.12,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Monday
2016-11-03,13,393,0.11,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040514,Thursday
2016-12-03,19,393,0.05,0.01,0.0,00 to 01,0.0020833333333333333,0.004148511169990532,Saturday
2016-03-13,18,393,0.06,0.01,0.0,18 to 19,0.0025,0.004423258684646914,Sunday
2016-03-14,19,393,0.05,0.01,0.0,00 to 01,0.0020833333333333333,0.004148511169990532,Monday
2016-03-16,18,393,0.06,0.01,0.0,18 to 19,0.0025,0.004423258684646914,Wednesday
2016-03-17,13,393,0.11,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040514,Thursday
2016-03-18,12,393,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Friday
2016-03-19,13,393,0.11,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040514,Saturday
2016-03-20,12,393,0.12000000000000001,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Sunday
2016-03-21,14,393,0.1,0.01,0.0,00 to 01,0.004166666666666667,0.00503610155185335,Monday
2016-03-22,20,393,0.04,0.01,0.0,01 to 02,0.0016666666666666668,0.003806934938134405,Tuesday
2016-03-23,17,393,0.07,0.01,0.0,02 to 03,0.002916666666666667,0.004643056214875366,Wednesday
2016-03-24,14,393,0.1,0.01,0.0,00 to 01,0.004166666666666667,0.00503610155185335,Thursday
2016-03-25,20,393,0.04,0.01,0.0,03 to 04,0.0016666666666666668,0.003806934938134405,Friday
2016-03-26,18,393,0.06,0.01,0.0,03 to 04,0.0025,0.004423258684646914,Saturday
2016-03-27,15,393,0.21000000000000002,0.05,0.0,19 to 20,0.00875,0.014540049638094804,Sunday
2016-03-28,15,393,0.25,0.05,0.0,21 to 22,0.010416666666666666,0.017315277663950707,Monday
2016-03-29,13,393,0.44,0.06,0.0,01 to 02,0.018333333333333333,0.022778072344036157,Tuesday
2016-03-30,14,393,0.28,0.05,0.0,21 to 22,0.011666666666666665,0.018097962092016272,Wednesday
